event_id,partition,clock_block,regime,label,p10,p15,elig10,elig15,f10_safe,f15_safe,safe_persist,f10_agg,f15_agg,agg_persist
0,external,08-12,BULL,GOOD,0.9040777193607332,0.9016743625364038,True,True,True,True,True,True,True,True
1,external,04-08,BULL,GOOD,0.07326026343554362,0.03873066671735975,True,True,False,False,False,False,False,False
2,external,08-12,BULL,GOOD,,,False,False,False,False,False,False,False,False
4,external,12-16,SIDEWAYS,GOOD,,,False,False,False,False,False,False,False,False
5,external,08-12,BULL,BAD,0.7195431478933574,0.8272624986778561,True,True,True,True,True,True,True,True
6,external,00-04,BULL,GOOD,0.21097247611074377,0.33488807359518385,True,True,False,False,False,False,False,False
7,external,00-04,BULL,GOOD,,,False,False,False,False,False,False,False,False
8,external,04-08,SIDEWAYS,GOOD,0.4301774561328374,0.07194773692242117,True,True,False,False,False,False,False,False
9,external,04-08,BULL,OTHER,,,False,False,False,False,False,False,False,False
10,external,00-04,SIDEWAYS,GOOD,,,False,False,False,False,False,False,False,False
11,external,08-12,SIDEWAYS,OTHER,,,False,False,False,False,False,False,False,False
12,external,12-16,BEAR,OTHER,,,False,False,False,False,False,False,False,False
13,external,20-00,BULL,BAD,0.9188197504340583,0.6518132654793459,True,True,True,True,True,True,True,True
14,external,00-04,SIDEWAYS,GOOD,,,False,False,False,False,False,False,False,False
15,external,12-16,SIDEWAYS,OTHER,,,False,False,False,False,False,False,False,False
16,external,12-16,SIDEWAYS,GOOD,0.8147384533172646,0.8108095077328645,True,True,True,True,True,True,True,True
17,external,12-16,BULL,GOOD,0.7086548032527236,0.7547437320660548,True,True,True,True,True,True,True,True
18,external,00-04,BULL,GOOD,0.5935751976300263,0.4705218955154512,True,True,True,False,False,True,True,True
19,external,20-00,BULL,BAD,0.6737086669751421,0.9597897013593344,True,True,True,True,True,True,True,True
20,external,16-20,BULL,GOOD,0.3806574369992166,0.4480578777497522,True,True,False,False,False,False,True,False
21,external,12-16,BEAR,GOOD,,,False,False,False,False,False,False,False,False
22,external,12-16,BEAR,OTHER,,,False,False,False,False,False,False,False,False
23,external,00-04,BEAR,OTHER,,,False,False,False,False,False,False,False,False
24,external,12-16,BULL,GOOD,0.4132379862059247,0.3634786881160318,True,True,False,False,False,False,False,False
25,external,00-04,BULL,GOOD,0.4803604091051773,0.19173526619519957,True,True,False,False,False,False,False,False
26,external,12-16,BULL,OTHER,,,False,False,False,False,False,False,False,False
27,external,12-16,BULL,OTHER,,,False,False,False,False,False,False,False,False
28,external,04-08,BULL,GOOD,0.038339549650345105,,True,False,False,False,False,False,False,False
29,external,08-12,BULL,OTHER,,,False,False,False,False,False,False,False,False
