timeframe,partition,group,entered,resolved,wins,losses,wr,net_pf,net_exp,total_net,wick_rate,breakout_rate,med_risk,med_hold,timeframe_pass
15m,external,ALL,0,0,0,0,,,,,,,,,False
15m,external,LONG,0,0,0,0,,,,,,,,,False
15m,external,SHORT,0,0,0,0,,,,,,,,,False
15m,development,ALL,3,3,0,3,0.0,0.0,-0.8757228314446285,-2.6271684943338856,0.0,0.0,0.0010302681010106562,10.0,False
15m,development,LONG,3,3,0,3,0.0,0.0,-0.8757228314446285,-2.6271684943338856,0.0,0.0,0.0010302681010106562,10.0,False
15m,development,SHORT,0,0,0,0,,,,,,,,,False
15m,reference_validation,ALL,4,4,1,3,0.25,0.07655457725231124,-0.5110061934188334,-2.0440247736753334,0.0,0.0,0.0005689637144655089,0.0,False
15m,reference_validation,LONG,2,2,1,1,0.5,0.2476503809372973,-0.25739303699444627,-0.5147860739888925,0.0,0.0,0.0005689637144655089,0.0,False
15m,reference_validation,SHORT,2,2,0,2,0.0,0.0,-0.7646193498432204,-1.5292386996864409,0.0,0.0,0.0007292386996864482,0.0,False
15m,august,ALL,4,4,4,0,1.0,6.606867927620538,0.4073059823880403,1.629223929552161,0.25,0.25,0.0008472580241870886,20.0,False
15m,august,LONG,3,3,3,0,1.0,3.0784186577409023,0.20131319044975926,0.6039395713492778,0.3333333333333333,0.3333333333333333,0.0007673808652881245,10.0,False
15m,august,SHORT,1,1,1,0,1.0,inf,1.025284358202883,1.025284358202883,0.0,0.0,0.0014252843582028827,75.0,False
1h,external,ALL,0,0,0,0,,,,,,,,,False
1h,external,LONG,0,0,0,0,,,,,,,,,False
1h,external,SHORT,0,0,0,0,,,,,,,,,False
1h,development,ALL,10,10,4,6,0.4,0.820064432667551,-0.3311310839033018,-3.3113108390330184,0.4,0.2,0.002421415138153419,15.0,False
1h,development,LONG,6,6,1,5,0.16666666666666666,0.5563785311893441,-1.3181598653394586,-7.908959192036752,0.16666666666666666,0.16666666666666666,0.004556287834323349,10.0,False
1h,development,SHORT,4,4,3,1,0.75,9.001640097711462,1.1494120882509344,4.597648353003738,0.75,0.25,0.001922609874858558,22.5,False
1h,reference_validation,ALL,1,1,0,1,0.0,0.0,-2.207768143680999,-2.207768143680999,0.0,0.0,0.003615536287361977,10.0,False
1h,reference_validation,LONG,0,0,0,0,,,,,,,,,False
1h,reference_validation,SHORT,1,1,0,1,0.0,0.0,-2.207768143680999,-2.207768143680999,0.0,0.0,0.003615536287361977,10.0,False
1h,august,ALL,3,3,1,2,0.3333333333333333,0.17281919610716578,-0.6275615922548434,-1.8826847767645303,0.3333333333333333,0.0,0.0007933409335811677,50.0,False
1h,august,LONG,2,2,1,1,0.5,0.5785782278554074,-0.1432498021064651,-0.2864996042129302,0.5,0.0,0.0006765110045847127,45.0,False
1h,august,SHORT,1,1,0,1,0.0,0.0,-1.5961851725516003,-1.5961851725516003,0.0,0.0,0.002392370345103281,50.0,False
