variant,tp_multiple,use_be,partition,regime,clock_block,obs_start,obs_end,reclaim_complete_ts,H,L,R4,limit_px,hard_stop_px,filled,cancel_reason,fill_ts,entry_px,initial_risk_px,initial_risk_pct,target_px,exit_ts,exit_px,exit_reason,gross_return,net_pnl_usd,hold_minutes,rebreak_confirmed
A_R1,1.0,False,external,BULL,08-12,2020-01-08 08:00:00+00:00,2020-01-08 12:00:00+00:00,2020-01-08 08:20:00+00:00,8381.87,8280.0,101.8700000000008,8285.0935,8305.4675,True,,2020-01-08 08:20:00+00:00,8304.29,1.1774999999997817,0.00014179418107987336,8303.112500000001,2020-01-08 08:25:00+00:00,8305.4675,HARD_STOP,-0.00014179418107987336,-0.4708970905399367,5.0,False
A_R1_5,1.5,False,external,BULL,08-12,2020-01-08 08:00:00+00:00,2020-01-08 12:00:00+00:00,2020-01-08 08:20:00+00:00,8381.87,8280.0,101.8700000000008,8285.0935,8305.4675,True,,2020-01-08 08:20:00+00:00,8304.29,1.1774999999997817,0.00014179418107987336,8302.52375,2020-01-08 08:25:00+00:00,8305.4675,HARD_STOP,-0.00014179418107987336,-0.4708970905399367,5.0,False
A_R2,2.0,False,external,BULL,08-12,2020-01-08 08:00:00+00:00,2020-01-08 12:00:00+00:00,2020-01-08 08:20:00+00:00,8381.87,8280.0,101.8700000000008,8285.0935,8305.4675,True,,2020-01-08 08:20:00+00:00,8304.29,1.1774999999997817,0.00014179418107987336,8301.935000000001,2020-01-08 08:25:00+00:00,8305.4675,HARD_STOP,-0.00014179418107987336,-0.4708970905399367,5.0,False
B_R1_BE,1.0,True,external,BULL,08-12,2020-01-08 08:00:00+00:00,2020-01-08 12:00:00+00:00,2020-01-08 08:20:00+00:00,8381.87,8280.0,101.8700000000008,8285.0935,8305.4675,True,,2020-01-08 08:20:00+00:00,8304.29,1.1774999999997817,0.00014179418107987336,8303.112500000001,2020-01-08 08:25:00+00:00,8305.4675,HARD_STOP,-0.00014179418107987336,-0.4708970905399367,5.0,False
B_R1_5_BE,1.5,True,external,BULL,08-12,2020-01-08 08:00:00+00:00,2020-01-08 12:00:00+00:00,2020-01-08 08:20:00+00:00,8381.87,8280.0,101.8700000000008,8285.0935,8305.4675,True,,2020-01-08 08:20:00+00:00,8304.29,1.1774999999997817,0.00014179418107987336,8302.52375,2020-01-08 08:25:00+00:00,8305.4675,HARD_STOP,-0.00014179418107987336,-0.4708970905399367,5.0,False
B_R2_BE,2.0,True,external,BULL,08-12,2020-01-08 08:00:00+00:00,2020-01-08 12:00:00+00:00,2020-01-08 08:20:00+00:00,8381.87,8280.0,101.8700000000008,8285.0935,8305.4675,True,,2020-01-08 08:20:00+00:00,8304.29,1.1774999999997817,0.00014179418107987336,8301.935000000001,2020-01-08 08:25:00+00:00,8305.4675,HARD_STOP,-0.00014179418107987336,-0.4708970905399367,5.0,False
A_R1,1.0,False,external,BULL,04-08,2020-01-09 04:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 06:20:00+00:00,8060.0,7932.0,128.0,7938.4,7964.0,True,,2020-01-09 06:20:00+00:00,7938.4,25.600000000000364,0.003224831200241908,7912.799999999999,2020-01-09 06:30:00+00:00,7936.89,EARLY_HOLD_EXIT,0.00019021465282667905,-0.3048926735866605,10.0,False
A_R1_5,1.5,False,external,BULL,04-08,2020-01-09 04:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 06:20:00+00:00,8060.0,7932.0,128.0,7938.4,7964.0,True,,2020-01-09 06:20:00+00:00,7938.4,25.600000000000364,0.003224831200241908,7899.999999999999,2020-01-09 06:30:00+00:00,7936.89,EARLY_HOLD_EXIT,0.00019021465282667905,-0.3048926735866605,10.0,False
A_R2,2.0,False,external,BULL,04-08,2020-01-09 04:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 06:20:00+00:00,8060.0,7932.0,128.0,7938.4,7964.0,True,,2020-01-09 06:20:00+00:00,7938.4,25.600000000000364,0.003224831200241908,7887.199999999999,2020-01-09 06:30:00+00:00,7936.89,EARLY_HOLD_EXIT,0.00019021465282667905,-0.3048926735866605,10.0,False
B_R1_BE,1.0,True,external,BULL,04-08,2020-01-09 04:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 06:20:00+00:00,8060.0,7932.0,128.0,7938.4,7964.0,True,,2020-01-09 06:20:00+00:00,7938.4,25.600000000000364,0.003224831200241908,7912.799999999999,2020-01-09 06:30:00+00:00,7936.89,EARLY_HOLD_EXIT,0.00019021465282667905,-0.3048926735866605,10.0,False
B_R1_5_BE,1.5,True,external,BULL,04-08,2020-01-09 04:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 06:20:00+00:00,8060.0,7932.0,128.0,7938.4,7964.0,True,,2020-01-09 06:20:00+00:00,7938.4,25.600000000000364,0.003224831200241908,7899.999999999999,2020-01-09 06:30:00+00:00,7936.89,EARLY_HOLD_EXIT,0.00019021465282667905,-0.3048926735866605,10.0,False
B_R2_BE,2.0,True,external,BULL,04-08,2020-01-09 04:00:00+00:00,2020-01-09 08:00:00+00:00,2020-01-09 06:20:00+00:00,8060.0,7932.0,128.0,7938.4,7964.0,True,,2020-01-09 06:20:00+00:00,7938.4,25.600000000000364,0.003224831200241908,7887.199999999999,2020-01-09 06:30:00+00:00,7936.89,EARLY_HOLD_EXIT,0.00019021465282667905,-0.3048926735866605,10.0,False
