ref_min,hour,sessions_n,dominant_visit,same_dom_blocks,dominant_opportunity_n,dominant_break_n,dominant_break_conversion,dominant_median_extension_R,dominant_min_block_conversion,clock_support_hours,ref_support_mins,topology_supported
120,8,1091,3,3,69,52,0.7536231884057971,0.35760309278350466,0.6470588235294118,,60,False
120,9,1091,2,1,255,177,0.6941176470588235,0.31325301204818967,0.5576923076923077,10,"60,180",True
120,10,1091,2,2,243,169,0.6954732510288066,0.28693181818182517,0.5636363636363636,"9,11",180,True
120,11,1091,2,2,251,178,0.7091633466135459,0.2925081322851699,0.5957446808510638,"10,12","60,180",True
120,12,1091,2,5,263,189,0.7186311787072244,0.3684210526315778,0.5853658536585366,"11,13","60,180",True
120,13,1088,2,2,229,155,0.6768558951965066,0.32202111613875917,0.5833333333333334,"12,14",180,True
120,14,1088,2,1,207,139,0.6714975845410628,0.3267326732673234,0.6,13,,False
120,15,1088,1,1,719,475,0.6606397774687065,0.28657670454545003,0.6115702479338843,,,False
120,16,1088,2,2,205,158,0.7707317073170732,0.29873357632371794,0.6428571428571429,,"60,180",False
120,17,1088,3,4,62,45,0.7258064516129032,0.262857142857142,0.47058823529411764,,,False
120,18,1088,2,5,215,154,0.7162790697674418,0.2419828704905273,0.6410256410256411,,"60,180",False
120,19,1088,1,2,790,553,0.7,0.2442960489705029,0.6742424242424242,,180,False
120,20,1088,2,0,224,150,0.6696428571428571,0.2263409883608668,0.5384615384615384,21,,False
120,21,1088,2,1,236,169,0.7161016949152542,0.32369942196531787,0.5882352941176471,20,"60,180",True
120,22,1088,1,1,798,572,0.7167919799498746,0.31150192035576546,0.6949152542372882,23,"60,180",True
120,23,1088,1,2,817,563,0.6891064871481029,0.2992592592592557,0.578125,22,180,True
180,0,1088,2,1,193,131,0.6787564766839378,0.3390557939914208,0.53125,1,"120,240",True
180,1,1088,2,3,184,128,0.6956521739130435,0.24289637952559717,0.5416666666666666,0,"120,240",True
180,2,1088,1,3,738,507,0.6869918699186992,0.22560975609755934,0.6573426573426573,3,"120,240",True
180,3,1091,1,2,734,508,0.6920980926430518,0.20974076983502993,0.6636363636363637,2,240,True
180,4,1091,3,3,64,45,0.703125,0.24509803921568626,0.625,,120,False
180,5,1091,2,2,211,145,0.6872037914691943,0.36014405762305,0.5882352941176471,6,240,True
180,6,1091,2,2,224,158,0.7053571428571429,0.3100081085516275,0.6666666666666666,"5,7",120,True
180,7,1091,2,2,240,173,0.7208333333333333,0.31818181818181757,0.6060606060606061,"6,8","120,240",True
180,8,1091,2,2,247,171,0.6923076923076923,0.2765151515151365,0.4883720930232558,"7,9",240,True
180,9,1091,2,3,244,168,0.6885245901639344,0.20266293492620707,0.48936170212765956,"8,10","120,240",True
180,10,1091,2,3,214,147,0.6869158878504673,0.26890756302521285,0.5490196078431373,"9,11","120,240",True
180,11,1091,2,2,232,168,0.7241379310344828,0.3001200480192069,0.625,"10,12","120,240",True
180,12,1091,2,4,244,176,0.7213114754098361,0.2866598196964474,0.66,"11,13","120,240",True
180,13,1088,2,5,207,144,0.6956521739130435,0.2965599876314142,0.627906976744186,12,"120,240",True
180,14,1088,1,3,720,482,0.6694444444444444,0.3257283712654738,0.6370967741935484,,240,False
180,15,1088,2,2,190,132,0.6947368421052632,0.21986629601584767,0.6486486486486487,16,240,True
180,16,1088,2,2,184,120,0.6521739130434783,0.2312032802156282,0.4827586206896552,"15,17","120,240",True
180,17,1088,2,3,183,132,0.7213114754098361,0.22180660409606207,0.631578947368421,"16,18",240,True
180,18,1088,2,3,187,132,0.7058823529411765,0.22658674118240102,0.5862068965517241,17,"120,240",True
180,19,1088,1,3,715,505,0.7062937062937062,0.20176082171679394,0.664179104477612,20,120,True
180,20,1088,1,2,753,514,0.6826029216467463,0.21177147239263933,0.6260162601626016,19,240,True
180,21,1088,2,2,212,146,0.6886792452830188,0.22915098100004483,0.5945945945945946,,"120,240",False
180,22,1088,1,2,754,528,0.7002652519893899,0.2967061332136229,0.6834532374100719,23,"120,240",True
180,23,1088,1,1,748,522,0.6978609625668449,0.24629029627616228,0.65,22,120,True
240,0,1088,2,2,171,122,0.7134502923976608,0.30544493411515605,0.6,"1,23","180,300",True
240,1,1088,2,2,179,124,0.6927374301675978,0.23162577081191954,0.5,0,"180,300",True
240,2,1088,1,1,702,474,0.6752136752136753,0.2353707107843115,0.6390977443609023,3,"180,300",True
240,3,1088,1,1,702,474,0.6752136752136753,0.1896636730116673,0.6320754716981132,2,180,True
240,4,1091,2,2,185,126,0.6810810810810811,0.21237980769230871,0.5,5,300,True
240,5,1091,2,2,199,135,0.678391959798995,0.24719101123596493,0.4838709677419355,4,180,True
240,6,1091,3,3,60,44,0.7333333333333333,0.19326229326229633,0.5,,,False
240,7,1091,2,2,228,159,0.6973684210526315,0.24637681159420619,0.5945945945945946,8,"180,300",True
240,8,1091,2,1,220,157,0.7136363636363636,0.26341463414635363,0.5161290322580645,"7,9","180,300",True
240,9,1091,2,2,221,154,0.6968325791855203,0.20865456945132516,0.5348837209302325,"8,10","180,300",True
240,10,1091,2,3,216,150,0.6944444444444444,0.20254646312127084,0.46808510638297873,"9,11","180,300",True
240,11,1091,2,3,210,152,0.7238095238095238,0.28435859469645863,0.5277777777777778,"10,12","180,300",True
240,12,1091,2,3,223,163,0.7309417040358744,0.2834645669291349,0.6511627906976745,"11,13","180,300",True
240,13,1088,2,3,198,134,0.6767676767676768,0.2822510822510872,0.6060606060606061,12,"180,300",True
240,14,1088,1,3,683,465,0.6808199121522694,0.28122344944775124,0.6434782608695652,,"180,300",False
240,15,1088,2,3,176,121,0.6875,0.22183507549360962,0.6451612903225806,16,"180,300",True
240,16,1088,2,3,172,117,0.6802325581395349,0.18333333333333196,0.5217391304347826,"15,17","180,300",True
240,17,1088,2,2,162,109,0.6728395061728395,0.1704545454545402,0.5172413793103449,"16,18",180,True
240,18,1088,2,5,173,128,0.7398843930635838,0.2078525501990621,0.6857142857142857,"17,19","180,300",True
240,19,1088,2,1,155,107,0.6903225806451613,0.2427821522309751,0.6551724137931034,18,300,True
240,20,1088,1,1,687,464,0.6754002911208151,0.20213041085839725,0.5945945945945946,,180,False
240,21,1088,2,2,188,131,0.6968085106382979,0.2217898832684792,0.6363636363636364,,"180,300",False
240,22,1088,1,2,706,490,0.6940509915014165,0.23931389123696878,0.6605504587155964,,180,False
240,23,1088,2,2,174,127,0.7298850574712644,0.19151251360173915,0.6086956521739131,0,,False
300,0,1088,2,3,160,119,0.74375,0.25850340136053646,0.625,1,"240,360",True
300,1,1088,2,4,161,113,0.7018633540372671,0.22549019607842763,0.47619047619047616,0,"240,360",True
300,2,1088,1,1,658,443,0.6732522796352584,0.21645109135003968,0.6428571428571429,,240,False
300,3,1088,2,3,180,126,0.7,0.18481168517624214,0.6363636363636364,4,360,True
300,4,1088,2,1,184,125,0.6793478260869565,0.21348314606741617,0.5925925925925926,3,"240,360",True
300,5,1091,1,2,694,481,0.6930835734870316,0.18752531389225988,0.6634615384615384,,360,False
300,6,1091,2,0,196,134,0.6836734693877551,0.26423475001718877,0.5333333333333333,7,,False
300,7,1091,2,2,224,151,0.6741071428571429,0.2540983606557398,0.5588235294117647,"6,8","240,360",True
300,8,1091,2,3,210,148,0.7047619047619048,0.2086773184362361,0.4838709677419355,"7,9","240,360",True
300,9,1091,2,3,205,145,0.7073170731707317,0.17987804878048877,0.5151515151515151,"8,10","240,360",True
300,10,1091,2,3,196,136,0.6938775510204082,0.2590759075907594,0.4883720930232558,"9,11","240,360",True
300,11,1091,2,3,207,151,0.7294685990338164,0.22364380757420466,0.5588235294117647,"10,12","240,360",True
300,12,1091,2,4,205,150,0.7317073170731707,0.26203998840915366,0.575,"11,13","240,360",True
300,13,1088,2,4,181,125,0.6906077348066298,0.2659003831417635,0.5757575757575758,12,"240,360",True
300,14,1088,1,3,657,445,0.6773211567732116,0.26579925650557434,0.5981308411214953,,"240,360",False
300,15,1088,2,4,162,113,0.6975308641975309,0.2255934320899544,0.6,16,"240,360",True
300,16,1088,2,3,158,106,0.6708860759493671,0.21233514443645474,0.5652173913043478,15,"240,360",True
300,17,1088,1,1,564,368,0.6524822695035462,0.19339506172839566,0.6213592233009708,,360,False
300,18,1088,2,2,150,104,0.6933333333333334,0.1933422264777117,0.5714285714285714,19,"240,360",True
300,19,1088,2,2,142,99,0.6971830985915493,0.21215596330275494,0.6,"18,20",240,True
300,20,1088,2,1,157,104,0.6624203821656051,0.18700832826365224,0.6206896551724138,"19,21",360,True
300,21,1088,2,2,177,123,0.6949152542372882,0.1759776536312814,0.5,"20,22","240,360",True
300,22,1088,2,3,170,119,0.7,0.1331592689295,0.5769230769230769,21,360,True
300,23,1088,1,3,673,467,0.6939078751857355,0.19875776397515552,0.6458333333333334,,360,False
360,0,1088,2,1,159,112,0.7044025157232704,0.21582114204813613,0.6363636363636364,1,"300,420",True
360,1,1088,2,3,160,113,0.70625,0.1884057971014536,0.5,"0,2","300,420",True
360,2,1088,2,3,163,111,0.6809815950920245,0.24191574899492838,0.5625,"1,3",420,True
360,3,1088,2,3,176,121,0.6875,0.16733870967742376,0.59375,"2,4","300,420",True
360,4,1088,2,1,182,128,0.7032967032967034,0.21745589052468667,0.6206896551724138,3,"300,420",True
360,5,1088,1,2,666,450,0.6756756756756757,0.17907363237321244,0.6213592233009708,6,300,True
360,6,1091,1,2,671,460,0.6855439642324889,0.18891948992680957,0.6634615384615384,5,,False
360,7,1091,2,1,212,146,0.6886792452830188,0.23275891834440118,0.5483870967741935,8,"300,420",True
360,8,1091,2,3,201,143,0.7114427860696517,0.2287735849056596,0.4827586206896552,"7,9","300,420",True
360,9,1091,2,1,199,135,0.678391959798995,0.15909090909090928,0.48484848484848486,"8,10","300,420",True
360,10,1091,2,4,183,127,0.6939890710382514,0.21568627450980155,0.4722222222222222,"9,11",300,True
360,11,1091,2,3,185,138,0.745945945945946,0.25262012389084254,0.6071428571428571,"10,12","300,420",True
360,12,1091,2,4,196,141,0.7193877551020408,0.2469813391877031,0.5789473684210527,"11,13","300,420",True
360,13,1088,2,2,172,119,0.6918604651162791,0.27459954233409745,0.5882352941176471,12,"300,420",True
360,14,1088,1,2,625,426,0.6816,0.2512400447114704,0.6346153846153846,,"300,420",False
360,15,1088,2,5,159,110,0.6918238993710691,0.21116745262345887,0.6363636363636364,16,"300,420",True
360,16,1088,2,4,146,101,0.6917808219178082,0.2219755826859038,0.6086956521739131,15,"300,420",True
360,17,1088,1,2,548,368,0.6715328467153284,0.1889872632880555,0.6451612903225806,,"300,420",False
360,18,1088,2,2,150,102,0.68,0.15808282919864855,0.6086956521739131,,300,False
360,19,1088,1,2,542,377,0.6955719557195572,0.1722352360991232,0.6633663366336634,,420,False
360,20,1088,2,3,142,98,0.6901408450704225,0.20714239860310618,0.6071428571428571,21,"300,420",True
360,21,1088,2,3,166,111,0.6686746987951807,0.19178082191780982,0.5483870967741935,"20,22","300,420",True
360,22,1088,2,3,162,113,0.6975308641975309,0.1331592689295,0.5666666666666667,21,300,True
360,23,1088,1,2,635,441,0.694488188976378,0.1673913043478285,0.6136363636363636,,"300,420",False
420,0,1088,2,2,152,106,0.6973684210526315,0.2111648793448146,0.631578947368421,1,"360,480",True
420,1,1088,2,3,152,105,0.6907894736842105,0.16023544800522624,0.5263157894736842,"0,2","360,480",True
420,2,1088,2,2,160,107,0.66875,0.22330097087378312,0.5757575757575758,"1,3",360,True
420,3,1088,2,5,163,117,0.7177914110429447,0.20928941524796466,0.6129032258064516,"2,4","360,480",True
420,4,1088,2,2,175,123,0.7028571428571428,0.18859915100060484,0.5806451612903226,"3,5","360,480",True
420,5,1088,2,3,171,116,0.6783625730994152,0.2263788605934815,0.5333333333333333,"4,6",480,True
420,6,1088,2,1,176,117,0.6647727272727273,0.22537182852143658,0.6129032258064516,"5,7",480,True
420,7,1091,2,3,191,133,0.6963350785340314,0.22097678142514016,0.5925925925925926,"6,8","360,480",True
420,8,1091,2,2,187,133,0.7112299465240641,0.2041343669250568,0.44,"7,9","360,480",True
420,9,1091,2,1,193,130,0.6735751295336787,0.1614975724091764,0.53125,8,"360,480",True
420,10,1091,1,1,667,452,0.6776611694152923,0.19558793959991527,0.6126126126126126,,480,False
420,11,1091,2,4,168,128,0.7619047619047619,0.20951444644710188,0.6333333333333333,12,"360,480",True
420,12,1091,2,2,174,127,0.7298850574712644,0.25480769230769823,0.6129032258064516,"11,13","360,480",True
420,13,1088,2,3,169,118,0.6982248520710059,0.23906669736741265,0.5806451612903226,12,"360,480",True
420,14,1088,1,3,603,426,0.7064676616915423,0.2316816676836919,0.64,,"360,480",False
420,15,1088,2,2,146,101,0.6917808219178082,0.1954022988505691,0.5357142857142857,16,"360,480",True
420,16,1088,2,5,148,104,0.7027027027027027,0.2065993431855509,0.5909090909090909,15,"360,480",True
420,17,1088,1,2,525,358,0.6819047619047619,0.18766747768334072,0.6395348837209303,18,"360,480",True
420,18,1088,1,2,530,360,0.6792452830188679,0.17565984329538653,0.648936170212766,"17,19",480,True
420,19,1088,1,1,520,358,0.6884615384615385,0.17269404218943832,0.6629213483146067,18,"360,480",True
420,20,1088,2,3,127,85,0.6692913385826772,0.18996314148001178,0.5263157894736842,21,360,True
420,21,1088,2,3,150,106,0.7066666666666667,0.18304637426165843,0.5384615384615384,20,360,True
420,22,1088,1,4,569,386,0.6783831282952548,0.18304082499353408,0.5974025974025974,23,,False
420,23,1088,1,3,590,404,0.6847457627118644,0.169711460830469,0.6333333333333333,22,"360,480",True
480,0,1088,2,3,148,102,0.6891891891891891,0.17108013937282376,0.6190476190476191,1,420,True
480,1,1088,2,4,140,99,0.7071428571428572,0.1692307692307687,0.5882352941176471,0,420,True
480,2,1088,1,1,568,380,0.6690140845070423,0.20040225261464256,0.6346153846153846,,,False
480,3,1088,2,4,163,115,0.7055214723926381,0.202970845804233,0.625,4,"420,600",True
480,4,1088,2,2,164,118,0.7195121951219512,0.2319503960524606,0.6,"3,5","420,600",True
480,5,1088,2,2,166,112,0.6746987951807228,0.19488313756411618,0.48148148148148145,"4,6","420,600",True
480,6,1088,2,3,170,117,0.6882352941176471,0.2299854439592427,0.5555555555555556,"5,7","420,600",True
480,7,1088,2,2,190,134,0.7052631578947368,0.22317430497328838,0.6363636363636364,"6,8","420,600",True
480,8,1091,2,2,173,125,0.7225433526011561,0.15094339622641745,0.5416666666666666,"7,9","420,600",True
480,9,1091,2,3,184,129,0.7010869565217391,0.15909090909090928,0.4838709677419355,8,"420,600",True
480,10,1091,1,1,640,430,0.671875,0.18655518573165786,0.6260869565217392,,"420,600",False
480,11,1091,2,2,165,117,0.7090909090909091,0.15306122448979803,0.5625,12,"420,600",True
480,12,1091,2,3,159,119,0.7484276729559748,0.21568627450980155,0.6153846153846154,"11,13","420,600",True
480,13,1088,2,3,149,106,0.7114093959731543,0.2520775623268714,0.5714285714285714,12,"420,600",True
480,14,1088,1,2,586,410,0.6996587030716723,0.22304035292717142,0.6458333333333334,,"420,600",False
480,15,1088,2,4,138,97,0.7028985507246377,0.19717825189263322,0.5769230769230769,16,"420,600",True
480,16,1088,2,3,135,93,0.6888888888888889,0.2219755826859038,0.5909090909090909,15,"420,600",True
480,17,1088,1,2,511,348,0.6810176125244618,0.18262447429114298,0.6144578313253012,18,"420,600",True
480,18,1088,1,4,510,355,0.696078431372549,0.16788916055419678,0.6588235294117647,"17,19","420,600",True
480,19,1088,1,1,505,356,0.7049504950495049,0.162645348837209,0.6463414634146342,"18,20","420,600",True
480,20,1088,1,2,508,335,0.6594488188976378,0.174280879864636,0.5901639344262295,"19,21",600,True
480,21,1088,1,3,502,335,0.6673306772908366,0.20386904761904728,0.6,20,,False
480,22,1088,2,3,137,98,0.7153284671532847,0.15399693644481222,0.625,,600,False
480,23,1088,1,3,551,386,0.7005444646098004,0.15563588017782176,0.6301369863013698,,"420,600",False
600,0,1088,1,1,489,335,0.6850715746421268,0.1729265675302776,0.625,"1,23",,False
600,1,1088,1,2,510,345,0.6764705882352942,0.16581892166836149,0.6274509803921569,0,,False
600,2,1088,2,2,142,97,0.6830985915492958,0.16023544800522624,0.6,3,,False
600,3,1088,2,3,144,103,0.7152777777777778,0.17424242424242137,0.6129032258064516,"2,4",480,True
600,4,1088,2,3,153,109,0.7124183006535948,0.19917012448133073,0.65,"3,5",480,True
600,5,1088,2,3,159,106,0.6666666666666666,0.2220047088701324,0.5185185185185185,"4,6",480,True
600,6,1088,2,1,157,104,0.6624203821656051,0.23877051540455413,0.5806451612903226,"5,7",480,True
600,7,1088,2,3,165,116,0.703030303030303,0.18344522906738195,0.5714285714285714,"6,8",480,True
600,8,1088,2,4,167,124,0.7425149700598802,0.19711824240453557,0.625,"7,9",480,True
600,9,1088,2,2,163,114,0.6993865030674846,0.18312028672341954,0.5517241379310345,8,480,True
600,10,1091,1,1,582,390,0.6701030927835051,0.16571870701512925,0.6344086021505376,,480,False
600,11,1091,2,3,154,115,0.7467532467532467,0.15731462925851628,0.5555555555555556,12,480,True
600,12,1091,2,4,161,114,0.7080745341614907,0.16060339994670558,0.5384615384615384,"11,13",480,True
600,13,1088,2,4,143,101,0.7062937062937062,0.19291338582676917,0.5555555555555556,12,480,True
600,14,1088,1,3,549,399,0.726775956284153,0.20487106017191858,0.6593406593406593,,480,False
600,15,1088,2,3,124,91,0.7338709677419355,0.18867924528301847,0.6,16,480,True
600,16,1088,2,4,123,89,0.7235772357723578,0.2054303686599237,0.6111111111111112,15,480,True
600,17,1088,1,3,482,340,0.7053941908713693,0.15934004570368304,0.6455696202531646,18,480,True
600,18,1088,1,4,483,334,0.6915113871635611,0.15626010626010695,0.6341463414634146,"17,19",480,True
600,19,1088,1,2,476,341,0.7163865546218487,0.15361445783132222,0.6794871794871795,"18,20",480,True
600,20,1088,1,2,478,331,0.6924686192468619,0.16788916055419678,0.6140350877192983,19,480,True
600,21,1088,2,3,117,83,0.7094017094017094,0.15843773028740127,0.6,22,,False
600,22,1088,2,3,118,85,0.7203389830508474,0.14116952155936482,0.6363636363636364,21,480,True
600,23,1088,1,2,482,343,0.7116182572614108,0.1520223152022314,0.6623376623376623,0,480,True
