ref_min,hour,sessions_n,dominant_visit,same_dom_blocks,dominant_opportunity_n,dominant_break_n,dominant_break_conversion,dominant_median_extension_R,dominant_min_block_conversion,clock_support_hours,ref_support_mins,topology_supported
60,0,1088,2,3,245,177,0.7224489795918367,0.4827586206896586,0.5897435897435898,1,120,True
60,1,1091,2,2,207,150,0.7246376811594203,0.33459277917716035,0.5757575757575758,0,120,True
60,2,1091,1,3,870,593,0.6816091954022988,0.3410981697171358,0.6225165562913907,,120,False
60,3,1091,3,3,76,54,0.7105263157894737,0.2531451000164585,0.5555555555555556,4,,False
60,4,1091,3,5,71,54,0.7605633802816901,0.3134233440954908,0.45454545454545453,3,120,True
60,5,1091,2,4,239,177,0.7405857740585774,0.4268476621417838,0.6571428571428571,6,,False
60,6,1091,2,1,263,183,0.6958174904942965,0.3846899224806078,0.64,5,120,True
60,7,1091,3,4,74,53,0.7162162162162162,0.5762711864406873,0.4444444444444444,8,,False
60,8,1091,3,4,78,56,0.717948717948718,0.2972192127121651,0.5,7,120,True
60,9,1091,2,2,274,196,0.7153284671532847,0.4604391774137344,0.6470588235294118,,120,False
60,10,1091,3,5,77,51,0.6623376623376623,0.38834951456311667,0.4,,,False
60,11,1091,2,3,285,201,0.7052631578947368,0.501429933269774,0.5952380952380952,12,120,True
60,12,1091,2,3,299,206,0.6889632107023411,0.4520328838745188,0.6590909090909091,11,120,True
60,13,1088,3,3,69,47,0.6811594202898551,0.5558035714285682,0.6111111111111112,,,False
60,14,1088,1,2,837,569,0.6798088410991637,0.4981718464351048,0.6083916083916084,,,False
60,15,1088,2,4,206,152,0.7378640776699029,0.308668184405236,0.6756756756756757,16,,False
60,16,1088,2,2,234,164,0.7008547008547008,0.3609124398598099,0.6190476190476191,15,120,True
60,17,1088,1,1,838,564,0.6730310262529833,0.3528225806451644,0.6071428571428571,,,False
60,18,1088,2,4,233,170,0.7296137339055794,0.30223456741284577,0.65,,120,False
60,19,1088,3,3,72,51,0.7083333333333334,0.36666666666666825,0.5454545454545454,20,,False
60,20,1088,3,3,68,47,0.6911764705882353,0.3591731266149942,0.5833333333333334,19,,False
60,21,1087,2,1,228,162,0.7105263157894737,0.4125018521585295,0.6333333333333333,,120,False
60,22,1088,1,3,877,622,0.7092360319270239,0.3967120181405781,0.5957446808510638,,120,False
60,23,1088,3,4,75,55,0.7333333333333333,0.5970149253731413,0.42857142857142855,,,False
120,0,1088,2,3,198,140,0.7070707070707071,0.36649495915813746,0.53125,1,"60,180",True
120,1,1088,2,3,198,139,0.702020202020202,0.2704918032786874,0.5882352941176471,0,"60,180",True
120,2,1091,1,4,779,551,0.7073170731707317,0.2560975609756071,0.6643835616438356,,"60,180",False
120,3,1091,2,2,224,150,0.6696428571428571,0.25245506527510475,0.5555555555555556,,,False
120,4,1091,3,3,70,51,0.7285714285714285,0.1984126984127007,0.375,5,"60,180",True
120,5,1091,3,3,60,45,0.75,0.43850267379680097,0.6666666666666666,4,,False
120,6,1091,2,3,234,173,0.7393162393162394,0.3653758542141272,0.717391304347826,7,"60,180",True
120,7,1091,2,3,259,183,0.7065637065637066,0.32387706855792203,0.5454545454545454,6,180,True
