scope,rule,impulse_threshold,bad_total,bad_flagged,bad_capture,good_total,good_flagged,good_sacrifice,flagged_n,flag_precision_bad,late_bad_total,late_bad_flagged,late_bad_capture,late_good_total,late_good_flagged,late_good_sacrifice,late_flagged_n,late_precision_bad,diag_bad_n,diag_good_n,diag_bad_median,diag_good_median,diag_directional_auc
development,PLUS15_SAFE,0.28173076923076923,38,28,0.7368421052631579,159,9,0.05660377358490566,37,0.7567567567567568,6,1,0.16666666666666666,6,0,0.0,1,1.0,6,6,0.14733605493916482,0.1561348042120947,0.5277777777777778
development,PERSIST_BOTH,0.28173076923076923,38,22,0.5789473684210527,159,3,0.018867924528301886,25,0.88,6,1,0.16666666666666666,6,0,0.0,1,1.0,6,6,0.14733605493916482,0.1561348042120947,0.5277777777777778
development,REFINED_STATE,0.28173076923076923,38,23,0.6052631578947368,159,3,0.018867924528301886,26,0.8846153846153846,6,1,0.16666666666666666,6,0,0.0,1,1.0,6,6,0.14733605493916482,0.1561348042120947,0.5277777777777778
external,PLUS15_SAFE,0.28173076923076923,23,9,0.391304347826087,98,14,0.14285714285714285,23,0.391304347826087,2,1,0.5,3,0,0.0,1,1.0,2,3,0.2971061858219984,0.11253847732403001,1.0
external,PERSIST_BOTH,0.28173076923076923,23,7,0.30434782608695654,98,11,0.11224489795918367,18,0.3888888888888889,2,1,0.5,3,0,0.0,1,1.0,2,3,0.2971061858219984,0.11253847732403001,1.0
external,REFINED_STATE,0.28173076923076923,23,8,0.34782608695652173,98,11,0.11224489795918367,19,0.42105263157894735,2,1,0.5,3,0,0.0,1,1.0,2,3,0.2971061858219984,0.11253847732403001,1.0
reference_validation,PLUS15_SAFE,0.28173076923076923,17,8,0.47058823529411764,91,15,0.16483516483516483,23,0.34782608695652173,4,2,0.5,6,0,0.0,2,1.0,4,6,0.2749289166482071,0.16130880726161967,0.7916666666666666
reference_validation,PERSIST_BOTH,0.28173076923076923,17,4,0.23529411764705882,91,9,0.0989010989010989,13,0.3076923076923077,4,2,0.5,6,0,0.0,2,1.0,4,6,0.2749289166482071,0.16130880726161967,0.7916666666666666
reference_validation,REFINED_STATE,0.28173076923076923,17,6,0.35294117647058826,91,9,0.0989010989010989,15,0.4,4,2,0.5,6,0,0.0,2,1.0,4,6,0.2749289166482071,0.16130880726161967,0.7916666666666666
POOLED_REUSED_EXTVAL,PLUS15_SAFE,0.28173076923076923,40,17,0.425,189,29,0.15343915343915343,46,0.3695652173913043,6,3,0.5,9,0,0.0,3,1.0,6,9,0.28049104147327647,0.13023684210526162,0.8703703703703705
POOLED_REUSED_EXTVAL,PERSIST_BOTH,0.28173076923076923,40,11,0.275,189,20,0.10582010582010581,31,0.3548387096774194,6,3,0.5,9,0,0.0,3,1.0,6,9,0.28049104147327647,0.13023684210526162,0.8703703703703705
POOLED_REUSED_EXTVAL,REFINED_STATE,0.28173076923076923,40,14,0.35,189,20,0.10582010582010581,34,0.4117647058823529,6,3,0.5,9,0,0.0,3,1.0,6,9,0.28049104147327647,0.13023684210526162,0.8703703703703705
POOLED_MAJOR,PLUS15_SAFE,0.28173076923076923,78,45,0.5769230769230769,348,38,0.10919540229885058,83,0.5421686746987951,12,4,0.3333333333333333,15,0,0.0,4,1.0,12,15,0.21067115236005943,0.13023684210526162,0.711111111111111
POOLED_MAJOR,PERSIST_BOTH,0.28173076923076923,78,33,0.4230769230769231,348,23,0.06609195402298851,56,0.5892857142857143,12,4,0.3333333333333333,15,0,0.0,4,1.0,12,15,0.21067115236005943,0.13023684210526162,0.711111111111111
POOLED_MAJOR,REFINED_STATE,0.28173076923076923,78,37,0.47435897435897434,348,23,0.06609195402298851,60,0.6166666666666667,12,4,0.3333333333333333,15,0,0.0,4,1.0,12,15,0.21067115236005943,0.13023684210526162,0.711111111111111
