role,partition,feature,win_median,fail_median,gap_dev,effect_dev,gap_ext,gap_rv,b2_median,positive_blocks_median,b2_on_fail_side,support_same_direction,support_available,strong
CENTRAL,development,ref_width_pct,0.03089760586974628,0.026197163319758424,0.0047004425499878565,0.29175698919870374,-0.03980400172013156,0.01563374365792332,0.0217810862972155,0.03190418215102378,True,1,4,False
CENTRAL,development,parent_mfe_R,0.13900780659783393,0.1714677640603565,-0.03245995746252256,0.2533663833941088,0.053854711067661376,0.14918283963227297,0.17460317460317298,0.13900780659783393,True,1,4,False
CENTRAL,development,parent_mae_R,0.1295973077800605,0.1603053435114462,-0.030708035731385697,0.8709216789576528,-0.08645172038953108,-0.042461580622719736,0.1603053435114462,0.1295973077800605,True,3,4,True
CENTRAL,development,parent_hold_min,20.0,20.0,0.0,0.0,-2.5,10.0,20.0,20.0,False,0,4,False
CENTRAL,development,exit_to_signal_min,10.0,10.0,0.0,0.0,-7.5,-5.0,15.0,7.5,False,0,4,False
CENTRAL,development,signal_to_confirm_min,10.0,10.0,0.0,0.0,0.0,0.0,10.0,10.0,False,0,4,False
CENTRAL,development,confirm_to_e20_min,5.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,False,0,4,False
CENTRAL,development,confirm_close_R,0.2336268096860329,0.1645569620253094,0.0690698476607235,0.6013129903839929,0.09447764670152392,0.08173742181878468,0.16030534351145162,0.2460807500087693,True,2,4,False
CENTRAL,development,confirm_body_R,0.03610100756720619,0.06153846153846036,-0.025437453971254173,0.2688210003474951,0.03428111624472231,0.05742095636268009,0.04761904761904923,0.04972226833189877,False,2,4,False
CENTRAL,development,running_mfe_R_to_confirm,0.30904866242768625,0.27184466019417214,0.03720400223351411,0.5059048384848163,0.08916449653508579,0.04045625239643891,0.27184466019417214,0.3075902902044186,True,3,4,True
CENTRAL,development,running_mae_R_to_confirm,0.09652472929470382,0.0873786407766988,0.009146088518005024,0.11314210080313336,-0.08443991956314172,-0.09591668385233904,0.0873786407766988,0.0751523815876557,False,1,4,False
CENTRAL,development,preconfirm_30m_return_R,0.22908757853677464,0.22908093278463457,6.645752140072014e-06,4.914491756217634e-05,0.07072457610700092,0.09726940162006084,0.24050632911391928,0.2305951434226023,False,4,4,False
CENTRAL,development,preexit_60m_return_R,0.19070290858726244,0.29113924050633183,-0.1004363319190694,0.517130182310473,0.13930633909526832,0.0373812688911514,0.2769230769230771,0.18422190242709308,True,2,4,False
CENTRAL,development,preexit_60m_range_R,0.5486566518966811,0.6461538461538502,-0.09749719425716907,0.2899391218062445,0.0531469676696808,0.1865140864559564,0.6031746031746048,0.519599091537472,True,2,4,False
CENTRAL,development,preentry_30m_return_R,0.2697914876553871,0.1692307692307687,0.10056071842461836,0.8538361059002101,0.03319191064173843,0.09187045604759622,0.1692307692307687,0.2494440020319857,True,3,4,True
CENTRAL,development,preentry_30m_range_R,0.43853334854361226,0.3592233009708709,0.07931004757274135,0.5777927656496191,0.012849523399495966,0.04377629650640674,0.3592233009708709,0.41409475140648844,True,3,4,True
CENTRAL,development,preentry_60m_return_R,0.4280173753375119,0.39368998628257723,0.034327389054934654,0.15275499955945035,0.10643636351346697,-0.06225503004965244,0.2900763358778602,0.4280173753375119,True,3,4,False
CENTRAL,development,preentry_60m_range_R,0.6235267877208898,0.569230769230772,0.05429601849011778,0.17950972607551524,0.08209692249187889,-0.056397306397302005,0.569230769230772,0.6235267877208898,True,2,4,False
CENTRAL,development,last_completed_close_R_before_e20,0.2336268096860329,0.17562254259501955,0.058004267091013334,0.5840136371220296,0.09769763639755669,0.08173742181878468,0.16030534351145162,0.2460807500087693,True,2,4,False
