partition,regime,clock_block,obs_start,obs_end,rebreak_complete_ts,H,L,R4,followthrough_eligible,terminal_type,continuation_terminal_ts,max_down_ext_r4,minutes_to_reclaim,hit_0p025,min_0p025,hit_0p05,min_0p05,hit_0p075,min_0p075,hit_0p1,min_0p1,hit_0p15,min_0p15,hit_0p2,min_0p2,hit_0p25,min_0p25,hit_0p35,min_0p35,hit_0p5,min_0p5
development,BEAR,00-04,2022-01-03 00:00:00+00:00,2022-01-03 04:00:00+00:00,2022-01-03 04:00:00+00:00,47469.46,46815.75,653.7099999999991,False,NO_FOLLOWTHROUGH_WINDOW,,,,,,,,,,,,,,,,,,,,,
development,BEAR,16-20,2022-01-17 16:00:00+00:00,2022-01-17 20:00:00+00:00,2022-01-17 16:30:00+00:00,42768.95,42345.78,423.1699999999983,True,BLOCK_END,2022-01-17 20:00:00+00:00,1.2283006829406642,,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,10.0,True,30.0
development,BEAR,12-16,2022-01-18 12:00:00+00:00,2022-01-18 16:00:00+00:00,2022-01-18 14:55:00+00:00,42040.0,41379.39,660.6100000000006,True,RECLAIM_ABOVE_L,2022-01-18 15:00:00+00:00,0.11581719925523679,5.0,True,0.0,True,0.0,True,0.0,True,0.0,False,,False,,False,,False,,False,
development,BEAR,20-00,2022-01-21 20:00:00+00:00,2022-01-22 00:00:00+00:00,2022-01-21 20:30:00+00:00,39045.0,37805.0,1240.0,True,RECLAIM_ABOVE_L,2022-01-21 20:35:00+00:00,0.055233870967740295,5.0,True,0.0,True,0.0,False,,False,,False,,False,,False,,False,,False,
development,BULL,08-12,2022-02-05 08:00:00+00:00,2022-02-05 12:00:00+00:00,2022-02-05 09:50:00+00:00,41752.46,41352.85,399.6100000000006,True,RECLAIM_ABOVE_L,2022-02-05 10:00:00+00:00,0.3959610620354738,10.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,False,
development,BULL,08-12,2022-02-08 08:00:00+00:00,2022-02-08 12:00:00+00:00,2022-02-08 08:55:00+00:00,45600.0,44063.38,1536.6200000000026,True,RECLAIM_ABOVE_L,2022-02-08 09:05:00+00:00,0.08562299071989138,10.0,True,0.0,True,0.0,True,0.0,False,,False,,False,,False,,False,,False,
development,BULL,16-20,2022-02-08 16:00:00+00:00,2022-02-08 20:00:00+00:00,2022-02-08 19:30:00+00:00,43978.64,42822.0,1156.6399999999994,True,RECLAIM_ABOVE_L,2022-02-08 19:35:00+00:00,0.11782404205284178,5.0,True,0.0,True,0.0,True,0.0,True,0.0,False,,False,,False,,False,,False,
development,BEAR,16-20,2022-02-13 16:00:00+00:00,2022-02-13 20:00:00+00:00,2022-02-13 18:40:00+00:00,42755.97,42158.01,597.9599999999991,True,BLOCK_END,2022-02-13 20:00:00+00:00,0.5151013445715474,,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
development,BEAR,12-16,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,2022-02-18 15:35:00+00:00,40938.0,40073.1,864.9000000000015,True,BLOCK_END,2022-02-18 16:00:00+00:00,0.540293675569424,,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,5.0
development,BEAR,00-04,2022-02-20 00:00:00+00:00,2022-02-20 04:00:00+00:00,2022-02-20 03:45:00+00:00,40119.0,39777.0,342.0,True,RECLAIM_ABOVE_L,2022-02-20 04:00:00+00:00,0.2242690058479447,15.0,True,0.0,True,0.0,True,0.0,True,0.0,True,5.0,True,5.0,False,,False,,False,
development,BULL,00-04,2022-03-03 00:00:00+00:00,2022-03-03 04:00:00+00:00,2022-03-03 02:35:00+00:00,44345.0,43661.8,683.1999999999971,True,RECLAIM_ABOVE_L,2022-03-03 02:40:00+00:00,0.105093676814993,5.0,True,0.0,True,0.0,True,0.0,True,0.0,False,,False,,False,,False,,False,
development,BEAR,08-12,2022-03-13 08:00:00+00:00,2022-03-13 12:00:00+00:00,2022-03-13 08:25:00+00:00,39300.0,39051.6,248.40000000000143,True,RECLAIM_ABOVE_L,2022-03-13 08:35:00+00:00,0.17673107890499679,10.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,False,,False,,False,,False,
development,BULL,16-20,2022-03-16 16:00:00+00:00,2022-03-16 20:00:00+00:00,2022-03-16 17:05:00+00:00,41188.0,40232.3,955.6999999999972,True,RECLAIM_ABOVE_L,2022-03-16 17:15:00+00:00,0.18342576122214443,10.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,False,,False,,False,,False,
development,BULL,08-12,2022-03-20 08:00:00+00:00,2022-03-20 12:00:00+00:00,2022-03-20 09:50:00+00:00,41998.0,41728.8,269.1999999999971,True,RECLAIM_ABOVE_L,2022-03-20 09:55:00+00:00,0.11961367013374707,5.0,True,0.0,True,0.0,True,0.0,True,0.0,False,,False,,False,,False,,False,
development,BEAR,12-16,2022-03-21 12:00:00+00:00,2022-03-21 16:00:00+00:00,2022-03-21 14:10:00+00:00,41481.1,41055.8,425.2999999999956,True,RECLAIM_ABOVE_L,2022-03-21 15:20:00+00:00,0.7714554432165748,70.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,10.0
development,BULL,04-08,2022-03-23 04:00:00+00:00,2022-03-23 08:00:00+00:00,2022-03-23 05:10:00+00:00,42518.0,41842.4,675.5999999999985,True,RECLAIM_ABOVE_L,2022-03-23 05:20:00+00:00,0.12152161042036519,10.0,True,0.0,True,0.0,True,0.0,True,0.0,False,,False,,False,,False,,False,
development,BEAR,08-12,2022-04-06 08:00:00+00:00,2022-04-06 12:00:00+00:00,2022-04-06 11:00:00+00:00,45485.8,45100.3,385.5,True,BLOCK_END,2022-04-06 12:00:00+00:00,1.2199740596627833,,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
development,BEAR,00-04,2022-04-07 00:00:00+00:00,2022-04-07 04:00:00+00:00,2022-04-07 01:20:00+00:00,44040.7,43110.0,930.6999999999972,True,RECLAIM_ABOVE_L,2022-04-07 01:25:00+00:00,0.16933490920812186,5.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,False,,False,,False,,False,
development,BEAR,20-00,2022-04-08 20:00:00+00:00,2022-04-09 00:00:00+00:00,2022-04-08 23:00:00+00:00,43707.2,42298.2,1409.0,True,BLOCK_END,2022-04-09 00:00:00+00:00,0.1591199432221413,,True,0.0,True,0.0,True,0.0,True,0.0,True,10.0,False,,False,,False,,False,
development,BEAR,16-20,2022-04-11 16:00:00+00:00,2022-04-11 20:00:00+00:00,2022-04-11 17:20:00+00:00,41245.9,40536.0,709.9000000000015,True,BLOCK_END,2022-04-11 20:00:00+00:00,1.1350894492182015,,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,20.0,True,120.0
development,BEAR,08-12,2022-04-16 08:00:00+00:00,2022-04-16 12:00:00+00:00,2022-04-16 08:50:00+00:00,40544.1,40350.0,194.09999999999852,True,RECLAIM_ABOVE_L,2022-04-16 09:00:00+00:00,0.11952601751672987,10.0,True,0.0,True,5.0,True,5.0,True,5.0,False,,False,,False,,False,,False,
development,SIDEWAYS,16-20,2022-04-17 16:00:00+00:00,2022-04-17 20:00:00+00:00,2022-04-17 17:30:00+00:00,40574.1,40164.0,410.09999999999854,True,RECLAIM_ABOVE_L,2022-04-17 17:35:00+00:00,0.03413801511826396,5.0,True,0.0,False,,False,,False,,False,,False,,False,,False,,False,
development,BULL,16-20,2022-04-20 16:00:00+00:00,2022-04-20 20:00:00+00:00,2022-04-20 18:55:00+00:00,42160.0,41037.3,1122.699999999997,True,RECLAIM_ABOVE_L,2022-04-20 19:10:00+00:00,0.13271577447225474,15.0,True,0.0,True,0.0,True,0.0,True,0.0,False,,False,,False,,False,,False,
development,BEAR,12-16,2022-04-24 12:00:00+00:00,2022-04-24 16:00:00+00:00,2022-04-24 13:25:00+00:00,39777.0,39524.1,252.90000000000143,True,RECLAIM_ABOVE_L,2022-04-24 13:45:00+00:00,0.8070383550810494,20.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,10.0,True,10.0
development,SIDEWAYS,12-16,2022-04-28 12:00:00+00:00,2022-04-28 16:00:00+00:00,2022-04-28 13:45:00+00:00,39878.0,39340.0,538.0,True,RECLAIM_ABOVE_L,2022-04-28 15:05:00+00:00,0.8888475836431172,80.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0
development,BEAR,12-16,2022-04-30 12:00:00+00:00,2022-04-30 16:00:00+00:00,2022-04-30 13:45:00+00:00,38678.8,38514.0,164.8000000000029,True,RECLAIM_ABOVE_L,2022-04-30 14:10:00+00:00,0.8780339805824912,25.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,5.0,True,15.0,True,15.0,True,15.0
development,BEAR,16-20,2022-05-01 16:00:00+00:00,2022-05-01 20:00:00+00:00,2022-05-01 19:25:00+00:00,38680.6,37812.0,868.5999999999985,True,RECLAIM_ABOVE_L,2022-05-01 19:40:00+00:00,0.11305549159566804,15.0,True,0.0,True,0.0,True,5.0,True,5.0,False,,False,,False,,False,,False,
development,SIDEWAYS,08-12,2022-05-02 08:00:00+00:00,2022-05-02 12:00:00+00:00,2022-05-02 11:55:00+00:00,39155.0,38572.8,582.1999999999971,True,BLOCK_END,2022-05-02 12:00:00+00:00,0.19374785297149344,,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,False,,False,,False,,False,
development,SIDEWAYS,16-20,2022-05-02 16:00:00+00:00,2022-05-02 20:00:00+00:00,2022-05-02 18:30:00+00:00,39222.0,38218.0,1004.0,True,RECLAIM_ABOVE_L,2022-05-02 18:55:00+00:00,0.1850597609561782,25.0,True,0.0,True,0.0,True,0.0,True,0.0,True,10.0,False,,False,,False,,False,
development,SIDEWAYS,12-16,2022-05-03 12:00:00+00:00,2022-05-03 16:00:00+00:00,2022-05-03 14:20:00+00:00,38659.7,38250.0,409.6999999999971,True,RECLAIM_ABOVE_L,2022-05-03 14:25:00+00:00,0.07078350012204102,5.0,True,0.0,True,0.0,False,,False,,False,,False,,False,,False,,False,
development,BULL,08-12,2022-05-05 08:00:00+00:00,2022-05-05 12:00:00+00:00,2022-05-05 08:55:00+00:00,39845.0,39515.8,329.1999999999971,True,RECLAIM_ABOVE_L,2022-05-05 09:10:00+00:00,0.26306196840828244,15.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,False,,False,
development,BEAR,08-12,2022-05-06 08:00:00+00:00,2022-05-06 12:00:00+00:00,2022-05-06 11:25:00+00:00,36535.9,35800.0,735.9000000000015,True,RECLAIM_ABOVE_L,2022-05-06 11:35:00+00:00,0.339720070661774,10.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,False,,False,
development,BEAR,12-16,2022-05-09 12:00:00+00:00,2022-05-09 16:00:00+00:00,2022-05-09 14:55:00+00:00,33789.2,32620.0,1169.199999999997,True,RECLAIM_ABOVE_L,2022-05-09 15:10:00+00:00,0.20295928840232627,15.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,5.0,False,,False,,False,
development,BEAR,00-04,2022-05-10 00:00:00+00:00,2022-05-10 04:00:00+00:00,2022-05-10 00:30:00+00:00,31888.5,30003.6,1884.9000000000012,True,RECLAIM_ABOVE_L,2022-05-10 00:40:00+00:00,0.16032680778820993,10.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,False,,False,,False,,False,
development,BULL,08-12,2022-05-25 08:00:00+00:00,2022-05-25 12:00:00+00:00,2022-05-25 11:25:00+00:00,30209.3,29658.4,550.8999999999978,True,BLOCK_END,2022-05-25 12:00:00+00:00,0.5810491922309011,,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,5.0,True,5.0
development,BEAR,12-16,2022-06-04 12:00:00+00:00,2022-06-04 16:00:00+00:00,2022-06-04 13:20:00+00:00,29794.1,29575.0,219.09999999999852,True,RECLAIM_ABOVE_L,2022-06-04 13:30:00+00:00,0.14605203103605757,10.0,True,0.0,True,0.0,True,5.0,True,5.0,False,,False,,False,,False,,False,
development,BEAR,00-04,2022-06-09 00:00:00+00:00,2022-06-09 04:00:00+00:00,2022-06-09 02:00:00+00:00,30515.8,30090.0,425.7999999999993,True,RECLAIM_ABOVE_L,2022-06-09 02:05:00+00:00,0.07703147017378893,5.0,True,0.0,True,0.0,True,0.0,False,,False,,False,,False,,False,,False,
development,BEAR,12-16,2022-06-12 12:00:00+00:00,2022-06-12 16:00:00+00:00,2022-06-12 13:50:00+00:00,27698.0,27324.5,373.5,True,RECLAIM_ABOVE_L,2022-06-12 14:25:00+00:00,1.2704149933065596,35.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,0.0,True,25.0,True,25.0
development,BULL,20-00,2022-06-21 20:00:00+00:00,2022-06-22 00:00:00+00:00,2022-06-21 20:50:00+00:00,21540.0,20863.6,676.4000000000015,True,RECLAIM_ABOVE_L,2022-06-21 21:05:00+00:00,0.06445890005913432,15.0,True,0.0,True,0.0,False,,False,,False,,False,,False,,False,,False,
development,BULL,00-04,2022-06-22 00:00:00+00:00,2022-06-22 04:00:00+00:00,2022-06-22 01:05:00+00:00,21056.7,20535.2,521.5,True,RECLAIM_ABOVE_L,2022-06-22 01:10:00+00:00,0.05177372962607862,5.0,True,0.0,True,0.0,False,,False,,False,,False,,False,,False,,False,
development,BULL,16-20,2022-06-26 16:00:00+00:00,2022-06-26 20:00:00+00:00,2022-06-26 18:15:00+00:00,21888.0,21180.0,708.0,True,RECLAIM_ABOVE_L,2022-06-26 18:25:00+00:00,0.08968926553672317,10.0,True,0.0,True,0.0,True,5.0,False,,False,,False,,False,,False,,False,
development,SIDEWAYS,12-16,2022-07-05 12:00:00+00:00,2022-07-05 16:00:00+00:00,2022-07-05 12:40:00+00:00,20209.2,19461.9,747.2999999999993,True,RECLAIM_ABOVE_L,2022-07-05 13:50:00+00:00,0.22788706008296947,70.0,True,0.0,True,0.0,True,15.0,True,15.0,True,15.0,True,20.0,False,,False,,False,
