arm,partition,candidate_count,early_floor_violations,same_entry_ties
E10,external,167,0,12
E10,development,288,0,42
E10,reference_validation,120,0,14
E15,external,167,0,12
E15,development,288,0,42
E15,reference_validation,120,0,14
E20,external,167,0,12
E20,development,288,0,42
E20,reference_validation,120,0,14
E25,external,167,0,12
E25,development,288,0,42
E25,reference_validation,120,0,14
E30,external,167,0,12
E30,development,288,0,42
E30,reference_validation,120,0,14
E35,external,167,0,12
E35,development,288,0,42
E35,reference_validation,120,0,14
E40,external,167,0,12
E40,development,288,0,42
E40,reference_validation,120,0,14
