phase,side,baseline_n,baseline_rate,selected_n,selected_rate,lift
CONSTRUCTION_2020_2024,BUY_SIDE,2677,0.25065371684721705,151,0.543046357615894,0.292392640768677
CONSTRUCTION_2020_2024,SELL_SIDE,2723,0.23172970987881014,137,0.5182481751824818,0.28651846530367164
HOLDOUT_2025,BUY_SIDE,624,0.24519230769230768,37,0.4864864864864865,0.24129417879417883
HOLDOUT_2025,SELL_SIDE,623,0.24719101123595505,43,0.6046511627906976,0.3574601515547426
