partition,k,zone_name,setups,activations,activation_rate,confirmations,confirmation_rate,trades,wins,losses,wr,tp_rate,pf,net_exp,total_net,median_rr,median_pullback_low_fraction,screen_pass
external,1,Z75,101,40,0.39603960396039606,32,0.31683168316831684,32,23,9,0.71875,0.8125,2.461782993075365,0.5591144067341399,17.891661015492478,0.6108688119343955,0.6635045758987058,False
external,1,Z80,101,47,0.46534653465346537,35,0.3465346534653465,35,25,10,0.7142857142857143,0.8285714285714286,1.8044096684373956,0.3237931731656274,11.332761060796958,0.5695758477729553,0.6903997962821505,False
external,1,Z85,101,57,0.5643564356435643,44,0.43564356435643564,44,29,15,0.6590909090909091,0.8409090909090909,2.04967725192399,0.29815996402491923,13.119038417096446,0.4215111370183152,0.7258483729732995,False
external,2,Z75,27,6,0.2222222222222222,4,0.14814814814814814,4,3,1,0.75,1.0,18.6700767746313,0.7653420875019638,3.061368350007855,0.6201015302916749,0.6277096770918732,False
external,2,Z80,27,8,0.2962962962962963,6,0.2222222222222222,6,4,2,0.6666666666666666,0.8333333333333334,1.787566749471979,0.2189776792520178,1.3138660755121068,0.3334874044848376,0.709388655794335,False
external,2,Z85,27,12,0.4444444444444444,10,0.37037037037037035,10,8,2,0.8,0.9,2.5611381488760756,0.2604384268852403,2.604384268852403,0.3526088599190095,0.7594793659621442,False
development,1,Z75,164,99,0.6036585365853658,61,0.3719512195121951,61,32,29,0.5245901639344263,0.6721311475409836,0.4859593710874375,-0.5553209528216502,-33.87457812212066,0.4254254254254192,0.5810055865921788,False
development,1,Z80,164,111,0.676829268292683,61,0.3719512195121951,61,28,33,0.45901639344262296,0.6721311475409836,0.3356659930297125,-0.6958952368486686,-42.449609447768786,0.32330827067669,0.5948868608576079,False
development,1,Z85,164,121,0.7378048780487805,56,0.34146341463414637,56,26,30,0.4642857142857143,0.7321428571428571,0.38463170968629823,-0.4888737578830125,-27.3769304414487,0.2423337061767375,0.615228432099598,False
development,2,Z75,44,21,0.4772727272727273,16,0.36363636363636365,15,9,6,0.6,0.6666666666666666,0.617675871665703,-0.36967155077779446,-5.545073261666917,0.6899224806201463,0.6296789939147722,False
development,2,Z80,44,23,0.5227272727272727,16,0.36363636363636365,16,8,8,0.5,0.625,0.33992781070672,-0.7956506249348824,-12.730409998958118,0.4125910266867559,0.6463455496834889,False
development,2,Z85,44,27,0.6136363636363636,13,0.29545454545454547,13,7,6,0.5384615384615384,0.6923076923076923,0.4200598367992382,-0.30510524412947226,-3.9663681736831395,0.16649214659687386,0.6483870967742053,False
reference_validation,1,Z75,82,44,0.5365853658536586,25,0.3048780487804878,25,16,9,0.64,0.76,0.8697651681509442,-0.07818864891042848,-1.954716222760712,0.34209597741710074,0.534678211193429,False
reference_validation,1,Z80,82,47,0.573170731707317,24,0.2926829268292683,24,14,10,0.5833333333333334,0.75,0.5582656354690044,-0.29266046216437175,-7.023851091944922,0.3151700734910269,0.5638678971482884,False
reference_validation,1,Z85,82,50,0.6097560975609756,24,0.2926829268292683,24,11,13,0.4583333333333333,0.75,0.3201666872704666,-0.465881131062972,-11.181147145511328,0.28770995133558996,0.5937837246444837,False
reference_validation,2,Z75,17,5,0.29411764705882354,3,0.17647058823529413,3,3,0,1.0,1.0,inf,0.7241326191791339,2.1723978575374017,0.28508544795444496,0.25770266227939187,False
reference_validation,2,Z80,17,6,0.35294117647058826,3,0.17647058823529413,3,3,0,1.0,1.0,inf,0.39031866007062127,1.1709559802118639,0.2801545680375357,0.25770266227939187,False
reference_validation,2,Z85,17,7,0.4117647058823529,3,0.17647058823529413,3,3,0,1.0,1.0,inf,0.2579154968405036,0.7737464905215107,0.20842464085708895,0.25770266227939187,False
august,1,Z75,4,2,0.5,2,0.5,2,1,1,0.5,0.5,0.4132898969842155,-0.36683590841070607,-0.7336718168214121,0.5599669243808945,0.4341197158576495,False
august,1,Z80,4,3,0.75,3,0.75,3,2,1,0.6666666666666666,0.6666666666666666,0.6701206252492028,-0.13750300131830615,-0.4125090039549184,0.34985074626866974,0.6150602409638612,False
august,1,Z85,4,3,0.75,2,0.5,2,1,1,0.5,1.0,1.6451334532020636,0.06297144894275053,0.12594289788550106,0.1960023720739415,0.7063039172930652,False
august,2,Z75,2,0,0.0,0,0.0,0,0,0,,,,,,,,False
august,2,Z80,2,0,0.0,0,0.0,0,0,0,,,,,,,,False
august,2,Z85,2,0,0.0,0,0.0,0,0,0,,,,,,,,False
