track,anchor_hour,or_min,trigger,geom,entry_ts,side,net_ret,reason,ref_t,trigger_ts
H4,20,240,CLASSIC,R100,2023-01-02 04:00:00+00:00,LONG,-0.0038837115048604974,SL,2023-01-01 20:00:00+00:00,2023-01-02 00:00:00+00:00
H4,20,240,CLASSIC,R125,2023-01-02 04:00:00+00:00,LONG,-0.0038837115048604974,SL,2023-01-01 20:00:00+00:00,2023-01-02 00:00:00+00:00
H4,20,240,CLASSIC,R150,2023-01-02 04:00:00+00:00,LONG,-0.0038837115048604974,SL,2023-01-01 20:00:00+00:00,2023-01-02 00:00:00+00:00
H4,20,240,CLASSIC,R100,2023-01-04 04:00:00+00:00,LONG,0.0015968384957197337,TP,2023-01-03 20:00:00+00:00,2023-01-04 00:00:00+00:00
H4,20,240,CLASSIC,R125,2023-01-04 04:00:00+00:00,LONG,-0.004596838495719622,SL,2023-01-03 20:00:00+00:00,2023-01-04 00:00:00+00:00
H4,20,240,CLASSIC,R150,2023-01-04 04:00:00+00:00,LONG,-0.004596838495719622,SL,2023-01-03 20:00:00+00:00,2023-01-04 00:00:00+00:00
H4,20,240,CLASSIC,R100,2023-01-09 04:00:00+00:00,LONG,0.0027063986129941,TIME,2023-01-08 20:00:00+00:00,2023-01-09 00:00:00+00:00
H4,20,240,CLASSIC,R125,2023-01-09 04:00:00+00:00,LONG,0.0027063986129941,TIME,2023-01-08 20:00:00+00:00,2023-01-09 00:00:00+00:00
H4,20,240,CLASSIC,R150,2023-01-09 04:00:00+00:00,LONG,0.0027063986129941,TIME,2023-01-08 20:00:00+00:00,2023-01-09 00:00:00+00:00
H4,20,240,CLASSIC,R100,2023-01-12 04:00:00+00:00,LONG,-0.009152151000982487,TIME,2023-01-11 20:00:00+00:00,2023-01-12 00:00:00+00:00
H4,20,240,CLASSIC,R125,2023-01-12 04:00:00+00:00,LONG,-0.009152151000982487,TIME,2023-01-11 20:00:00+00:00,2023-01-12 00:00:00+00:00
H4,20,240,CLASSIC,R150,2023-01-12 04:00:00+00:00,LONG,-0.009152151000982487,TIME,2023-01-11 20:00:00+00:00,2023-01-12 00:00:00+00:00
H4,20,240,CLASSIC,R100,2023-01-14 04:00:00+00:00,LONG,-0.03438214057781869,SL,2023-01-13 20:00:00+00:00,2023-01-14 00:00:00+00:00
