action,L_to_W,L_to_NT,W_to_W,W_to_L,W_to_NT,net_win_opportunities,executed_opportunities,trade_legs,net_wr_executed,avg_net_return_per_opportunity,total_pnl_usd_500,profit_factor_opportunity,rank
BASELINE,0,0,25,0,0,25,50,50,0.5,0.0011135066406649085,27.837666016622716,1.342245440960338,0
M2_H10_TOUCH_LOCK_H,3,0,22,3,0,25,50,50,0.5,0.00030398114867457595,7.5995287168643975,1.099687469907368,1
M4_PARTIAL50_AT_H10,2,0,25,0,0,27,50,50,0.54,0.0006624545895942448,16.561364739856124,1.219822256914722,2
M3_PARTIAL50_AT_H,1,0,25,0,0,26,50,50,0.52,0.0003204701743907271,8.011754359768178,1.114658234637591,3
R1_ONE_FRESH_MICROHL_AFTER_SL_BEFORE_H,0,0,25,0,0,25,50,65,0.5,0.000715698283793838,17.89245709484595,1.1960097196801216,4
C3_CLOSE_ABOVE_PREV_HIGH,0,8,24,1,0,24,42,42,0.5714285714285714,0.00028758426337503713,7.189606584375928,1.1107177993218664,5
C2_SECOND_BULL_PROGRESS,0,4,24,1,0,24,46,46,0.5217391304347826,-0.00011648334194733194,-2.912083548683296,0.9637851089436789,6
C1_CLOSE_ABOVE_SIGNAL_HIGH,0,6,23,2,0,23,44,44,0.5227272727272727,-6.773007634740415e-05,-1.6932519086851032,0.9775325443468219,7
M1_H_TOUCH_LOCK_005R,0,0,15,10,0,15,50,50,0.3,-0.0008356090388612769,-20.89022597153192,0.7335963419343533,8
