feature,winner_p25,winner_median,winner_p75,loser_p25,loser_median,loser_p75,cles_loss_gt_win,separation_from_0_5
pre_entry_max_close_depth_R,0.1625320786997504,0.22967863894139448,0.3950617283950597,0.1927083333333341,0.4141048824593165,0.6554621848739398,0.6816,0.18159999999999998
signal_low_depth_R,0.15654405474765032,0.284147557328019,0.4207547169811315,0.2068965517241367,0.4564220183486245,0.6329113924050621,0.6752,0.17520000000000002
entry_depth_R,0.08041060735671944,0.1527093596059131,0.32452830188679327,0.14999999999999922,0.3494623655913983,0.47890295358649315,0.6672,0.16720000000000002
pre_entry_max_depth_R,0.23925501432665736,0.33276304533790263,0.4433962264150947,0.24578313253012776,0.519906323185007,0.8037974683544293,0.6672,0.16720000000000002
prev_low_depth_R,0.23925501432665736,0.33276304533790263,0.4433962264150947,0.24578313253012776,0.4966261808367064,0.8037974683544293,0.664,0.16400000000000003
signal_range_R,0.061403508771932375,0.10379241516965723,0.1506696428571448,0.08192771084338049,0.14051522248244153,0.21563981042653135,0.6608,0.16080000000000005
minutes_entry_to_ny_close,300.0,350.0,360.0,290.0,320.0,350.0,0.3728,0.12719999999999998
minutes_ny_open_to_entry,30.0,40.0,90.0,40.0,70.0,100.0,0.6272,0.12719999999999998
signal_body_R,0.031904287138589324,0.05373134328358376,0.07527801539777514,0.04301075268817845,0.057831325301206535,0.132701421800961,0.6112,0.11119999999999997
micro_close_lift_R,0.030907278165498132,0.05373134328358376,0.07766990291261686,0.038019451812556046,0.05591397849462152,0.13507109004740434,0.608,0.10799999999999998
reference_range_pct,0.01574139142656366,0.02245658025738403,0.029062435035686944,0.013527168421395853,0.021740597065272368,0.02559733283941459,0.4096,0.09039999999999998
signal_body_ratio,0.30588235294122446,0.48888888888890014,0.7179487179486731,0.37956204379562664,0.5949367088607067,0.6737588652482744,0.5424,0.04239999999999999
minutes_leave_to_entry,10.0,15.0,20.0,10.0,15.0,25.0,0.5408,0.04079999999999995
pre_entry_bar_count,2.0,3.0,4.0,2.0,3.0,5.0,0.5408,0.04079999999999995
micro_hl_lift_R,0.022641509433963196,0.03333333333333056,0.0734767025089598,0.010416666666657106,0.036956521739129895,0.06896551724137594,0.488,0.01200000000000001
signal_close_position,0.6571428571428107,0.7435897435897735,0.8942307692307553,0.5781250000000194,0.7575757575757941,0.9166666666667456,0.4992,0.0008000000000000229
