role,partition,snapshot_min,feature,latent_n,true_n,latent_median,true_median,gap_dev,gap_ext,gap_rv,support_same_direction,central_replicated,strong_replicated
CENTRAL,development,0,mfe_R,175,182,0.1726814939152278,0.15362047980023877,0.019061014114989033,0.02950974090893692,0.05332782471206071,6,True,True
CENTRAL,development,0,mae_R,175,182,0.1781319910514546,0.23627530520784906,-0.058143314156394454,-0.0048293878510399235,-0.03154550020729752,5,True,True
CENTRAL,development,0,hold_min,175,182,20.0,25.0,-5.0,-5.0,0.0,3,False,False
CENTRAL,development,0,entry_to_break_min,146,116,0.0,0.0,0.0,0.0,0.0,0,False,False
CENTRAL,development,0,break_to_fail_min,146,116,10.0,10.0,0.0,0.0,5.0,0,False,False
CENTRAL,development,0,reclaim_min,175,96,15.0,27.5,-12.5,0.0,2.5,3,False,False
CENTRAL,development,0,visit_count,175,182,3.0,3.0,0.0,1.5,1.0,0,False,False
CENTRAL,development,5,close_R,175,182,-0.07637231503579793,-0.12465136629548636,0.04827905125968843,0.025723100589650792,0.07669734695232659,6,True,True
CENTRAL,development,5,running_mfe_R,175,182,0.0,0.0,0.0,0.0,0.014999999999995831,0,False,False
CENTRAL,development,5,running_mae_R,175,182,0.1311475409836068,0.18607414523396987,-0.05492660425036308,-0.0034583799658832876,-0.03795026745574176,4,True,True
CENTRAL,development,5,closes_above_H,175,182,0.0,0.0,0.0,0.0,0.0,0,False,False
CENTRAL,development,5,closes_le_H,175,182,1.0,1.0,0.0,0.0,0.0,0,False,False
CENTRAL,development,5,reclaim_by_snapshot,175,182,0.0,0.0,0.0,0.0,0.0,0,False,False
CENTRAL,development,10,close_R,175,182,-0.06342570473004998,-0.1597583415112874,0.09633263678123742,0.08354935079013635,0.04779844163480572,6,True,True
CENTRAL,development,10,running_mfe_R,175,182,0.023433520122262807,0.0,0.023433520122262807,0.020094722073065376,0.026315789473688393,6,True,True
CENTRAL,development,10,running_mae_R,175,182,0.14987510407993446,0.2139107902197012,-0.06403568613976673,-0.010581922560135626,-0.029089301503092108,5,True,True
CENTRAL,development,10,closes_above_H,175,182,0.0,0.0,0.0,0.0,0.0,0,False,False
CENTRAL,development,10,closes_le_H,175,182,2.0,2.0,0.0,0.0,0.0,0,False,False
CENTRAL,development,10,reclaim_by_snapshot,175,182,0.0,0.0,0.0,0.0,0.0,0,False,False
CENTRAL,development,15,close_R,175,182,-0.0606060606060593,-0.18978254608295153,0.12917648547689223,0.08579469697084607,0.042794310315856565,6,True,True
CENTRAL,development,15,running_mfe_R,175,182,0.04669260700388716,0.0,0.04669260700388716,0.051876856024922265,0.04074074074074596,6,True,True
CENTRAL,development,15,running_mae_R,175,182,0.16065343756263734,0.2569263250528794,-0.09627288749024204,-0.0325677512820336,-0.024878544334377833,5,True,True
CENTRAL,development,15,closes_above_H,175,182,0.0,0.0,0.0,1.0,0.0,0,False,False
CENTRAL,development,15,closes_le_H,175,182,3.0,3.0,0.0,-1.0,0.0,0,False,False
CENTRAL,development,15,reclaim_by_snapshot,175,182,0.0,0.0,0.0,1.0,0.0,0,False,False
CENTRAL,development,30,close_R,175,182,-0.03572903758776827,-0.19797166220563356,0.1622426246178653,0.14377414225252455,0.1180146217952967,6,True,True
CENTRAL,development,30,running_mfe_R,175,182,0.09741248097412489,0.0,0.09741248097412489,0.10298997326586784,0.09561752988048206,6,True,True
CENTRAL,development,30,running_mae_R,175,182,0.19400499583680386,0.3047484751098575,-0.11074347927305361,-0.08595532586221472,-0.05357142857142916,6,True,True
CENTRAL,development,30,closes_above_H,175,182,2.0,0.0,2.0,2.0,1.0,6,True,True
CENTRAL,development,30,closes_le_H,175,182,4.0,6.0,-2.0,-2.0,-1.0,6,True,True
CENTRAL,development,30,reclaim_by_snapshot,175,182,1.0,0.0,1.0,1.0,1.0,6,True,True
CENTRAL,development,60,close_R,175,182,0.021218961625284076,-0.27392899120060443,0.2951479528258885,0.24360607784914576,0.2586191886259867,6,True,True
CENTRAL,development,60,running_mfe_R,175,182,0.19511184755592517,0.0,0.19511184755592517,0.11535043275668064,0.19786096256684296,6,True,True
CENTRAL,development,60,running_mae_R,175,182,0.2255389718076303,0.3877750124440019,-0.16223604063637162,-0.129494514184899,-0.13447522931945183,6,True,True
CENTRAL,development,60,closes_above_H,175,182,5.0,0.0,5.0,5.0,4.0,6,True,True
CENTRAL,development,60,closes_le_H,175,182,7.0,12.0,-5.0,-5.0,-4.0,6,True,True
CENTRAL,development,60,reclaim_by_snapshot,175,182,1.0,0.0,1.0,1.0,1.0,6,True,True
