partition,side,signal_ts,entry_ts,range_high_ts,range_low_ts,range_high,range_low,pressure_visits,pressure_bucket,opposite_visits,entry_px,stop_px,target_px,risk_pct,target_break_ts,stop_first_ts,target_break_before_stop,resolved,exit_ts,exit_px,gross_return,net_pnl_usd,exit_reason,hold_minutes
external,LONG,2020-01-23 04:00:00+00:00,2020-01-23 08:00:00+00:00,2020-01-19 20:00:00+00:00,2020-01-19 08:00:00+00:00,8760.93,8505.0,2,2,2,8582.93,8504.0,8740.79,0.009196160285590152,2020-01-27 16:00:00+00:00,2020-01-23 09:00:00+00:00,False,True,2020-01-23 09:00:00+00:00,8504.0,-0.009196160285590116,-4.998080142795058,SL,60.0
development,SHORT,2022-01-12 08:00:00+00:00,2022-01-12 12:00:00+00:00,2022-01-07 08:00:00+00:00,2022-01-07 12:00:00+00:00,42960.0,40456.56,2,2,2,42906.98,43444.0,41832.94000000001,0.01251591232941579,2022-01-21 04:00:00+00:00,2022-01-12 13:30:00+00:00,False,True,2022-01-12 13:30:00+00:00,43444.0,-0.012515912329415846,-6.657956164707923,SL,90.0
