role,partition,feature,rescue_n,nonrescue_n,rescue_median,nonrescue_median,gap_dev,gap_ext,gap_rv,support_same_direction,central_replicated,strong_replicated
CENTRAL,development,parent_loss_return,43,71,0.0011300499105377781,0.001186992202689141,-5.694229215136293e-05,-0.0005829016727325609,-0.000141788160882117,3,True,True
CENTRAL,development,parent_mfe_R,43,71,0.21621621621621975,0.16901408450704133,0.04720213170917842,0.016245613864522557,-0.026442767611076917,2,False,False
CENTRAL,development,parent_mae_R,43,71,0.13732048003147898,0.1500938086303872,-0.012773328598908229,-0.028728162886809197,0.013164968698067991,1,False,False
CENTRAL,development,parent_hold_min,43,71,20.0,20.0,0.0,-2.5,2.5,0,False,False
CENTRAL,development,signal_delay_min,43,71,15.0,15.0,0.0,0.0,-5.0,0,False,False
CENTRAL,development,first_reclaim_delay_min,43,71,5.0,5.0,0.0,-2.5,0.0,0,False,False
CENTRAL,development,first_to_second_gap_min,43,71,5.0,5.0,0.0,0.0,0.0,0,False,False
CENTRAL,development,consecutive_two,43,71,1.0,1.0,0.0,0.0,0.0,0,False,False
CENTRAL,development,closes_le_H_before_signal,43,71,1.0,1.0,0.0,0.0,-1.0,0,False,False
CENTRAL,development,first_reclaim_close_R,43,71,0.046650717703351136,0.046153846153848,0.0004968715495031334,0.024357258004056165,-0.002007283162651606,4,False,False
CENTRAL,development,signal_close_R,43,71,0.09777690340350467,0.05676373018798519,0.041013173215519484,0.035476960975951335,0.07194827079990727,4,True,True
CENTRAL,development,max_close_R_to_signal,43,71,0.1093525179856122,0.07088036117381663,0.03847215681179557,0.026144148221910676,0.055415576789621765,4,True,True
CENTRAL,development,running_mfe_R_to_signal,43,71,0.1423508564678086,0.12603648424543742,0.01631437222237117,0.013246204484605575,0.04206225809099137,4,True,True
CENTRAL,development,running_mae_R_to_signal,43,71,0.09626436781609199,0.0878938640132684,0.008370503802823587,-0.024896009811998673,0.012012435916594594,3,False,False
CENTRAL,development,giveback_R_to_signal,43,71,0.0,0.0,0.0,0.0,0.0,0,False,False
CENTRAL,development,signal_body_R,43,71,0.04918355301987017,0.03047484053862469,0.018708712481245483,0.02857070863763224,0.05309588681635522,4,True,True
CENTRAL,development,signal_upper_wick_R,43,71,0.03157894736842231,0.024926686217010663,0.006652261151411647,-0.00519307418469455,-0.012630350790203443,0,False,False
CENTRAL,development,signal_lower_wick_R,43,71,0.017897091722601087,0.02941176470588191,-0.011514672983280821,0.005228427860137844,0.000277755838812576,2,False,False
CENTRAL,development,signal_close_location,43,71,0.7400990099010131,0.671641791044659,0.06845721885635403,0.08290845028537142,0.28679653679647077,3,True,True
