partition,group,entered,resolved,wins,losses,wr,net_pf,net_exp,total_net,med_risk,med_hold,wick_rate,breakout_rate,primary_pass
external,ALL,3,3,0,3,0.0,0.0,-3.0987476175508264,-9.29624285265248,0.005412466057707011,100.0,0.0,0.0,False
external,TARGET_VISITS_1,3,3,0,3,0.0,0.0,-3.0987476175508264,-9.29624285265248,0.005412466057707011,100.0,0.0,0.0,False
external,TARGET_VISITS_2PLUS,0,0,0,0,,,,,,,,,False
external,LONG,1,1,0,1,0.0,0.0,-3.502111158983234,-3.502111158983234,0.006204222317966433,75.0,0.0,0.0,False
external,SHORT,2,2,0,2,0.0,0.0,-2.897065846834623,-5.794131693669246,0.004994131693669183,270.0,0.0,0.0,False
development,ALL,4,4,0,4,0.0,0.0,-3.2263514670954643,-12.905405868381857,0.004651901960219761,47.5,0.0,0.0,False
development,TARGET_VISITS_1,3,3,0,3,0.0,0.0,-2.0824832345579782,-6.247449703673935,0.002657261942930389,5.0,0.0,0.0,False
development,TARGET_VISITS_2PLUS,1,1,0,1,0.0,0.0,-6.657956164707923,-6.657956164707923,0.01251591232941579,90.0,0.0,0.0,False
development,LONG,1,1,0,1,0.0,0.0,-0.7955477434542387,-0.7955477434542387,0.0007910954869084867,0.0,0.0,0.0,False
development,SHORT,3,3,0,3,0.0,0.0,-4.0366193749758725,-12.109858124927618,0.006646541977509133,90.0,0.0,0.0,False
reference_validation,ALL,3,3,2,1,0.6666666666666666,9.971849343032295,5.767027825398464,17.30108347619539,0.009216253357785618,590.0,0.3333333333333333,0.3333333333333333,False
reference_validation,TARGET_VISITS_1,3,3,2,1,0.6666666666666666,9.971849343032295,5.767027825398464,17.30108347619539,0.009216253357785618,590.0,0.3333333333333333,0.3333333333333333,False
reference_validation,TARGET_VISITS_2PLUS,0,0,0,0,,,,,,,,,False
reference_validation,LONG,2,2,1,1,0.5,5.39999134322051,4.242415059204874,8.484830118409748,0.006934976472359618,3280.0,0.5,0.5,False
reference_validation,SHORT,1,1,1,0,1.0,inf,8.816253357785643,8.816253357785643,0.009216253357785618,590.0,0.0,0.0,False
august,ALL,0,0,0,0,,,,,,,,,False
august,TARGET_VISITS_1,0,0,0,0,,,,,,,,,False
august,TARGET_VISITS_2PLUS,0,0,0,0,,,,,,,,,False
august,LONG,0,0,0,0,,,,,,,,,False
august,SHORT,0,0,0,0,,,,,,,,,False
