replay,component,hour_wib,anchor_utc_min,lookback_min,hold_min,character_rule,entry_ts,exit_ts,gross,net,blocked_by_open_until
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-02-01 18:30:00+00:00,2022-02-02 00:30:00+00:00,0.26895505581713924,-0.48104494418286076,2022-02-02 00:15:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-02-22 18:15:00+00:00,2022-02-23 00:15:00+00:00,9.732983164153303,8.982983164153303,2022-02-23 00:00:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-02-22 18:30:00+00:00,2022-02-23 00:30:00+00:00,9.087853759918447,8.337853759918447,2022-02-23 00:00:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-02-22 18:45:00+00:00,2022-02-23 00:45:00+00:00,4.924916157336064,4.174916157336064,2022-02-23 00:00:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-02-25 18:15:00+00:00,2022-02-26 00:15:00+00:00,19.314452913069953,18.564452913069953,2022-02-26 00:00:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-02-25 18:30:00+00:00,2022-02-26 00:30:00+00:00,16.763210341038203,16.013210341038203,2022-02-26 00:00:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-02-25 18:45:00+00:00,2022-02-26 00:45:00+00:00,27.213972369297352,26.463972369297352,2022-02-26 00:00:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-03-02 18:15:00+00:00,2022-03-03 00:15:00+00:00,-4.2161566368120935,-4.9661566368120935,2022-03-03 00:00:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-03-02 18:30:00+00:00,2022-03-03 00:30:00+00:00,0.35277676015249576,-0.39722323984750424,2022-03-03 00:00:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-03-02 18:45:00+00:00,2022-03-03 00:45:00+00:00,4.592238537302146,3.842238537302146,2022-03-03 00:00:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-03-08 18:15:00+00:00,2022-03-09 00:15:00+00:00,-7.7194285364284925,-8.469428536428492,2022-03-09 00:00:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-03-08 18:30:00+00:00,2022-03-09 00:30:00+00:00,-3.7902266436185212,-4.540226643618521,2022-03-09 00:00:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-03-08 18:45:00+00:00,2022-03-09 00:45:00+00:00,-0.9464968004923859,-1.696496800492386,2022-03-09 00:00:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-04-06 18:30:00+00:00,2022-04-07 00:30:00+00:00,1.6455477569990764,0.8955477569990764,2022-04-07 00:15:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-04-06 18:45:00+00:00,2022-04-07 00:45:00+00:00,-5.458799870900514,-6.208799870900514,2022-04-07 00:15:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-05-06 18:15:00+00:00,2022-05-07 00:15:00+00:00,2.858496938124394,2.108496938124394,2022-05-07 00:00:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-05-16 18:30:00+00:00,2022-05-17 00:30:00+00:00,0.2678145838554288,-0.4821854161445712,2022-05-17 00:15:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1110,240,360,RV_HIGH__RANGE_MID,2022-05-17 18:30:00+00:00,2022-05-18 00:30:00+00:00,21.447468345005948,20.697468345005948,2022-05-18 00:15:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1125,240,360,RV_HIGH__RANGE_MID,2022-05-17 18:45:00+00:00,2022-05-18 00:45:00+00:00,17.430603576015,16.680603576015,2022-05-18 00:15:00+00:00
01WIB_H6_FLAT_ONLY,01WIB_H6,1,1095,240,360,RV_HIGH__RANGE_MID,2022-05-18 18:15:00+00:00,2022-05-19 00:15:00+00:00,-7.363366929601397,-8.113366929601398,2022-05-19 00:00:00+00:00
