quantile,threshold,weeks,n,coverage,tp,sl,time,wr,exp,pf,max_ls,wr_sort,exp_sort,pf_sort
0.0,0.1981525659778108,156,137,0.8782051282051282,51,86,0,0.3722627737226277,-0.0025547445255474145,0.5930232558139569,7,0.3722627737226277,-0.0025547445255474145,0.5930232558139569
0.5,0.502925606388384,156,105,0.6730769230769231,44,60,1,0.41904761904761906,-0.0014699536663135076,0.7427581083951355,9,0.41904761904761906,-0.0014699536663135076,0.7427581083951355
0.6,0.5192017107875515,156,90,0.5769230769230769,42,47,1,0.4666666666666667,-0.0004927237218102125,0.9056486490150653,7,0.4666666666666667,-0.0004927237218102125,0.9056486490150653
0.7,0.5370784296963373,156,76,0.48717948717948717,39,36,1,0.5131578947368421,0.00046914296101421246,1.0990412917696675,5,0.5131578947368421,0.00046914296101421246,1.0990412917696675
0.8,0.5576592198740353,156,60,0.38461538461538464,32,28,0,0.5333333333333333,0.000666666666666678,1.142857142857146,3,0.5333333333333333,0.000666666666666678,1.142857142857146
0.85,0.5764213509487098,156,47,0.30128205128205127,25,22,0,0.5319148936170213,0.0006382978723404357,1.1363636363636391,3,0.5319148936170213,0.0006382978723404357,1.1363636363636391
0.9,0.5949632554940246,156,33,0.21153846153846154,20,13,0,0.6060606060606061,0.00212121212121214,1.5384615384615459,3,0.6060606060606061,0.00212121212121214,1.5384615384615459
0.95,0.6253466927269499,156,17,0.10897435897435898,9,8,0,0.5294117647058824,0.0005882352941176722,1.125000000000006,2,0.5294117647058824,0.0005882352941176722,1.125000000000006
