lookback_min,hold_min,LOOSE_supportive,BASE_supportive,TIGHT_supportive,supportive_definitions,BASE_strict_temporal,median_expectancy,median_pf,definition_stable
60,120,False,False,False,0,False,-0.4646928070550199,0.7425207696329408,False
60,240,False,False,False,0,False,0.17322936584994042,1.0640528527223572,False
60,360,False,False,False,0,False,0.0336755931325601,1.0110288633304598,False
60,480,False,False,False,0,False,-0.510335701784632,0.8477270355757434,False
120,120,False,False,False,0,False,-0.37972024021010087,0.7855084704274531,False
120,240,False,False,False,0,False,0.2022894987350361,1.0645725718072208,False
120,360,False,False,False,0,False,0.5411701720141693,1.1934624833975263,False
120,480,False,False,False,0,False,-0.7470771007962625,0.7905098885023318,False
180,120,False,False,False,0,False,0.17694364037677246,1.1169981774107494,False
180,240,True,True,False,2,False,1.9101691902436588,1.93824491187699,True
180,360,False,True,False,1,False,2.2113230363219505,2.040518634066216,False
180,480,False,False,False,0,False,1.987484888492194,2.0369909499606544,False
240,120,False,True,False,1,False,0.16747477288187265,1.1062763880509094,False
240,240,False,False,False,0,False,0.6937048936743607,1.3240237174863367,False
240,360,False,False,False,0,False,0.4097327516600524,1.1539432353491685,False
240,480,False,False,False,0,False,0.21364963292643932,1.0844799077735392,False
360,120,False,False,False,0,False,-0.1609742205799485,0.9169104783038114,False
360,240,False,True,False,1,True,2.133857317618381,1.9379568839602266,False
360,360,False,False,False,0,False,1.4460309648633551,1.5295073752778285,False
360,480,False,False,False,0,False,1.1215105747415024,1.383528053737034,False
