model,selected,leaf,rule,partition,n,tp,sl,time,wr,exp,pf,wilson
CORE_TREE,True,1,break_close_pos <= 0.67316833,development,17,15,2,0,0.8823529411764706,0.007647058823529469,7.500000000000044,0.6566315750229009
CORE_TREE,True,1,break_close_pos <= 0.67316833,external,11,4,7,0,0.36363636363636365,-0.0027272727272726724,0.571428571428578,0.15166223614131386
CORE_TREE,True,1,break_close_pos <= 0.67316833,reference_validation,8,5,3,0,0.625,0.0025000000000000456,1.6666666666666796,0.3057378545838018
CORE_TREE,True,1,break_close_pos <= 0.67316833,august,2,0,2,0,0.0,-0.009999999999999952,0.0,0.0
