rule,source_tf,family,side_type,mode,signal_i,signal_ts,side,level,instance,week,entry_ts,exit_ts,entry,tp,sl,reason,net_ret,hours,WIN,event_key,p_hold,route,partition
H4|PREV_LOW|RESISTANCE|HOLD,H4,PREV_LOW,RESISTANCE,HOLD,17595,2022-01-03 03:00:00+00:00,SHORT,46815.75,H4|PREV_LOW|2022-01-02T20:00:00+00:00,2022-W01,2022-01-03 04:00:00+00:00,2022-01-03 05:00:00+00:00,46802.86,46264.62711,47200.68431,SL,-0.009999999999999952,2,0,H4|PREV_LOW|SHORT|H4|PREV_LOW|2022-01-02T20:00:00+00:00,0.5858820716996715,LEVEL_SURVIVAL_TRIGGER,development
H4|R3_LOW|RESISTANCE|HOLD,H4,R3_LOW,RESISTANCE,HOLD,17771,2022-01-10 11:00:00+00:00,SHORT,41572.0,H4|R3_LOW|2022-01-10T00:00:00+00:00,2022-W02,2022-01-10 12:00:00+00:00,2022-01-10 12:00:00+00:00,41564.26,41086.271010000004,41917.55621,TP,0.009999999999999955,1,1,H4|R3_LOW|SHORT|H4|R3_LOW|2022-01-10T00:00:00+00:00,0.6156295379000111,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_LOW|RESISTANCE|HOLD,H1,PREV_LOW,RESISTANCE,HOLD,17928,2022-01-17 00:00:00+00:00,SHORT,43033.5,H1|PREV_LOW|2022-01-16T23:00:00+00:00,2022-W03,2022-01-17 01:00:00+00:00,2022-01-17 05:00:00+00:00,42873.87,42380.82049500001,43238.297895,TP,0.009999999999999844,5,1,H1|PREV_LOW|SHORT|H1|PREV_LOW|2022-01-16T23:00:00+00:00,0.5692098471563578,LEVEL_SURVIVAL_TRIGGER,development
H1|SWING2_HIGH|RESISTANCE|HOLD,H1,SWING2_HIGH,RESISTANCE,HOLD,18096,2022-01-24 00:00:00+00:00,SHORT,36055.0,H1|SWING2_HIGH|2022-01-23T13:00:00+00:00,2022-W04,2022-01-24 01:00:00+00:00,2022-01-24 02:00:00+00:00,35820.19,35408.257815000004,36124.661615,TP,0.009999999999999955,2,1,H1|SWING2_HIGH|SHORT|H1|SWING2_HIGH|2022-01-23T13:00:00+00:00,0.5703866928583103,LEVEL_SURVIVAL_TRIGGER,development
H1|R3_LOW|SUPPORT|HOLD,H1,R3_LOW,SUPPORT,HOLD,18265,2022-01-31 01:00:00+00:00,LONG,36800.66,H1|R3_LOW|2022-01-31T00:00:00+00:00,2022-W05,2022-01-31 02:00:00+00:00,2022-01-31 09:00:00+00:00,36804.36,37227.610140000004,36491.52294,TP,0.010000000000000066,8,1,H1|R3_LOW|LONG|H1|R3_LOW|2022-01-31T00:00:00+00:00,0.5673277095592301,LEVEL_SURVIVAL_TRIGGER,development
H4|PREV_OPEN|SUPPORT|HOLD,H4,PREV_OPEN,SUPPORT,HOLD,18432,2022-02-07 00:00:00+00:00,LONG,41692.8,H4|PREV_OPEN|2022-02-06T20:00:00+00:00,2022-W06,2022-02-07 01:00:00+00:00,2022-02-07 02:00:00+00:00,41801.49,42282.207135000004,41446.177335,TP,0.010000000000000066,2,1,H4|PREV_OPEN|LONG|H4|PREV_OPEN|2022-02-06T20:00:00+00:00,0.5655462656976199,LEVEL_SURVIVAL_TRIGGER,development
H4|SWING2_LOW|SUPPORT|HOLD,H4,SWING2_LOW,SUPPORT,HOLD,18601,2022-02-14 01:00:00+00:00,LONG,41540.0,H4|SWING2_LOW|2022-02-12T20:00:00+00:00,2022-W07,2022-02-14 02:00:00+00:00,2022-02-14 06:00:00+00:00,41663.77,42142.903355,41309.627954999996,TP,0.010000000000000066,5,1,H4|SWING2_LOW|LONG|H4|SWING2_LOW|2022-02-12T20:00:00+00:00,0.5758873418385926,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_OPEN|RESISTANCE|HOLD,H1,PREV_OPEN,RESISTANCE,HOLD,18781,2022-02-21 13:00:00+00:00,SHORT,37550.0,H1|PREV_OPEN|2022-02-21T12:00:00+00:00,2022-W08,2022-02-21 14:00:00+00:00,2022-02-21 14:00:00+00:00,37538.4,37106.7084,37857.4764,SL,-0.009999999999999952,1,0,H1|PREV_OPEN|SHORT|H1|PREV_OPEN|2022-02-21T12:00:00+00:00,0.5719473589291798,LEVEL_SURVIVAL_TRIGGER,development
H4|PREV_OPEN|RESISTANCE|HOLD,H4,PREV_OPEN,RESISTANCE,HOLD,18936,2022-02-28 00:00:00+00:00,SHORT,37574.7,H4|PREV_OPEN|2022-02-27T20:00:00+00:00,2022-W09,2022-02-28 01:00:00+00:00,2022-02-28 01:00:00+00:00,37548.2,37116.3957,37867.35969999999,SL,-0.009999999999999952,1,0,H4|PREV_OPEN|SHORT|H4|PREV_OPEN|2022-02-27T20:00:00+00:00,0.5670138991758288,LEVEL_SURVIVAL_TRIGGER,development
H1|PREV_LOW|SUPPORT|HOLD,H1,PREV_LOW,SUPPORT,HOLD,19107,2022-03-07 03:00:00+00:00,LONG,37550.0,H1|PREV_LOW|2022-03-07T02:00:00+00:00,2022-W10,2022-03-07 04:00:00+00:00,2022-03-07 09:00:00+00:00,37848.9,38284.162350000006,37527.18435,TP,0.010000000000000066,6,1,H1|PREV_LOW|LONG|H1|PREV_LOW|2022-03-07T02:00:00+00:00,0.5839863543768754,LEVEL_SURVIVAL_TRIGGER,development
