partition,entry_ts,exit_ts_norm,pnl,side,source,clock_min_norm,candidate_id,blocked_by_long,side_order,portfolio,accepted_portfolio,blocked_by_side,blocked_by_id,set,scenario
external,2020-02-26 01:50:00+00:00,2020-02-26 02:05:00+00:00,3.3900361063890054,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-02-26 01:50:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2020-03-09 03:50:00+00:00,2020-03-09 04:10:00+00:00,5.9612557303427405,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-03-09 03:50:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2020-03-25 02:10:00+00:00,2020-03-25 02:35:00+00:00,4.437042235453004,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-03-25 02:10:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2020-03-27 05:30:00+00:00,2020-03-27 08:00:00+00:00,-2.8433475061497178,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-03-27 05:30:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2020-05-19 02:45:00+00:00,2020-05-19 03:50:00+00:00,2.3480557685386487,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-05-19 02:45:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2020-05-22 04:30:00+00:00,2020-05-22 04:40:00+00:00,3.2331775700935155,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-05-22 04:30:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2020-06-19 03:15:00+00:00,2020-06-19 03:45:00+00:00,1.997240734899775,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-06-19 03:15:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2020-07-07 06:50:00+00:00,2020-07-07 08:00:00+00:00,0.14362657169021442,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-07-07 06:50:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2020-07-09 02:15:00+00:00,2020-07-09 02:45:00+00:00,0.8732187553565199,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-07-09 02:15:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2020-07-22 04:35:00+00:00,2020-07-22 05:00:00+00:00,0.2549809876988943,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-07-22 04:35:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2020-07-30 03:15:00+00:00,2020-07-30 08:00:00+00:00,2.922976240357156,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-07-30 03:15:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2020-08-17 05:55:00+00:00,2020-08-17 08:00:00+00:00,-0.5616843616515373,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-08-17 05:55:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2020-09-23 04:45:00+00:00,2020-09-23 06:15:00+00:00,1.318094141961446,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-09-23 04:45:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2020-09-25 06:35:00+00:00,2020-09-25 08:00:00+00:00,-2.3495348181561844,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-09-25 06:35:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2020-10-13 03:20:00+00:00,2020-10-13 08:00:00+00:00,0.06625841794900589,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-10-13 03:20:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2020-11-17 03:40:00+00:00,2020-11-17 08:00:00+00:00,-4.333959804918397,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-11-17 03:40:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2020-11-26 02:45:00+00:00,2020-11-26 02:50:00+00:00,3.3430291829760876,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-11-26 02:45:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2020-12-11 01:50:00+00:00,2020-12-11 03:10:00+00:00,4.132492123452303,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-12-11 01:50:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2021-03-17 02:50:00+00:00,2021-03-17 05:00:00+00:00,4.0104278141801615,SHORT,SHORT_2000,1200,external|SHORT|1200|2021-03-17 02:50:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2021-03-25 02:15:00+00:00,2021-03-25 08:00:00+00:00,-4.40644917563886,SHORT,SHORT_2000,1200,external|SHORT|1200|2021-03-25 02:15:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2021-04-28 05:05:00+00:00,2021-04-28 05:35:00+00:00,2.4152258520836583,SHORT,SHORT_2000,1200,external|SHORT|1200|2021-04-28 05:05:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2021-06-21 01:55:00+00:00,2021-06-21 02:40:00+00:00,3.9883885198714446,SHORT,SHORT_2000,1200,external|SHORT|1200|2021-06-21 01:55:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2021-09-03 01:45:00+00:00,2021-09-03 03:50:00+00:00,-10.063975122167102,SHORT,SHORT_2000,1200,external|SHORT|1200|2021-09-03 01:45:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2021-09-13 02:45:00+00:00,2021-09-13 03:55:00+00:00,5.261944036802813,SHORT,SHORT_2000,1200,external|SHORT|1200|2021-09-13 02:45:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2021-11-04 01:45:00+00:00,2021-11-04 01:50:00+00:00,1.6310848571024055,SHORT,SHORT_2000,1200,external|SHORT|1200|2021-11-04 01:45:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2021-11-17 02:15:00+00:00,2021-11-17 03:15:00+00:00,5.285851778679085,SHORT,SHORT_2000,1200,external|SHORT|1200|2021-11-17 02:15:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2021-12-20 07:35:00+00:00,2021-12-20 08:00:00+00:00,-1.1040021882636082,SHORT,SHORT_2000,1200,external|SHORT|1200|2021-12-20 07:35:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2022-03-03 02:25:00+00:00,2022-03-03 03:35:00+00:00,2.317267101185583,SHORT,SHORT_2000,1200,development|SHORT|1200|2022-03-03 02:25:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2022-10-24 02:10:00+00:00,2022-10-24 04:10:00+00:00,2.4201867079971633,SHORT,SHORT_2000,1200,development|SHORT|1200|2022-10-24 02:10:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2023-03-06 02:05:00+00:00,2023-03-06 02:05:00+00:00,1.417188996607322,SHORT,SHORT_2000,1200,development|SHORT|1200|2023-03-06 02:05:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2023-03-20 02:25:00+00:00,2023-03-20 02:35:00+00:00,4.976849365079927,SHORT,SHORT_2000,1200,development|SHORT|1200|2023-03-20 02:25:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2023-11-07 02:40:00+00:00,2023-11-07 08:00:00+00:00,-1.2914980894422219,SHORT,SHORT_2000,1200,development|SHORT|1200|2023-11-07 02:40:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2023-11-13 03:55:00+00:00,2023-11-13 04:10:00+00:00,1.2354786371011177,SHORT,SHORT_2000,1200,development|SHORT|1200|2023-11-13 03:55:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2023-12-05 01:45:00+00:00,2023-12-05 07:20:00+00:00,2.859588575151684,SHORT,SHORT_2000,1200,development|SHORT|1200|2023-12-05 01:45:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2023-12-11 01:55:00+00:00,2023-12-11 02:00:00+00:00,2.8991055266416437,SHORT,SHORT_2000,1200,development|SHORT|1200|2023-12-11 01:55:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2023-12-15 02:25:00+00:00,2023-12-15 03:15:00+00:00,0.5753559897728303,SHORT,SHORT_2000,1200,development|SHORT|1200|2023-12-15 02:25:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2023-12-28 05:25:00+00:00,2023-12-28 07:05:00+00:00,1.8898713755662992,SHORT,SHORT_2000,1200,development|SHORT|1200|2023-12-28 05:25:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2024-01-08 02:30:00+00:00,2024-01-08 02:35:00+00:00,1.9289988904070525,SHORT,SHORT_2000,1200,development|SHORT|1200|2024-01-08 02:30:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2024-01-31 02:35:00+00:00,2024-01-31 08:00:00+00:00,-3.087996187040631,SHORT,SHORT_2000,1200,development|SHORT|1200|2024-01-31 02:35:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2024-02-07 02:55:00+00:00,2024-02-07 03:25:00+00:00,0.7712741585460651,SHORT,SHORT_2000,1200,development|SHORT|1200|2024-02-07 02:55:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2024-06-17 02:50:00+00:00,2024-06-17 06:50:00+00:00,1.3558431378461027,SHORT,SHORT_2000,1200,development|SHORT|1200|2024-06-17 02:50:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2024-07-23 01:50:00+00:00,2024-07-23 04:40:00+00:00,2.200101609409933,SHORT,SHORT_2000,1200,development|SHORT|1200|2024-07-23 01:50:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2024-08-05 05:25:00+00:00,2024-08-05 06:15:00+00:00,22.896163267759796,SHORT,SHORT_2000,1200,development|SHORT|1200|2024-08-05 05:25:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2024-08-30 05:30:00+00:00,2024-08-30 07:00:00+00:00,-5.429723803557263,SHORT,SHORT_2000,1200,development|SHORT|1200|2024-08-30 05:30:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2024-09-16 01:50:00+00:00,2024-09-16 02:55:00+00:00,2.8997128008752653,SHORT,SHORT_2000,1200,development|SHORT|1200|2024-09-16 01:50:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
development,2024-09-24 02:35:00+00:00,2024-09-24 06:10:00+00:00,-3.3731265006849305,SHORT,SHORT_2000,1200,development|SHORT|1200|2024-09-24 02:35:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
reference_validation,2025-01-08 05:05:00+00:00,2025-01-08 06:30:00+00:00,1.1547454964128794,SHORT,SHORT_2000,1200,reference_validation|SHORT|1200|2025-01-08 05:05:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
reference_validation,2025-02-17 04:35:00+00:00,2025-02-17 05:00:00+00:00,1.599895979612032,SHORT,SHORT_2000,1200,reference_validation|SHORT|1200|2025-02-17 04:35:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
reference_validation,2025-05-13 02:45:00+00:00,2025-05-13 03:25:00+00:00,1.7083077986090438,SHORT,SHORT_2000,1200,reference_validation|SHORT|1200|2025-05-13 02:45:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
reference_validation,2025-09-22 02:55:00+00:00,2025-09-22 05:55:00+00:00,1.1055859586069476,SHORT,SHORT_2000,1200,reference_validation|SHORT|1200|2025-09-22 02:55:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
reference_validation,2025-10-07 02:35:00+00:00,2025-10-07 03:20:00+00:00,0.9448995983935119,SHORT,SHORT_2000,1200,reference_validation|SHORT|1200|2025-10-07 02:35:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
reference_validation,2025-12-10 01:55:00+00:00,2025-12-10 08:00:00+00:00,-2.9772441694997815,SHORT,SHORT_2000,1200,reference_validation|SHORT|1200|2025-12-10 01:55:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
reference_validation,2025-12-23 04:55:00+00:00,2025-12-23 05:30:00+00:00,1.5308910756083987,SHORT,SHORT_2000,1200,reference_validation|SHORT|1200|2025-12-23 04:55:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
reference_validation,2026-03-06 04:55:00+00:00,2026-03-06 05:45:00+00:00,2.2220714904002796,SHORT,SHORT_2000,1200,reference_validation|SHORT|1200|2026-03-06 04:55:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
reference_validation,2026-03-11 05:55:00+00:00,2026-03-11 08:00:00+00:00,-1.090387220932509,SHORT,SHORT_2000,1200,reference_validation|SHORT|1200|2026-03-11 05:55:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
reference_validation,2026-04-01 01:50:00+00:00,2026-04-01 02:10:00+00:00,0.7154603153540887,SHORT,SHORT_2000,1200,reference_validation|SHORT|1200|2026-04-01 01:50:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
august,2026-08-03 02:45:00+00:00,2026-08-03 03:45:00+00:00,1.2403565717180713,SHORT,SHORT_2000,1200,august|SHORT|1200|2026-08-03 02:45:00+00:00,False,1,SHORT_2000_LONG_PROTECTED,True,,,SHORT_2000,LONG_PROTECTED
external,2020-01-01 11:45:00+00:00,2020-01-01 11:55:00+00:00,-2.746348762941208,LONG,LONG_RAW_0530,-1,external|LONG|RAW_0530|2020-01-01 11:45:00+00:00,,0,SHORT_2000_FIRST_SIGNAL,True,,,SHORT_2000,FIRST_SIGNAL_WINS
external,2020-01-03 09:00:00+00:00,2020-01-03 11:30:00+00:00,4.294137082029592,LONG,LONG_RAW_2330,-1,external|LONG|RAW_2330|2020-01-03 09:00:00+00:00,,0,SHORT_2000_FIRST_SIGNAL,True,,,SHORT_2000,FIRST_SIGNAL_WINS
external,2020-01-08 11:40:00+00:00,2020-01-08 13:00:00+00:00,-4.680803484925711,LONG,LONG_RAW_0530,-1,external|LONG|RAW_0530|2020-01-08 11:40:00+00:00,,0,SHORT_2000_FIRST_SIGNAL,True,,,SHORT_2000,FIRST_SIGNAL_WINS
external,2020-02-12 13:50:00+00:00,2020-02-12 14:10:00+00:00,1.2515996950299262,LONG,LONG_LONDON,-1,external|LONG|LONDON|2020-02-12 13:50:00+00:00,,0,SHORT_2000_FIRST_SIGNAL,True,,,SHORT_2000,FIRST_SIGNAL_WINS
external,2020-02-17 09:15:00+00:00,2020-02-17 10:20:00+00:00,-4.838059397884498,LONG,LONG_ALT_0330,-1,external|LONG|ALT_0330|2020-02-17 09:15:00+00:00,,0,SHORT_2000_FIRST_SIGNAL,True,,,SHORT_2000,FIRST_SIGNAL_WINS
external,2020-02-26 01:50:00+00:00,2020-02-26 02:05:00+00:00,3.3900361063890054,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-02-26 01:50:00+00:00,,1,SHORT_2000_FIRST_SIGNAL,True,,,SHORT_2000,FIRST_SIGNAL_WINS
external,2020-03-02 12:00:00+00:00,2020-03-02 13:55:00+00:00,2.4707751663679116,LONG,LONG_RAW_0530,-1,external|LONG|RAW_0530|2020-03-02 12:00:00+00:00,,0,SHORT_2000_FIRST_SIGNAL,True,,,SHORT_2000,FIRST_SIGNAL_WINS
external,2020-03-05 06:20:00+00:00,2020-03-05 11:30:00+00:00,8.719680466568969,LONG,LONG_RAW_2330,-1,external|LONG|RAW_2330|2020-03-05 06:20:00+00:00,,0,SHORT_2000_FIRST_SIGNAL,True,,,SHORT_2000,FIRST_SIGNAL_WINS
external,2020-03-09 03:50:00+00:00,2020-03-09 04:10:00+00:00,5.9612557303427405,SHORT,SHORT_2000,1200,external|SHORT|1200|2020-03-09 03:50:00+00:00,,1,SHORT_2000_FIRST_SIGNAL,True,,,SHORT_2000,FIRST_SIGNAL_WINS
external,2020-03-13 10:15:00+00:00,2020-03-13 13:30:00+00:00,33.008310470757095,LONG,LONG_ALT_0330,-1,external|LONG|ALT_0330|2020-03-13 10:15:00+00:00,,0,SHORT_2000_FIRST_SIGNAL,True,,,SHORT_2000,FIRST_SIGNAL_WINS
external,2020-03-18 13:50:00+00:00,2020-03-18 14:05:00+00:00,8.016414006018113,LONG,LONG_LONDON,-1,external|LONG|LONDON|2020-03-18 13:50:00+00:00,,0,SHORT_2000_FIRST_SIGNAL,True,,,SHORT_2000,FIRST_SIGNAL_WINS
