hour,utc,wib,coverage,candidate_count,old_passers,new_passers,rescued_passers,lost_passers,status,best_fail_rule,best_fail_lb,best_fail_hold,best_fail_reasons
0,00:00-01:00,07:00-08:00,0.9976976650486368,3240,0,0,0,0,FAIL,RV_LOW__RANGE_HIGH,240.0,720.0,anchor_gate;N<160;DD/net>15%;all_era_gate
1,01:00-02:00,08:00-09:00,0.9976976650486368,3240,0,0,0,0,FAIL,EFF_HIGH__RV_HIGH,30.0,720.0,anchor_gate;DD/net>15%;loss_streak>8
2,02:00-03:00,09:00-10:00,0.9976976650486368,3240,0,0,0,0,FAIL,EFF_LOW__RANGE_HIGH,30.0,720.0,DD/net>15%;all_era_gate
3,03:00-04:00,10:00-11:00,0.9976976650486368,3240,0,0,0,0,FAIL,EFF_LOW__EXT_HIGH,120.0,720.0,anchor_gate;WR<=55%;DD/net>15%;all_era_gate
4,04:00-05:00,11:00-12:00,0.9976976650486368,3240,2,0,0,2,FAIL,EFF_LOW__RANGE_HIGH,240.0,240.0,DD/net>15%;loss_streak>8;all_era_gate
5,05:00-06:00,12:00-13:00,0.9976976650486368,3240,0,0,0,0,FAIL,EFF_MID__RANGE_HIGH,120.0,960.0,anchor_gate;WR<=55%;DD/net>15%;loss_streak>8;all_era_gate
6,06:00-07:00,13:00-14:00,0.9976976650486368,3240,0,0,0,0,FAIL,EFF_LOW__RANGE_HIGH,30.0,960.0,DD/net>15%
7,07:00-08:00,14:00-15:00,0.9976976650486368,3240,0,0,0,0,FAIL,EFF_LOW__RANGE_HIGH,120.0,960.0,anchor_gate;WR<=55%;DD/net>15%;loss_streak>8;all_era_gate
8,08:00-09:00,15:00-16:00,0.9976976650486368,3240,0,0,0,0,FAIL,RV_LOW__RANGE_HIGH,240.0,960.0,anchor_gate;N<160;DD/net>15%;all_era_gate
9,09:00-10:00,16:00-17:00,0.9976976650486368,3240,0,0,0,0,FAIL,RV_LOW__RANGE_HIGH,240.0,960.0,anchor_gate;N<160;all_era_gate
10,10:00-11:00,17:00-18:00,0.9976976650486368,3240,0,0,0,0,FAIL,EFF_HIGH__EXT_LOW,30.0,960.0,anchor_gate;N<160;WR<=55%;DD/net>15%;all_era_gate
11,11:00-12:00,18:00-19:00,0.9976976650486368,3240,0,0,0,0,FAIL,RV_HIGH__RANGE_LOW,240.0,960.0,anchor_gate;N<160;WR<=55%;DD/net>15%;all_era_gate
12,12:00-13:00,19:00-20:00,0.9976976650486368,3240,0,0,0,0,FAIL,EFF_LOW__RANGE_HIGH,360.0,960.0,anchor_gate;N<160;DD/net>15%;loss_streak>8;all_era_gate
13,13:00-14:00,20:00-21:00,0.9976976650486368,3240,0,0,0,0,FAIL,EFF_MID__RV_HIGH,120.0,720.0,anchor_gate;WR<=55%;DD/net>15%;loss_streak>8;all_era_gate
14,14:00-15:00,21:00-22:00,0.9976976650486368,3240,0,0,0,0,FAIL,DRIVE_UP__RV_HIGH,240.0,960.0,anchor_gate;WR<=55%;DD/net>15%;loss_streak>8;all_era_gate
15,15:00-16:00,22:00-23:00,0.9976976650486368,3240,1,1,0,0,PASS,,,,
16,16:00-17:00,23:00-00:00,0.9976976650486368,3240,0,0,0,0,FAIL,DRIVE_UP__STR_B60_80,30.0,960.0,DD/net>15%
17,17:00-18:00,00:00-01:00,0.9976976650486368,3240,0,2,2,0,PASS,,,,
18,18:00-19:00,01:00-02:00,0.9976976650486368,3240,0,1,1,0,PASS,,,,
19,19:00-20:00,02:00-03:00,0.9976976650486368,3240,0,0,0,0,FAIL,DRIVE_UP__STR_B80_100,360.0,960.0,DD/net>15%;loss_streak>8
20,20:00-21:00,03:00-04:00,0.9976976650486368,3240,0,1,1,0,PASS,,,,
21,21:00-22:00,04:00-05:00,0.9976976650486368,3240,0,1,1,0,PASS,,,,
22,22:00-23:00,05:00-06:00,0.9976976650486368,3240,2,2,0,0,PASS,,,,
23,23:00-00:00,06:00-07:00,0.9976976650486368,3240,3,1,0,2,PASS,,,,
