partition,horizon_min,from_state,to_state,n,share,from_total_n
development,15,POST_BREAKDOWN_UNWIND_30M,EVENT_CONFLICT,3,0.011152416356877323,269
development,15,POST_BREAKDOWN_UNWIND_30M,NEUTRAL_TRANSITION,82,0.3048327137546468,269
development,15,POST_BREAKDOWN_UNWIND_30M,POST_BREAKDOWN_UNWIND_30M,13,0.048327137546468404,269
development,15,POST_BREAKDOWN_UNWIND_30M,PRESSURE_BUILD,84,0.31226765799256506,269
development,15,POST_BREAKDOWN_UNWIND_30M,UP_POSITION_BUILD,13,0.048327137546468404,269
development,15,POST_BREAKDOWN_UNWIND_30M,UP_UNWIND_LIKE,2,0.007434944237918215,269
development,15,PRESSURE_BUILD,DELEVERAGING,775,0.15025203567274137,5158
development,15,PRESSURE_BUILD,DOWN_POSITION_BUILD,29,0.005622334238076774,5158
development,15,PRESSURE_BUILD,DOWN_UNWIND_LIKE,182,0.03528499418379217,5158
development,15,PRESSURE_BUILD,EVENT_CONFLICT,7,0.0013571151609150834,5158
development,15,PRESSURE_BUILD,HIGHLOC_BUY_BUILD,219,0.042458317177200465,5158
development,15,PRESSURE_BUILD,HIGHLOC_BUY_EXHAUSTION_LIKE,43,0.008336564559906941,5158
development,15,PRESSURE_BUILD,HIGHLOC_SELL_ABSORPTION_LIKE,40,0.0077549437766576195,5158
development,15,PRESSURE_BUILD,HIGHLOC_SELL_UNWIND_LIKE,162,0.031407522295463355,5158
development,15,PRESSURE_BUILD,NEUTRAL_TRANSITION,2445,0.474020938348197,5158
development,15,PRESSURE_BUILD,POST_BREAKDOWN_UNWIND_30M,96,0.018611865063978286,5158
development,15,PRESSURE_BUILD,PRESSURE_BUILD,884,0.17138425746413338,5158
development,15,PRESSURE_BUILD,UP_POSITION_BUILD,229,0.04439705312136487,5158
development,15,PRESSURE_BUILD,UP_UNWIND_LIKE,47,0.009112058937572703,5158
development,15,UP_POSITION_BUILD,DELEVERAGING,305,0.13359614542268944,2283
development,15,UP_POSITION_BUILD,DOWN_POSITION_BUILD,18,0.00788436268068331,2283
development,15,UP_POSITION_BUILD,DOWN_UNWIND_LIKE,121,0.05300043802014893,2283
development,15,UP_POSITION_BUILD,EVENT_CONFLICT,8,0.003504161191414805,2283
development,15,UP_POSITION_BUILD,HIGHLOC_BUY_BUILD,110,0.04818221638195357,2283
development,15,UP_POSITION_BUILD,HIGHLOC_BUY_EXHAUSTION_LIKE,36,0.01576872536136662,2283
development,15,UP_POSITION_BUILD,HIGHLOC_SELL_ABSORPTION_LIKE,52,0.022777047744196234,2283
development,15,UP_POSITION_BUILD,HIGHLOC_SELL_UNWIND_LIKE,237,0.1038107752956636,2283
development,15,UP_POSITION_BUILD,NEUTRAL_TRANSITION,664,0.29084537888742884,2283
development,15,UP_POSITION_BUILD,POST_BREAKDOWN_UNWIND_30M,14,0.006132282084975909,2283
development,15,UP_POSITION_BUILD,PRESSURE_BUILD,277,0.12133158125273763,2283
development,15,UP_POSITION_BUILD,UP_POSITION_BUILD,370,0.16206745510293474,2283
development,15,UP_POSITION_BUILD,UP_UNWIND_LIKE,71,0.031099430573806396,2283
development,15,UP_UNWIND_LIKE,DELEVERAGING,69,0.16083916083916083,429
development,15,UP_UNWIND_LIKE,DOWN_POSITION_BUILD,5,0.011655011655011656,429
development,15,UP_UNWIND_LIKE,DOWN_UNWIND_LIKE,30,0.06993006993006994,429
development,15,UP_UNWIND_LIKE,EVENT_CONFLICT,3,0.006993006993006993,429
development,15,UP_UNWIND_LIKE,HIGHLOC_BUY_BUILD,17,0.039627039627039624,429
development,15,UP_UNWIND_LIKE,HIGHLOC_BUY_EXHAUSTION_LIKE,6,0.013986013986013986,429
