decision_t_utc,decision_t_wib,entry_open,label,label_reason,first_hit_min,ret1h,ret3h,ret6h,ret12h,ret24h,ema_spread,dist_ema20,ema20_slope1h,loc24,range6,range24,range6_to_24,taker1h,taker4h,rv1h,rv6h,atr20_pct
2023-12-02 00:00:00+00:00,2023-12-02 07:00:00+00:00,38659.9,NEUTRAL,no_50bp_hit_6h,,-0.0006126611466844567,-0.0019285033832712184,-0.003276862668258218,0.002125563792835239,0.02500742374750775,-0.0009017145033871632,-0.0008491738259837067,-0.0015482416160171875,0.7631389488840893,0.007994882446480833,0.03694148936170216,0.21642014397961054,-0.1199507919685745,-0.0831612372077829,0.0004981761940680397,0.0007491225699931033,0.0008748060010346536
2023-12-02 01:00:00+00:00,2023-12-02 08:00:00+00:00,38692.0,NEUTRAL,no_50bp_hit_6h,,0.0008277289187790249,-0.0017646876709218606,7.753600901549973e-06,0.008760037543018129,0.027250329212862745,6.778431824616682e-05,0.0004641569317065386,-0.000486079107656856,0.7820023487962422,0.007142820144928397,0.036208427017057065,0.1972695511341478,-0.042033257377330324,-0.10056911048338568,0.0004968285198108639,0.0006606738925896854,0.0007778093662772497
2023-12-02 02:00:00+00:00,2023-12-02 09:00:00+00:00,38734.4,NEUTRAL,no_50bp_hit_6h,,0.0010958337640856186,0.001310629541641628,-0.0004051602447476821,0.009725947765065301,0.021280186040134597,0.0004818563402995135,0.0003754899783592336,0.0011845645641479496,0.7760577007652404,0.007108912685977797,0.03003532168624723,0.23668508565476337,0.028485909452171665,-0.08520172982273233,0.0005710492853065934,0.0006321523138422045,0.0007211935643768715
2023-12-02 03:00:00+00:00,2023-12-02 10:00:00+00:00,38703.4,NEUTRAL,no_50bp_hit_6h,,-0.0007977405097278067,0.0011251939989653792,-0.0008054793247397329,0.010121177480771681,0.019108531826488084,-0.00022692105348043334,0.00016918791790110355,-0.0005916378948527257,0.7295377036756343,0.007108912685977797,0.02782771910769921,0.2554615654436064,-0.19684442271679792,-0.07478222855996697,0.00044292429212090134,0.0005960982287702625,0.000658984329582594
2023-12-02 04:00:00+00:00,2023-12-02 11:00:00+00:00,38767.4,NEUTRAL,no_50bp_hit_6h,,0.0016535972198896687,0.0019513077638788623,0.00018317664420375301,0.009530877700089757,0.01938722383789737,0.0004869046235138619,0.0010685309194558013,0.0007537286046865876,0.7746922998677649,0.005707848291400808,0.025867036433816715,0.22066108369255533,0.16470090829128736,-0.02180047000703511,0.0002615171009195478,0.0005103008071958624,0.00045953440381763455
2023-12-02 05:00:00+00:00,2023-12-02 12:00:00+00:00,38804.0,NEUTRAL,no_50bp_hit_6h,,0.0009415102856773494,0.0017968524102605077,0.0031098369597530873,0.0003609177623098425,0.0165965863690547,0.00033821570090997177,0.0015126153551172639,0.0004976790858399749,0.8007109770548321,0.0049335077110337355,0.024389987572482896,0.2022759419770998,0.07052641241017255,0.012194754549020637,0.0007885955838505209,0.0005199140559680285,0.0005531646222039003
2023-12-02 06:00:00+00:00,2023-12-02 13:00:00+00:00,38727.3,NEUTRAL,no_50bp_hit_6h,,-0.0019766003504793073,0.000614931466146551,0.001740817382307469,-0.001541749705443185,0.01628851694981992,8.394619166463002e-06,-0.0009085121678557018,0.0004419388432692628,0.7180868253797305,0.005031918888471765,0.024389987572482896,0.20631084265696148,-0.21660220074573688,-0.04968055207182098,0.0004830835461158522,0.0005229380624350026,0.0006709737058870672
2023-12-02 07:00:00+00:00,2023-12-02 14:00:00+00:00,38762.6,NEUTRAL,no_50bp_hit_6h,,0.0009140838633210358,-0.0001238150512672398,0.0018272511113408552,0.0018350188800182465,0.014780839884706243,-8.742585417986781e-05,0.0003359693028068822,-0.00033111681856701214,0.7194396231093437,0.0043114603066158885,0.021124916191753274,0.20409360527067996,0.06089579331312622,0.013921101476422226,0.00061479870860127,0.0005421232807523512,0.000572586532929864
2023-12-02 08:00:00+00:00,2023-12-02 15:00:00+00:00,38683.9,NEUTRAL,no_50bp_hit_6h,,-0.0020328821263739805,-0.0030950417482733528,-0.001303750671238002,-0.0017083826880446296,0.011743197968348218,-0.0004438122275866041,-0.0012039409067092777,-0.0004942499505822262,0.6107425363613199,0.004510729480450948,0.0205155319171213,0.21986899967660625,-0.00920806645247485,-0.016096102782346966,0.0004636846177330088,0.0005295822763909224,0.0006792231393422258
2023-12-02 09:00:00+00:00,2023-12-02 16:00:00+00:00,38694.0,NEUTRAL,no_50bp_hit_6h,,0.00026109053120282333,-0.0008598585493954092,-0.00024545583732737963,-0.0010507374524649782,0.010337327439220223,-0.00029011142414114843,-0.00022755325764178824,-0.0007157743322165899,0.6215037208108809,0.005062143966856558,0.020398015158494154,0.24816845793687808,-0.14761031908222377,-0.0764908036123062,0.0004127265088433537,0.0005254596141954164,0.0006468703158112256
