partition,f85_fills,h2_count,h2_rate,close_break_count,close_break_rate_given_h2,close_break_rate_all_fills,max_high_ext_p25,max_high_ext_p50,max_high_ext_p75,max_high_ext_p90,max_close_ext_p25,max_close_ext_p50,max_close_ext_p75,max_close_ext_p90
external,46,41,0.8913043478260869,39,0.9512195121951219,0.8478260869565217,0.22143698468786807,0.371289550581112,0.5285440828735486,0.9684148604009251,0.09997644287396629,0.27165500972561957,0.416390336333487,0.8437938368251936
development,72,53,0.7361111111111112,48,0.9056603773584906,0.6666666666666666,0.3944254535892711,0.6645276292335097,1.350831225153591,1.9206579208149404,0.2726794635813815,0.601523253929671,1.1967545638944967,1.844044263487216
reference_validation,31,27,0.8709677419354839,27,1.0,0.8709677419354839,0.38814835241213597,0.7181303116147381,1.085861879967112,1.6867413785212244,0.2880237647718067,0.6212229514588365,0.9660730560140685,1.6139675209143654
august,3,3,1.0,3,1.0,1.0,0.37636032785715645,0.584145334434347,1.1432774864942847,1.4787567777302475,0.3288590426278313,0.5232039636663842,1.0250557970942378,1.32616689715095
