side,feature_ts,entry_ts,active_atoms,discovery80_states_fired,oi_value_chg_1h,oi_value_chg_4h,global_ls,top_pos_ls,top_vs_global,global_ls_chg_1h,top_pos_ls_chg_1h,taker_ls_metric,taker_imbalance_3h,compression_6_24,breakout_pos_24,funding_z_30,long_reason,short_reason
LONG,2026-08-19 09:00:00+00:00,2026-08-19 10:00:00+00:00,COMPRESSED;OI_BUILD_1H;AGG_BUY;METRIC_BUY;LOW_FUNDING,,0.0034355350836465792,-0.0023479917118237603,1.57497296,1.48487,-0.05720921075368812,0.004916775319708355,0.005285488838322916,2.233158,0.05152625417905546,0.32557708352646303,0.38574209696857714,-0.6884614474317543,TP,SL
SHORT,2026-08-19 09:00:00+00:00,2026-08-19 10:00:00+00:00,COMPRESSED;OI_BUILD_1H;TOP_LONGING,,0.0034355350836465792,-0.0023479917118237603,1.57497296,1.48487,-0.05720921075368812,0.004916775319708355,0.005285488838322916,2.233158,0.05152625417905546,0.32557708352646303,0.38574209696857714,-0.6884614474317543,TP,SL
