period,n,structural_completion_mean_r,structural_completion_pf,fixed150_mean_r,fixed150_pf,mean_delta_structural_minus_fixed
HIST_2020_2024,34,0.11315675562821645,1.2024910363873347,0.052472470827943624,1.099114667119449,0.060684284800272825
RETRO_2025,12,0.45102595296584025,2.0824622871180165,0.19411803015011989,1.4658832723602875,0.2569079228157204
RETRO_2026_PRE,10,-0.3677685891193122,0.45546792043837614,-0.3208455121962325,0.524944002442936,-0.04692307692307973
