anchor_hour_wib,scope,label,sessions,k1_qualified,k1_rate,causal_leave,leave_rate,h2,opposite_break_before_h2,ambiguous_h2_vs_opposite,no_h2_by_end,h2_rate,resolved_h2_share,median_minutes_leave_to_h2
14,POOLED,STRONG_STRUCTURAL,1096,233,0.2125912408759124,162,0.6952789699570815,126,12,0,24,0.7777777777777778,0.9130434782608695,17.5
14,Monday,,157,28,0.17834394904458598,20,0.7142857142857143,18,1,0,1,0.9,0.9473684210526315,12.5
14,Tuesday,,157,32,0.20382165605095542,23,0.71875,15,4,0,4,0.6521739130434783,0.7894736842105263,35.0
14,Wednesday,,156,35,0.22435897435897437,27,0.7714285714285715,22,1,0,4,0.8148148148148148,0.9565217391304348,25.0
14,Thursday,,156,30,0.19230769230769232,24,0.8,19,3,0,2,0.7916666666666666,0.8636363636363636,15.0
14,Friday,,156,38,0.24358974358974358,25,0.6578947368421053,21,1,0,3,0.84,0.9545454545454546,15.0
14,Saturday,,157,36,0.22929936305732485,20,0.5555555555555556,15,1,0,4,0.75,0.9375,20.0
14,Sunday,,157,34,0.21656050955414013,23,0.6764705882352942,16,1,0,6,0.6956521739130435,0.9411764705882353,22.5
15,POOLED,STRONG_STRUCTURAL,1096,250,0.2281021897810219,178,0.712,132,25,1,20,0.7415730337078652,0.8407643312101911,25.0
15,Monday,,157,30,0.1910828025477707,18,0.6,16,1,0,1,0.8888888888888888,0.9411764705882353,22.5
15,Tuesday,,157,34,0.21656050955414013,30,0.8823529411764706,20,7,0,3,0.6666666666666666,0.7407407407407407,32.5
15,Wednesday,,156,32,0.20512820512820512,21,0.65625,16,2,0,3,0.7619047619047619,0.8888888888888888,25.0
15,Thursday,,156,42,0.2692307692307692,31,0.7380952380952381,23,6,0,2,0.7419354838709677,0.7931034482758621,20.0
15,Friday,,156,45,0.28846153846153844,34,0.7555555555555555,25,4,1,4,0.7352941176470589,0.8620689655172413,25.0
15,Saturday,,157,31,0.19745222929936307,21,0.6774193548387096,17,1,0,3,0.8095238095238095,0.9444444444444444,35.0
15,Sunday,,157,36,0.22929936305732485,23,0.6388888888888888,15,4,0,4,0.6521739130434783,0.7894736842105263,10.0
16,POOLED,PROMISING_STRUCTURAL,1096,239,0.21806569343065693,157,0.6569037656903766,107,32,0,18,0.6815286624203821,0.7697841726618705,15.0
16,Monday,,157,34,0.21656050955414013,20,0.5882352941176471,17,3,0,0,0.85,0.85,15.0
16,Tuesday,,157,28,0.17834394904458598,20,0.7142857142857143,17,1,0,2,0.85,0.9444444444444444,10.0
16,Wednesday,,156,33,0.21153846153846154,20,0.6060606060606061,13,5,0,2,0.65,0.7222222222222222,20.0
16,Thursday,,156,42,0.2692307692307692,26,0.6190476190476191,15,9,0,2,0.5769230769230769,0.625,20.0
16,Friday,,156,33,0.21153846153846154,23,0.696969696969697,14,4,0,5,0.6086956521739131,0.7777777777777778,15.0
16,Saturday,,157,38,0.24203821656050956,25,0.6578947368421053,19,3,0,3,0.76,0.8636363636363636,25.0
16,Sunday,,157,31,0.19745222929936307,23,0.7419354838709677,12,7,0,4,0.5217391304347826,0.631578947368421,7.5
17,POOLED,PROMISING_STRUCTURAL,1096,225,0.20529197080291972,142,0.6311111111111111,94,26,0,22,0.6619718309859155,0.7833333333333333,15.0
17,Monday,,157,38,0.24203821656050956,20,0.5263157894736842,13,4,0,3,0.65,0.7647058823529411,10.0
17,Tuesday,,157,34,0.21656050955414013,24,0.7058823529411765,17,3,0,4,0.7083333333333334,0.85,15.0
17,Wednesday,,156,26,0.16666666666666666,14,0.5384615384615384,11,0,0,3,0.7857142857142857,1.0,15.0
17,Thursday,,156,40,0.2564102564102564,26,0.65,16,6,0,4,0.6153846153846154,0.7272727272727273,27.5
17,Friday,,156,35,0.22435897435897437,25,0.7142857142857143,17,7,0,1,0.68,0.7083333333333334,15.0
17,Saturday,,157,29,0.18471337579617833,21,0.7241379310344828,13,2,0,6,0.6190476190476191,0.8666666666666667,15.0
17,Sunday,,157,23,0.1464968152866242,12,0.5217391304347826,7,4,0,1,0.5833333333333334,0.6363636363636364,10.0
