policy,execution_mode,plans,resolved_n,wins,losses,ambiguous,unresolved,hit_rate,win_r_median,win_r_p25,win_r_p75,expectancy_r,total_r,profit_factor,max_win_streak,max_loss_streak,max_drawdown_r,ambiguous_as_loss_expectancy_r
TP1_FULL_EXIT,DELAYED_CLEAN_RECLAIM,137,137,81,56,0,0,0.5912408759124088,0.9680451127819467,0.5048169556840088,1.3482587064676717,0.25451130738425315,34.868049111642684,1.6226437341364763,8,4,9.065922445958375,0.25451130738425315
TP1_FULL_EXIT,DELAYED_SWEEP_RECLAIM,72,72,38,34,0,0,0.5277777777777778,0.8385899814471142,0.391223380142963,1.3110863922877103,0.05748149831896174,4.138667878965245,1.1217255258519192,5,4,7.739834689193936,0.05748149831896174
TP1_FULL_EXIT,IMMEDIATE_CLEAN_RECLAIM,414,411,205,206,3,0,0.49878345498783455,0.8670694864048346,0.55007473841556,1.505376344085986,0.05730128548037541,23.550828332434293,1.1143244093807492,7,7,16.513472963570596,0.04963968196240167
TP1_FULL_EXIT,IMMEDIATE_SWEEP_RECLAIM,65,65,34,31,0,0,0.5230769230769231,0.6786302054919131,0.13532608695652704,1.0843776824034475,0.022236559053319397,1.4453763384657607,1.0466250431763149,11,6,8.744138451266428,0.02223655905331941
TP2_FULL_EXIT,DELAYED_CLEAN_RECLAIM,111,110,52,58,1,0,0.4727272727272727,1.040839358137887,0.6560609919144231,1.651342058562562,0.045290597236645164,4.981965696030968,1.085895960276396,6,7,9.73511421906684,0.03587356482910783
TP2_FULL_EXIT,DELAYED_SWEEP_RECLAIM,64,64,33,31,0,0,0.515625,0.9469387755101837,0.536764705882357,1.9401709401709697,0.1627709036334881,10.417337832543238,1.3360431558884915,4,3,5.591020682697142,0.1627709036334881
TP2_FULL_EXIT,IMMEDIATE_CLEAN_RECLAIM,358,357,155,202,1,0,0.4341736694677871,1.0344827586206928,0.7168929275736391,1.6958233413269606,0.007319158643645124,2.6129396357813093,1.0129353447315905,6,8,24.877252446620574,0.004505417977042748
TP2_FULL_EXIT,IMMEDIATE_SWEEP_RECLAIM,63,63,26,37,0,0,0.4126984126984127,0.936200223332577,0.5368155449700506,1.5100274874317547,-0.09148542669979157,-5.763581882086869,0.8442275167003549,11,6,15.996180826105515,-0.09148542669979158
TP3_FULL_EXIT,DELAYED_CLEAN_RECLAIM,88,87,42,45,1,0,0.4827586206896552,1.08510197404297,0.69359609465179,1.6901534526854414,0.13379071036704457,11.639791801932876,1.258662040042953,6,4,8.65422506082367,0.1209067250219645
TP3_FULL_EXIT,DELAYED_SWEEP_RECLAIM,53,53,24,29,0,0,0.4528301886792453,1.0835596538874492,0.5911686780002376,1.9117018072289138,0.035290938361693495,1.8704197331697552,1.0644972321782673,3,5,8.333128382139176,0.03529093836169346
TP3_FULL_EXIT,IMMEDIATE_CLEAN_RECLAIM,302,302,112,190,0,0,0.3708609271523179,1.1800635259204293,0.8011641088245531,1.7480822187254166,-0.09318774312179948,-28.142698422783443,0.8518805346169293,4,8,38.47770930595414,-0.09318774312179946
TP3_FULL_EXIT,IMMEDIATE_SWEEP_RECLAIM,58,58,21,37,0,0,0.3620689655172414,0.9451737451737467,0.5940298507462723,1.5894245723172795,-0.21988197665357861,-12.753154645907559,0.655320144705201,8,7,16.743396673226453,-0.21988197665357861
