policy,plans,resolved_n,wins,losses,ambiguous,unresolved,hit_rate,win_r_median,win_r_p25,win_r_p75,expectancy_r,total_r,profit_factor,max_win_streak,max_loss_streak,max_drawdown_r,ambiguous_as_loss_expectancy_r
TP1_FULL_EXIT,688,685,358,327,3,0,0.5226277372262774,0.8681141824547597,0.5031472441023586,1.419342071935128,0.0934349221335883,64.00292166150798,1.1957275891789234,7,8,20.380120988716918,0.08866703729870347
TP2_FULL_EXIT,596,594,266,328,2,0,0.4478114478114478,1.018896713615018,0.6536460207778501,1.710050273034593,0.02062064188934115,12.248661282268644,1.0373434795191119,6,10,24.454175715855698,0.017195740406491022
TP3_FULL_EXIT,501,500,199,301,1,0,0.398,1.1351351351351355,0.7203402845805118,1.701954391269349,-0.05477128306717674,-27.38564153358837,0.9090178022139921,6,8,32.075204504973755,-0.056657967132910915
