fold,fold_start,fold_end,memory_n,query_n,evaluable_query_n,evaluable_coverage,regime_count_memory,median_regime_memory_n,median_analog_n,median_similarity,median_same_primary_regime_rate,median_same_macro_eff_rate,median_same_structure_rate,median_same_path_rate,chronology_ok,median_rho,mean_sign_agreement
2022,2022-01-01 00:00:00+00:00,2023-01-01 00:00:00+00:00,66175,2189,2189,1.0,15,7682.0,64.0,0.3021623216772119,1.0,1.0,0.515625,0.546875,True,0.03131572296410607,0.5170397441754225
2023,2023-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,101211,2190,2190,1.0,15,9898.0,64.0,0.3052453491163774,1.0,1.0,0.5,0.5625,True,0.02906576427803161,0.5105022831050229
2024,2024-01-01 00:00:00+00:00,2025-01-01 00:00:00+00:00,136250,2195,2195,1.0,15,13994.0,64.0,0.3175674737467991,1.0,1.0,0.5625,0.59375,True,0.014086097931571713,0.501867881548975
2025,2025-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00,171381,2190,2190,1.0,15,17689.0,64.0,0.3203753914602876,1.0,1.0,0.625,0.640625,True,0.011083802025180962,0.499269406392694
2026,2026-01-01 00:00:00+00:00,2026-08-26 00:00:00+00:00,206419,1421,1421,1.0,15,19493.0,64.0,0.32543525739206985,1.0,1.0,0.59375,0.609375,True,-0.006905882345376416,0.49964813511611544
