primary_regime,n,median_rho,mean_sign_agreement
DOWN|COMPRESS,680,-0.009232191079745405,0.49205882352941177
DOWN|EXPAND,280,0.013668541690582788,0.5157142857142857
DOWN|NORMAL,1212,-0.005895109172949078,0.5047854785478548
FLAT|COMPRESS,1054,-0.0017782208542195224,0.4960151802656546
FLAT|EXPAND,284,-4.8196936875109675e-05,0.5063380281690141
FLAT|NORMAL,1788,0.030607690908377793,0.5126398210290828
STRONG_DOWN|COMPRESS,255,0.08533102709587773,0.4980392156862745
STRONG_DOWN|EXPAND,315,0.050157987890794474,0.5244444444444444
STRONG_DOWN|NORMAL,626,0.021271706131433726,0.5357827476038339
STRONG_UP|COMPRESS,319,0.04624102130783694,0.5228840125391849
STRONG_UP|EXPAND,284,-0.021176267199626998,0.4999999999999999
STRONG_UP|NORMAL,869,0.030423176463080154,0.5063291139240506
UP|COMPRESS,683,-0.010717133877961844,0.4878477306002929
UP|EXPAND,237,0.002558328630744295,0.49367088607594944
UP|NORMAL,1299,0.02579933707815651,0.503618167821401
