year,config,trades,positive,negative,zero,positive_rate,median_positive_r,expectancy_r,total_r,profit_factor,max_drawdown_r,max_loss_streak,incremental_r_vs_s20,incremental_r_vs_s23,s23_positive,s23_positive_retained,s23_positive_to_negative,s23_negative_to_positive
2022,BASELINE_TP1,151,116,35,0,0.7682119205298014,0.28207423320207736,0.14097014016133655,21.28649116436182,1.608185461838909,7.5568300880379855,5,,,,,,
2022,S20_IMMEDIATE,151,111,40,0,0.7350993377483444,0.28344671201814264,0.15417993997468254,23.281170936177062,1.7409454951840722,5.750726680963168,5,,,,,,
2022,S23_ADAPTIVE_MAJOR_50_50_BE,151,111,40,0,0.7350993377483444,0.28070175438601214,0.16378831034647914,24.73203486231835,1.787120624998053,5.7742838567577595,5,,,,,,
2022,S25_SKIP_WEAK_TP1_BODY,151,111,40,0,0.7350993377483444,0.28070175438601214,0.1639017225009125,24.749160097637787,1.7876656519642091,5.7742838567577595,5,1.467989161460725,0.017125235319436882,111.0,111.0,0.0,0.0
2023,BASELINE_TP1,144,101,43,0,0.7013888888888888,0.15210355987054963,-0.05336533205134683,-7.684607815393943,0.8212881903396757,10.026648050786187,3,,,,,,
2023,S20_IMMEDIATE,144,100,44,0,0.6944444444444444,0.1544579496010866,-0.047052167055205436,-6.775512055949583,0.8386010798856607,9.11755229134183,3,,,,,,
2023,S23_ADAPTIVE_MAJOR_50_50_BE,144,100,44,0,0.6944444444444444,0.16784012516889682,-0.04549138524548275,-6.5507594753495155,0.8439548927786522,8.999657429468957,3,,,,,,
2023,S25_SKIP_WEAK_TP1_BODY,144,100,44,0,0.6944444444444444,0.16784012516889682,-0.04514470806546041,-6.500837961426298,0.8451440690905154,8.994444159326777,3,0.2746740945232844,0.0499215139232172,100.0,100.0,0.0,0.0
2024,BASELINE_TP1,145,108,37,0,0.7448275862068966,0.22888534335591773,0.011793702698242672,1.7100868912451874,1.0462185646282485,8.053493337207367,4,,,,,,
2024,S20_IMMEDIATE,145,104,41,0,0.7172413793103448,0.24326598956662168,0.027393170970612713,3.972009790738843,1.116184168608363,6.331492423490401,4,,,,,,
2024,S23_ADAPTIVE_MAJOR_50_50_BE,145,104,41,0,0.7172413793103448,0.24326598956662168,0.03490491224957593,5.0612122761885106,1.1480441316711911,6.147202585725705,4,,,,,,
2024,S25_SKIP_WEAK_TP1_BODY,145,104,41,0,0.7172413793103448,0.24326598956662168,0.034016776717672406,4.932432624062499,1.144277233399485,6.240269366297404,4,0.9604228333236557,-0.1287796521260116,104.0,104.0,0.0,0.0
2025,BASELINE_TP1,186,137,49,0,0.7365591397849462,0.16577540106952965,-0.027650810624505393,-5.143050776158003,0.895039780078408,9.090043770098966,4,,,,,,
2025,S20_IMMEDIATE,186,136,50,0,0.7311827956989247,0.16540001580569452,-0.018932541950125156,-3.521452802723279,0.9253064540926108,9.051877009189113,4,,,,,,
2025,S23_ADAPTIVE_MAJOR_50_50_BE,186,136,50,0,0.7311827956989247,0.17433171251899074,-0.014660475079714063,-2.726848364826816,0.9421608111961153,8.874370081475,4,,,,,,
2025,S25_SKIP_WEAK_TP1_BODY,186,136,50,0,0.7311827956989247,0.18637110016420566,-0.012380968572927956,-2.3028601545645997,0.9511540263892655,8.633712441161567,4,1.2185926481586793,0.4239882102622161,136.0,136.0,0.0,0.0
2026,BASELINE_TP1,86,64,22,0,0.7441860465116279,0.19241826503492332,0.05376389477295685,4.623694950474289,1.2101679522942859,4.671923129021771,2,,,,,,
2026,S20_IMMEDIATE,86,63,23,0,0.7325581395348837,0.1898454746136907,0.05728229941516642,4.926277749704312,1.2314451094496677,4.920399682506139,2,,,,,,
2026,S23_ADAPTIVE_MAJOR_50_50_BE,86,63,23,0,0.7325581395348837,0.1827079934747154,0.05347261564298396,4.598644945296621,1.216052349615939,4.998582193576056,2,,,,,,
2026,S25_SKIP_WEAK_TP1_BODY,86,63,23,0,0.7325581395348837,0.1834319526627235,0.05564094350294637,4.785121141253388,1.2248133261129628,4.980543481141489,2,-0.14115660845092393,0.18647619595676712,63.0,63.0,0.0,0.0
