zone_id,activation_ts,origin_ts,demand_low,demand_high,h4_bos_ts,broken_h4_swing_ts,broken_h4_level,first_touch_ts,touch_open,touch_high,touch_low,touch_close,h1_bos_ts,broken_h1_swing_ts,broken_h1_level,new_high_pivot_ts,new_high_confirm_ts,new_high_price,has_h1_bos,has_confirmed_new_high,retrace_ge2_bars,has_lower_high,has_lower_low,retest_close_holds_demand,exact_structural_twin
H4D_2022-01-01T20:00:00+00:00,2022-01-01 20:00:00+00:00,2022-01-01 12:00:00+00:00,512.35,516.08,2022-01-01 20:00:00+00:00,2022-01-01 08:00:00+00:00,521.77,2022-01-03 20:00:00+00:00,517.3,519.01,514.44,514.52,2022-01-01 21:00:00+00:00,2022-01-01 18:00:00+00:00,525.4,2022-01-01 21:00:00+00:00,2022-01-01 23:00:00+00:00,527.39,True,True,True,True,True,True,True
H4D_2022-01-09T20:00:00+00:00,2022-01-09 20:00:00+00:00,2022-01-09 16:00:00+00:00,426.75,434.98,2022-01-09 20:00:00+00:00,2022-01-09 08:00:00+00:00,437.95,2022-01-10 12:00:00+00:00,435.89,436.08,432.35,433.8,2022-01-10 05:00:00+00:00,2022-01-09 21:00:00+00:00,444.14,2022-01-10 06:00:00+00:00,2022-01-10 08:00:00+00:00,445.21,True,True,True,True,True,True,True
H4D_2022-01-11T12:00:00+00:00,2022-01-11 12:00:00+00:00,2022-01-10 16:00:00+00:00,406.46,433.8,2022-01-11 12:00:00+00:00,2022-01-10 08:00:00+00:00,445.21,2022-01-21 02:00:00+00:00,441.94,442.4,423.19,424.05,2022-01-11 17:00:00+00:00,2022-01-11 09:00:00+00:00,458.0,2022-01-11 18:00:00+00:00,2022-01-11 20:00:00+00:00,467.4,True,True,True,True,True,True,True
H4D_2022-01-12T16:00:00+00:00,2022-01-12 16:00:00+00:00,2022-01-12 08:00:00+00:00,456.26,458.9,2022-01-12 16:00:00+00:00,2022-01-11 20:00:00+00:00,467.4,2022-01-18 17:00:00+00:00,460.71,463.25,456.8,461.66,2022-01-14 05:00:00+00:00,2022-01-14 02:00:00+00:00,480.89,2022-01-14 07:00:00+00:00,2022-01-14 09:00:00+00:00,489.77,True,True,True,True,True,True,True
H4D_2022-01-25T20:00:00+00:00,2022-01-25 20:00:00+00:00,2022-01-25 16:00:00+00:00,364.59,371.41,2022-01-25 20:00:00+00:00,2022-01-25 00:00:00+00:00,376.33,2022-01-26 22:00:00+00:00,377.49,379.0,366.75,367.11,2022-01-26 09:00:00+00:00,2022-01-26 05:00:00+00:00,383.25,2022-01-26 15:00:00+00:00,2022-01-26 17:00:00+00:00,398.8,True,True,True,True,True,True,True
H4D_2022-02-04T00:00:00+00:00,2022-02-04 00:00:00+00:00,2022-02-03 20:00:00+00:00,361.56,367.97,2022-02-04 00:00:00+00:00,2022-02-03 12:00:00+00:00,370.04,2022-02-21 13:00:00+00:00,370.03,372.59,366.76,367.93,2022-02-04 06:00:00+00:00,2022-02-04 01:00:00+00:00,372.38,2022-02-04 11:00:00+00:00,2022-02-04 13:00:00+00:00,380.15,True,True,True,True,True,True,True
H4D_2022-02-07T04:00:00+00:00,2022-02-07 04:00:00+00:00,2022-02-06 16:00:00+00:00,406.28,416.19,2022-02-07 04:00:00+00:00,2022-02-06 16:00:00+00:00,421.57,2022-02-08 16:00:00+00:00,418.93,418.96,413.11,417.92,2022-02-07 14:00:00+00:00,2022-02-07 06:00:00+00:00,429.46,2022-02-07 17:00:00+00:00,2022-02-07 19:00:00+00:00,438.58,True,True,True,True,True,True,True
H4D_2022-02-15T04:00:00+00:00,2022-02-15 04:00:00+00:00,2022-02-14 20:00:00+00:00,395.62,401.17,2022-02-15 04:00:00+00:00,2022-02-14 16:00:00+00:00,404.42,2022-02-17 22:00:00+00:00,404.66,405.84,399.52,404.47,2022-02-15 05:00:00+00:00,2022-02-15 02:00:00+00:00,416.99,2022-02-15 05:00:00+00:00,2022-02-15 07:00:00+00:00,425.97,True,True,True,True,True,True,True
H4D_2022-02-28T16:00:00+00:00,2022-02-28 16:00:00+00:00,2022-02-28 00:00:00+00:00,357.87,360.55,2022-02-28 16:00:00+00:00,2022-02-27 16:00:00+00:00,381.17,2022-03-14 00:00:00+00:00,361.7,362.85,359.53,361.06,2022-02-28 21:00:00+00:00,2022-02-28 17:00:00+00:00,385.75,2022-03-01 01:00:00+00:00,2022-03-01 03:00:00+00:00,399.98,True,True,True,True,True,True,True
H4D_2022-03-17T00:00:00+00:00,2022-03-17 00:00:00+00:00,2022-03-16 04:00:00+00:00,369.17,371.51,2022-03-17 00:00:00+00:00,2022-03-16 04:00:00+00:00,383.18,2022-05-05 19:00:00+00:00,376.3,377.82,371.0,376.18,2022-03-17 05:00:00+00:00,2022-03-17 01:00:00+00:00,386.31,2022-03-17 06:00:00+00:00,2022-03-17 08:00:00+00:00,388.48,True,True,True,True,True,True,True
