type,name,period,n,fill_rate,median_improve_immediate,positive_improve_immediate,median_improve_endpoint,median_event_min
FIXED_WAIT,WAIT_5M,DEV,6,1.0,0.007834628523335947,0.6666666666666666,-0.01840910387190734,5.0
FIXED_WAIT,WAIT_5M,REF,7,1.0,0.017020481569752777,0.5714285714285714,-0.04889222591648146,5.0
FIXED_WAIT,WAIT_5M,ALL,13,1.0,0.014842446998691763,0.6153846153846154,-0.04889222591648146,5.0
FIXED_WAIT,WAIT_10M,DEV,6,1.0,-0.038236526546037874,0.3333333333333333,-0.032876244932687426,10.0
FIXED_WAIT,WAIT_10M,REF,7,1.0,-0.029313051592355532,0.42857142857142855,-0.06644576778090425,10.0
FIXED_WAIT,WAIT_10M,ALL,13,1.0,-0.029313051592355532,0.38461538461538464,-0.06028621095057274,10.0
FIXED_WAIT,WAIT_15M,DEV,6,1.0,-0.13196593825651803,0.0,-0.06249611656117038,15.0
FIXED_WAIT,WAIT_15M,REF,7,1.0,0.01732401705702291,0.5714285714285714,-0.06766869602226946,15.0
FIXED_WAIT,WAIT_15M,ALL,13,1.0,-0.05291584307077224,0.3076923076923077,-0.06766869602226946,15.0
FIXED_WAIT,WAIT_30M,DEV,6,1.0,0.04185280537099824,0.6666666666666666,-0.1020190161802358,30.0
FIXED_WAIT,WAIT_30M,REF,7,1.0,0.050140057896020634,0.7142857142857143,-0.05829291283846014,30.0
FIXED_WAIT,WAIT_30M,ALL,13,1.0,0.050140057896020634,0.6923076923076923,-0.06361048713725911,30.0
FIXED_WAIT,WAIT_45M,DEV,6,1.0,-0.061090156756336764,0.5,-0.14785479995758063,45.0
FIXED_WAIT,WAIT_45M,REF,7,1.0,0.06855471743373387,1.0,0.015784104429729218,45.0
FIXED_WAIT,WAIT_45M,ALL,13,1.0,0.04638747740105997,0.7692307692307693,-0.0374770023411623,45.0
FIXED_WAIT,WAIT_60M,DEV,6,1.0,-0.003358351171651286,0.5,-0.061509811584863926,60.0
FIXED_WAIT,WAIT_60M,REF,7,1.0,0.04891712965465542,0.5714285714285714,-0.0361879467413353,60.0
FIXED_WAIT,WAIT_60M,ALL,13,1.0,0.04891712965465542,0.5384615384615384,-0.0361879467413353,60.0
PROBE,FIRST_CLOSE_ABOVE_FAILURE_30,DEV,6,1.0,0.015367453428466855,1.0,0.007848003719974815,5.0
PROBE,FIRST_CLOSE_ABOVE_FAILURE_30,REF,7,0.7142857142857143,0.0423948457007029,1.0,-0.06603812503377787,5.0
PROBE,FIRST_CLOSE_ABOVE_FAILURE_30,ALL,13,0.8461538461538461,0.01732401705702291,1.0,-0.03731273184109751,5.0
PROBE,FIRST_WALL_TOUCH_60,DEV,6,0.0,,,,
PROBE,FIRST_WALL_TOUCH_60,REF,7,0.14285714285714285,0.16582305744358378,1.0,-0.10228165161243158,15.0
PROBE,FIRST_WALL_TOUCH_60,ALL,13,0.07692307692307693,0.16582305744358378,1.0,-0.10228165161243158,15.0
PROBE,FIRST_WALL_CLOSE_60,DEV,6,0.0,,,,
PROBE,FIRST_WALL_CLOSE_60,REF,7,0.14285714285714285,0.23062770671485305,1.0,-0.0374770023411623,45.0
PROBE,FIRST_WALL_CLOSE_60,ALL,13,0.07692307692307693,0.23062770671485305,1.0,-0.0374770023411623,45.0
