period,target_family,candidate,n,runner_n,clean_signals,signal_rate_runner,base_catastrophic,catastrophic_captured,catastrophic_capture_rate,base_target_winners,winner_false_exit,winner_false_exit_rate,base_unresolved,unresolved_exited,signal_precision_nontarget,median_failure_exit_r,median_r_improve_vs_base,median_cat_r_saved,median_lead_to_cat_min,median_false_exit_to_target_min,later_target_after_false_exit,later_target_after_false_exit_rate,false_reclaim_next5_rate,false_reclaim_within15_rate,expectancy_r,total_r,pf,max_dd_r,max_loss_streak,delta_vs_fixed_t1_mean_r,delta_vs_base_mean_r
DEV,T15,P1_ANCHOR_TWO_CONSEC_CLOSE5,286,71,15,0.2112676056338028,10,10,1.0,59,4,0.06779661016949153,2,1,0.7333333333333333,-0.3371233655486059,0.6607843137254956,0.9104187305573705,112.5,272.5,4,1.0,0.0,0.5,0.009042782145037937,2.58623569348085,1.0198548417445594,23.43622089679561,5,0.02377802901460152,0.011661280991211028
DEV,T15,P2_ANCHOR_THREE_CONSEC_CLOSE5,286,71,15,0.2112676056338028,10,10,1.0,59,4,0.06779661016949153,2,1,0.7333333333333333,-0.27210884353741904,0.8137254901960795,0.9852393692539803,100.0,267.5,4,1.0,0.5,0.5,0.01046634734851819,2.9933753416762023,1.0230525561279875,23.774432672319854,5,0.02520159421808177,0.013084846194691281
DEV,T15,P3_T05_THEN_ANCHOR_CLOSE5,286,71,15,0.2112676056338028,10,10,1.0,59,4,0.06779661016949153,2,1,0.7333333333333333,-0.21516754850087602,0.8871252204585566,1.0176255923004538,117.5,277.5,4,1.0,0.25,0.75,0.01285864612050357,3.677572790464021,1.0284717128768566,23.003129351751074,5,0.027593892990067145,0.015477144966676657
DEV,T15,P4_ANCHOR_RECLAIM_REJECT5,286,71,10,0.14084507042253522,10,6,0.6,59,3,0.05084745762711865,2,1,0.7,-0.278965917393729,0.7247317795042667,1.004601556042137,167.5,315.0,3,1.0,0.6666666666666666,0.6666666666666666,0.00340676316321826,0.9743342646804223,1.0073313008574833,24.403541859030607,5,0.01814201003278184,0.00602526200939135
DEV,T2,P1_ANCHOR_TWO_CONSEC_CLOSE5,286,71,26,0.36619718309859156,16,16,1.0,45,6,0.13333333333333333,10,4,0.7692307692307693,-0.36146164631851363,0.4830116206927848,0.8036194010348813,72.5,497.5,6,1.0,0.0,0.3333333333333333,-0.026834880473836673,-7.674775815517289,0.9447558362292173,27.429087915481702,7,-0.012099633604273102,0.001934046097407355
DEV,T2,P2_ANCHOR_THREE_CONSEC_CLOSE5,286,71,25,0.352112676056338,16,15,0.9375,45,6,0.13333333333333333,10,4,0.76,-0.322751322751319,0.7028985507245897,0.898832684824906,95.0,492.5,6,1.0,0.3333333333333333,0.3333333333333333,-0.02617965323473749,-7.487380825134922,0.9460319355565519,27.45311339416749,7,-0.011444406365173918,0.0025892733365065375
DEV,T2,P3_T05_THEN_ANCHOR_CLOSE5,286,71,26,0.36619718309859156,16,16,1.0,45,6,0.13333333333333333,10,4,0.7692307692307693,-0.26055961504188246,0.5557294310043209,0.9124376490999864,117.5,512.5,6,1.0,0.16666666666666666,0.5,-0.02010879401604421,-5.751115088588644,0.9580213592052419,27.47758377927707,7,-0.005373547146480621,0.008660132555199838
DEV,T2,P4_ANCHOR_RECLAIM_REJECT5,286,71,19,0.2676056338028169,16,10,0.625,45,5,0.1111111111111111,10,4,0.7368421052631579,-0.2824601366742626,0.6607843137254956,0.9544463451601152,167.5,525.0,5,1.0,0.8,0.8,-0.029195131038144174,-8.349807476909234,0.9407972508355377,28.047328707487875,7,-0.014459884168580604,-0.00042620446690014166
REF,T15,P1_ANCHOR_TWO_CONSEC_CLOSE5,160,46,15,0.32608695652173914,10,8,0.8,35,6,0.17142857142857143,1,1,0.6,-0.29434954007883374,0.17607973421925383,0.7197241408897833,50.0,515.0,6,1.0,0.0,0.16666666666666666,0.08130530490335192,13.008848784536307,1.206935966646471,12.81031702967457,5,-0.05339466648755903,-0.022836155404085953
REF,T15,P2_ANCHOR_THREE_CONSEC_CLOSE5,160,46,15,0.32608695652173914,10,8,0.8,35,6,0.17142857142857143,1,1,0.6,-0.33128834355828407,0.20598006644517697,0.7724602649529901,45.0,510.0,6,1.0,0.16666666666666666,0.3333333333333333,0.08324935637227147,13.319897019563436,1.2129375146539023,12.405982222751799,5,-0.05145061501863948,-0.02089210393516641
REF,T15,P3_T05_THEN_ANCHOR_CLOSE5,160,46,19,0.41304347826086957,10,10,1.0,35,8,0.22857142857142856,1,1,0.5789473684210527,-0.23969072164949146,0.3853820598006782,0.8109170992606524,35.0,452.5,8,1.0,0.375,0.5,0.08912998191384289,14.260797106214861,1.237663517213992,12.064121469500956,5,-0.045569989477068064,-0.015011478393594995
REF,T15,P4_ANCHOR_RECLAIM_REJECT5,160,46,8,0.17391304347826086,10,3,0.3,35,4,0.11428571428571428,1,1,0.5,-0.17207419916398103,-0.6988142570634392,1.0191387559808436,35.0,432.5,4,1.0,0.25,0.25,0.08625389273272079,13.800622837235325,1.2148230817336898,10.129637231589506,5,-0.04844607865819015,-0.017887567574717086
REF,T2,P1_ANCHOR_TWO_CONSEC_CLOSE5,160,46,18,0.391304347826087,13,11,0.8461538461538461,30,4,0.13333333333333333,3,3,0.7777777777777778,-0.34259498355971435,0.46013000292141604,0.8267973856209105,65.0,535.0,4,1.0,0.0,0.25,0.12407121904962648,19.851395047940237,1.309796432818567,11.518866574388053,5,-0.010628752341284483,0.0038874341611013275
