year,target_family,candidate,n,runner_n,clean_signals,signal_rate_runner,base_catastrophic,catastrophic_captured,catastrophic_capture_rate,base_target_winners,winner_false_exit,winner_false_exit_rate,base_unresolved,unresolved_exited,signal_precision_nontarget,median_failure_exit_r,median_r_improve_vs_base,median_cat_r_saved,median_lead_to_cat_min,median_false_exit_to_target_min,later_target_after_false_exit,later_target_after_false_exit_rate,false_reclaim_next5_rate,false_reclaim_within15_rate,expectancy_r,total_r,pf,max_dd_r,max_loss_streak,delta_vs_fixed_t1_mean_r,delta_vs_base_mean_r
2022,T15,P1_ANCHOR_TWO_CONSEC_CLOSE5,88,22,4,0.18181818181818182,2,2,1.0,20,2,0.1,0,0,0.5,-0.33094999498947597,-0.33102181247285534,0.831531109026756,127.5,280.0,2,1.0,0.0,0.5,0.007953689619638422,0.6999246865281812,1.0161429908292117,11.589706145762113,5,0.038243128909638296,-0.014685498410824747
2022,T15,P2_ANCHOR_THREE_CONSEC_CLOSE5,88,22,4,0.18181818181818182,2,2,1.0,20,2,0.1,0,0,0.5,-0.27473194848133353,-0.22303504025119159,0.8886395104738911,122.5,275.0,2,1.0,0.5,0.5,0.008276552819237186,0.7283366480928724,1.0168092963554398,11.738543355064436,5,0.038565992109237036,-0.014362635211225999
2022,T15,P3_T05_THEN_ANCHOR_CLOSE5,88,22,4,0.18181818181818182,2,2,1.0,20,2,0.1,0,0,0.5,-0.21592448793629299,-0.1870177372482178,0.9423154227522464,130.0,295.0,2,1.0,0.5,1.0,0.013684226213010263,1.204211906744903,1.0281006531766734,11.373427075994666,5,0.04397366550301012,-0.00895496181745292
2022,T15,P4_ANCHOR_RECLAIM_REJECT5,88,22,3,0.13636363636363635,2,2,1.0,20,1,0.05,0,0,0.6666666666666666,-0.2824601366742626,0.6607843137254956,0.831531109026756,127.5,355.0,1,1.0,1.0,1.0,0.026447770318069205,2.32740378799009,1.0544271141371673,11.28505498297141,5,0.05673720960806906,0.003808582287606022
2022,T2,P1_ANCHOR_TWO_CONSEC_CLOSE5,88,22,8,0.36363636363636365,5,5,1.0,16,2,0.125,1,1,0.75,-0.36418633321592053,0.14096484408741305,0.906614785992214,210.0,307.5,2,1.0,0.0,0.5,-0.04026272847320382,-3.543120105641936,0.9279307818175637,17.445427977793386,5,-0.009973289183203959,-0.012018047534997479
2022,T2,P2_ANCHOR_THREE_CONSEC_CLOSE5,88,22,7,0.3181818181818182,5,4,0.8,16,2,0.125,1,1,0.7142857142857143,-0.32118451025057615,0.8137254901960795,0.9311931077883043,302.5,302.5,2,1.0,0.5,0.5,-0.0411711029375728,-3.623057058506406,0.9264244469374968,17.280078890257258,5,-0.010881663647572955,-0.01292642199936647
2022,T2,P3_T05_THEN_ANCHOR_CLOSE5,88,22,8,0.36363636363636365,5,5,1.0,16,2,0.125,1,1,0.75,-0.25366618418040154,0.10065842525973442,0.8823529411764766,210.0,322.5,2,1.0,0.5,1.0,-0.03703239633825133,-3.2588508777661174,0.9333274763627714,17.71073631686584,5,-0.006742957048251483,-0.008787715400044999
2022,T2,P4_ANCHOR_RECLAIM_REJECT5,88,22,6,0.2727272727272727,5,4,0.8,16,1,0.0625,1,1,0.8333333333333334,-0.3201222839059932,0.7836995498588548,0.9544463451601152,307.5,355.0,1,1.0,1.0,1.0,-0.012846399339000973,-1.1304831418320855,0.9765401136536899,16.761922189452015,5,0.017443039950998874,0.015398281599205359
2023,T15,P1_ANCHOR_TWO_CONSEC_CLOSE5,98,24,4,0.16666666666666666,3,3,1.0,20,1,0.05,1,0,0.75,-0.2870051601213168,1.0099858811449214,1.2312925170068052,125.0,355.0,1,1.0,0.0,0.0,-0.006424832926392139,-0.6296336267864296,0.9860664825676017,14.38341961478368,5,0.03517997360806959,0.019009439777260086
2023,T15,P2_ANCHOR_THREE_CONSEC_CLOSE5,98,24,4,0.16666666666666666,3,3,1.0,20,1,0.05,1,0,0.75,-0.25929385838843444,1.073425458410841,1.2676056338027908,105.0,350.0,1,1.0,0.0,0.0,-0.00738540916092103,-0.7237700977702609,0.9840165801839765,14.5727941810056,5,0.0342193973735407,0.0180488635427312
2023,T15,P3_T05_THEN_ANCHOR_CLOSE5,98,24,4,0.16666666666666666,3,3,1.0,20,1,0.05,1,0,0.75,-0.17507779572221205,1.0869978179951367,1.272108843537419,130.0,360.0,1,1.0,0.0,0.0,-0.003795967601823747,-0.3720048249787272,0.9917204923036036,14.166607139506592,5,0.037808838932637985,0.021638305101828487
2023,T15,P4_ANCHOR_RECLAIM_REJECT5,98,24,3,0.125,3,2,0.6666666666666666,20,1,0.05,1,0,0.6666666666666666,-0.27547169811319533,0.7886792452830378,1.0099858811449214,522.5,315.0,1,1.0,0.0,0.0,-0.019404140324613548,-1.9016057518121277,0.9590703888360652,15.655391739809378,5,0.022200666209848185,0.006030132379038677
