structure_id,structure,direction,policy_id,policy,n,parent_n,participation,hit_60,wilson_60,median_signed_60,hit_30,hit_120,n_2022,hit_2022,n_2023,hit_2023,n_2024,hit_2024,worst_dev_hit,aux_ge53,dev_gate
S01,SWING_LOW_SWEEP_RECLAIM,LONG,E0,STRUCTURE_CLOSE,5371,5371,1.0,0.5261590020480358,0.5127915587477805,0.00023099260823644663,0.5114503816793893,0.5162911934462856,1758,0.5324232081911263,1813,0.5079977937120794,1800,0.5383333333333333,0.5079977937120794,0,False
S01,SWING_LOW_SWEEP_RECLAIM,LONG,E1,STRUCTURE_CANDLE_EXTREME_BREAK,3317,5371,0.6175758704151927,0.49894482966536025,0.4819404072357501,0.0,0.5007536930961712,0.4965330117576123,1075,0.5051162790697674,1114,0.4730700179533214,1128,0.5186170212765957,0.4730700179533214,0,False
S01,SWING_LOW_SWEEP_RECLAIM,LONG,E2,STRUCTURAL_LEVEL_RETEST,3394,5371,0.631912120647924,0.5377136122569239,0.5209069224584951,0.00032647613278091736,0.5247495580436063,0.5209192692987625,1136,0.545774647887324,1144,0.5209790209790209,1114,0.5466786355475763,0.5209790209790209,0,False
S01,SWING_LOW_SWEEP_RECLAIM,LONG,E3,MICRO_BOS_3BAR,4452,5371,0.8288959225470117,0.5123539982030548,0.4976669070768696,0.00010033399661024678,0.5058400718778078,0.5080862533692723,1433,0.5136078157711096,1502,0.4986684420772304,1517,0.5247198417930126,0.4986684420772304,0,False
S01,SWING_LOW_SWEEP_RECLAIM,LONG,E4,PULLBACK_RECLAIM,4722,5371,0.8791658908955502,0.5252011859381618,0.5109434338845417,0.00021856810611020627,0.5137653536637018,0.5173655230834392,1559,0.5157152020525978,1587,0.5211090107120353,1576,0.5387055837563451,0.5157152020525978,0,False
S01,SWING_LOW_SWEEP_RECLAIM,LONG,E5,STRUCTURE_MID_RETEST,3580,5371,0.6665425432880283,0.5276536312849162,0.5112792065403534,0.00026187029026514264,0.5120111731843575,0.5128491620111731,1190,0.5218487394957984,1200,0.5158333333333334,1190,0.5453781512605042,0.5158333333333334,0,False
S02,HH_HL_SETUP,LONG,E0,STRUCTURE_CLOSE,3404,3404,1.0,0.47737955346651,0.46063501568498133,-0.0001832612154384905,0.4688601645123384,0.48589894242068155,1128,0.47074468085106386,1094,0.46983546617915906,1182,0.4906937394247039,0.46983546617915906,0,False
S02,HH_HL_SETUP,LONG,E1,STRUCTURE_CANDLE_EXTREME_BREAK,2019,3404,0.5931257344300822,0.4596334819217434,0.4379921351411456,-0.00038370531431863864,0.4487369985141159,0.462109955423477,659,0.44916540212443096,627,0.44657097288676234,733,0.48021828103683495,0.44657097288676234,0,False
S02,HH_HL_SETUP,LONG,E2,STRUCTURAL_LEVEL_RETEST,1057,3404,0.3105170387779083,0.49952696310312206,0.46944072181474034,0.0,0.49763481551561023,0.48628192999053926,358,0.5,352,0.5056818181818182,347,0.49279538904899134,0.49279538904899134,0,False
S02,HH_HL_SETUP,LONG,E3,MICRO_BOS_3BAR,2706,3404,0.7949471210340776,0.46674057649667405,0.4480038768600625,-0.0002655587389418512,0.46526237989652625,0.4700665188470067,885,0.4711864406779661,872,0.4518348623853211,949,0.47629083245521603,0.4518348623853211,0,False
S02,HH_HL_SETUP,LONG,E4,PULLBACK_RECLAIM,2929,3404,0.8604582843713279,0.4803687265278252,0.4623127405348997,-0.00013360499682679716,0.4728576305906453,0.4786616592693752,977,0.48311156601842375,948,0.46729957805907174,1004,0.4900398406374502,0.46729957805907174,0,False
S02,HH_HL_SETUP,LONG,E5,STRUCTURE_MID_RETEST,2409,3404,0.7076968272620446,0.4761311747613117,0.4562413890030494,-0.00018742385905723413,0.4703196347031963,0.4761311747613117,807,0.45724907063197023,758,0.4604221635883905,844,0.5082938388625592,0.45724907063197023,0,False
S03,BREAK_RETEST_HOLD,LONG,E0,STRUCTURE_CLOSE,2790,2790,1.0,0.46200716845878137,0.4435726159172296,-0.0003736208738470137,0.45878136200716846,0.4759856630824373,900,0.43555555555555553,892,0.47085201793721976,998,0.4779559118236473,0.43555555555555553,0,False
S03,BREAK_RETEST_HOLD,LONG,E1,STRUCTURE_CANDLE_EXTREME_BREAK,1712,2790,0.6136200716845878,0.45794392523364486,0.4344636493021028,-0.00045117099112307324,0.45385514018691586,0.4725467289719626,515,0.44660194174757284,563,0.4280639431616341,634,0.49369085173501576,0.4280639431616341,0,False
S03,BREAK_RETEST_HOLD,LONG,E2,STRUCTURAL_LEVEL_RETEST,1786,2790,0.6401433691756272,0.4820828667413214,0.45897231291961804,-0.00016368175061520773,0.47144456886898095,0.48824188129899215,590,0.46779661016949153,554,0.48736462093862815,642,0.49065420560747663,0.46779661016949153,0,False
S03,BREAK_RETEST_HOLD,LONG,E3,MICRO_BOS_3BAR,2246,2790,0.8050179211469534,0.4697239536954586,0.4491529323098887,-0.0002785506014805761,0.46482635796972394,0.47996438112199463,696,0.4698275862068966,734,0.44959128065395093,816,0.4877450980392157,0.44959128065395093,0,False
S03,BREAK_RETEST_HOLD,LONG,E4,PULLBACK_RECLAIM,2409,2790,0.8634408602150537,0.47114985471149856,0.451278476054438,-0.0002141511050196554,0.4474885844748858,0.47862183478621834,762,0.4645669291338583,780,0.4756410256410256,867,0.4728950403690888,0.4645669291338583,0,False
S03,BREAK_RETEST_HOLD,LONG,E5,STRUCTURE_MID_RETEST,1946,2790,0.6974910394265234,0.46094552929085303,0.43889701773982825,-0.00036132102657338017,0.44295991778006166,0.48663926002055496,632,0.4430379746835443,608,0.47039473684210525,706,0.4688385269121813,0.4430379746835443,0,False
S04,FAILED_BREAKDOWN_RECLAIM,LONG,E0,STRUCTURE_CLOSE,2822,2822,1.0,0.5223245924875974,0.5038775592353787,0.00021574105598687332,0.515946137491141,0.5180722891566265,944,0.5201271186440678,960,0.509375,918,0.5381263616557734,0.509375,0,False
S04,FAILED_BREAKDOWN_RECLAIM,LONG,E1,STRUCTURE_CANDLE_EXTREME_BREAK,2063,2822,0.7310418143160878,0.508482792050412,0.4869143042459908,8.195512137554317e-05,0.506543868153175,0.5133301017935046,680,0.5014705882352941,706,0.49291784702549574,677,0.5317577548005908,0.49291784702549574,0,False
S04,FAILED_BREAKDOWN_RECLAIM,LONG,E2,STRUCTURAL_LEVEL_RETEST,1722,2822,0.6102055279943303,0.5290360046457607,0.5054216550346118,0.0002370931713993052,0.5238095238095238,0.5365853658536586,609,0.5435139573070608,565,0.49557522123893805,548,0.5474452554744526,0.49557522123893805,1,False
S04,FAILED_BREAKDOWN_RECLAIM,LONG,E3,MICRO_BOS_3BAR,2395,2822,0.8486888731396173,0.5160751565762004,0.4960511125471362,0.00011514104778354017,0.508141962421712,0.524008350730689,787,0.5184243964421855,808,0.5037128712871287,800,0.52625,0.5037128712871287,0,False
S04,FAILED_BREAKDOWN_RECLAIM,LONG,E4,PULLBACK_RECLAIM,2486,2822,0.8809355067328136,0.5297666934835077,0.5101159661357231,0.00025515148111165953,0.5249396621078037,0.5285599356395817,838,0.535799522673031,852,0.49295774647887325,796,0.5628140703517588,0.49295774647887325,0,False
S04,FAILED_BREAKDOWN_RECLAIM,LONG,E5,STRUCTURE_MID_RETEST,1726,2822,0.6116229624379872,0.522595596755504,0.4990072858321377,0.00022102238839338817,0.5173812282734647,0.5324449594438007,592,0.5101351351351351,573,0.5130890052356021,561,0.5454545454545454,0.5101351351351351,1,False
S05,SWING_HIGH_SWEEP_REJECT,SHORT,E0,STRUCTURE_CLOSE,5539,5539,1.0,0.5047842570861166,0.49161863489362245,4.0462895524728815e-05,0.48835529879039535,0.5018956490341216,1815,0.4980716253443526,1863,0.5147611379495437,1861,0.5013433637829124,0.4980716253443526,0,False
S05,SWING_HIGH_SWEEP_REJECT,SHORT,E1,STRUCTURE_CANDLE_EXTREME_BREAK,3406,5539,0.6149124390684239,0.4847328244274809,0.46797555906282784,-9.559103621292753e-05,0.4612448620082208,0.4926600117439812,1071,0.5088702147525677,1177,0.4749362786745964,1158,0.47236614853195164,0.47236614853195164,0,False
S05,SWING_HIGH_SWEEP_REJECT,SHORT,E2,STRUCTURAL_LEVEL_RETEST,3565,5539,0.6436179815851236,0.5093969144460028,0.4929855161054037,7.728273890039716e-05,0.49789621318373073,0.4973352033660589,1157,0.5203111495246326,1190,0.5033613445378151,1218,0.5049261083743842,0.5033613445378151,0,False
S05,SWING_HIGH_SWEEP_REJECT,SHORT,E3,MICRO_BOS_3BAR,4505,5539,0.8133237046398267,0.49567147613762486,0.4810813316408298,-3.203690651631952e-05,0.48079911209766923,0.4981132075471698,1444,0.5159279778393352,1528,0.4882198952879581,1533,0.4840182648401826,0.4840182648401826,0,False
S05,SWING_HIGH_SWEEP_REJECT,SHORT,E4,PULLBACK_RECLAIM,4824,5539,0.870915327676476,0.4968905472636816,0.4827893167987665,-1.6738789761050477e-05,0.49585406301824214,0.4964759535655058,1560,0.5025641025641026,1641,0.4893357708714199,1623,0.49907578558225507,0.4893357708714199,0,False
S05,SWING_HIGH_SWEEP_REJECT,SHORT,E5,STRUCTURE_MID_RETEST,3776,5539,0.681711500270807,0.4978813559322034,0.4819439094921779,0.0,0.4822563559322034,0.4920550847457627,1244,0.5152733118971061,1268,0.48264984227129337,1264,0.49604430379746833,0.48264984227129337,0,False
S06,LL_LH_SETUP,SHORT,E0,STRUCTURE_CLOSE,3200,3200,1.0,0.4684375,0.4511964229572338,-0.0002730615291327565,0.453125,0.4609375,1104,0.47192028985507245,1011,0.4609297725024728,1085,0.471889400921659,0.4609297725024728,0,False
S06,LL_LH_SETUP,SHORT,E1,STRUCTURE_CANDLE_EXTREME_BREAK,1858,3200,0.580625,0.4477933261571582,0.425313378191678,-0.0004246977217818859,0.4596340150699677,0.4520990312163617,643,0.47433903576982894,581,0.42512908777969016,634,0.4416403785488959,0.42512908777969016,0,False
S06,LL_LH_SETUP,SHORT,E2,STRUCTURAL_LEVEL_RETEST,1011,3200,0.3159375,0.486646884272997,0.4559460465798245,-0.00010670460608230847,0.486646884272997,0.4658753709198813,359,0.49025069637883006,305,0.4852459016393443,347,0.484149855907781,0.484149855907781,0,False
S06,LL_LH_SETUP,SHORT,E3,MICRO_BOS_3BAR,2533,3200,0.7915625,0.4547966837741808,0.43548788890283413,-0.0004311917476533811,0.46664034741413346,0.46308724832214765,863,0.4623406720741599,792,0.4444444444444444,878,0.45671981776765375,0.4444444444444444,0,False
S06,LL_LH_SETUP,SHORT,E4,PULLBACK_RECLAIM,2760,3200,0.8625,0.4717391304347826,0.4531674976933817,-0.0002196643835919998,0.475,0.46702898550724636,939,0.47816826411075614,885,0.4598870056497175,936,0.47649572649572647,0.4598870056497175,0,False
S06,LL_LH_SETUP,SHORT,E5,STRUCTURE_MID_RETEST,2179,3200,0.6809375,0.45296007342817807,0.4321604818046175,-0.00040953000409515994,0.4653510784763653,0.4593850390087196,756,0.4523809523809524,690,0.43333333333333335,733,0.47203274215552526,0.43333333333333335,0,False
S07,BREAK_RETEST_REJECT,SHORT,E0,STRUCTURE_CLOSE,2553,2553,1.0,0.4488836662749706,0.4296813014603086,-0.0004389815627743321,0.4590677634155895,0.4555424990207599,883,0.43148357870894677,851,0.4488836662749706,819,0.46764346764346765,0.43148357870894677,0,False
S07,BREAK_RETEST_REJECT,SHORT,E1,STRUCTURE_CANDLE_EXTREME_BREAK,1551,2553,0.6075205640423031,0.4332688588007737,0.4088027278767949,-0.0006575582669687829,0.42875564152159895,0.4435847840103159,524,0.41412213740458015,509,0.4381139489194499,518,0.44787644787644787,0.41412213740458015,0,False
S07,BREAK_RETEST_REJECT,SHORT,E2,STRUCTURAL_LEVEL_RETEST,1590,2553,0.6227967097532315,0.4628930817610063,0.4385032078028524,-0.0003523967421455998,0.4710691823899371,0.46855345911949686,576,0.46875,516,0.46705426356589147,498,0.45180722891566266,0.45180722891566266,0,False
S07,BREAK_RETEST_REJECT,SHORT,E3,MICRO_BOS_3BAR,2051,2553,0.8033685859772817,0.4373476352998537,0.41601616568218436,-0.0006071451396434391,0.4363725012189176,0.43686006825938567,711,0.4078762306610408,680,0.43970588235294117,660,0.4666666666666667,0.4078762306610408,0,False
S07,BREAK_RETEST_REJECT,SHORT,E4,PULLBACK_RECLAIM,2205,2553,0.863689776733255,0.4471655328798186,0.4265225257678653,-0.00046662194872992835,0.4448979591836735,0.44988662131519275,759,0.4044795783926219,737,0.46404341926729986,709,0.47531734837799716,0.4044795783926219,0,False
S07,BREAK_RETEST_REJECT,SHORT,E5,STRUCTURE_MID_RETEST,1747,2553,0.6842929886408148,0.4665140240412135,0.4432195407966738,-0.0003154773171807346,0.46307956496851743,0.4722381224957069,618,0.43527508090614886,567,0.48853615520282184,562,0.4786476868327402,0.43527508090614886,0,False
S08,FAILED_BREAKOUT_REJECT,SHORT,E0,STRUCTURE_CLOSE,2929,2929,1.0,0.4919767838852851,0.4738939856327749,-4.790189691528113e-05,0.48071013997951517,0.506316148856265,935,0.4802139037433155,973,0.4943473792394656,1021,0.5004897159647405,0.4802139037433155,0,False
S08,FAILED_BREAKOUT_REJECT,SHORT,E1,STRUCTURE_CANDLE_EXTREME_BREAK,2047,2929,0.698873335609423,0.4782608695652174,0.4566822735577054,-0.00013886960144415816,0.4484611626770884,0.48265754763067903,635,0.48976377952755906,690,0.4623188405797101,722,0.48337950138504154,0.4623188405797101,0,False
S08,FAILED_BREAKOUT_REJECT,SHORT,E2,STRUCTURAL_LEVEL_RETEST,1854,2929,0.6329805394332537,0.4859762675296656,0.4632782056097236,-0.00010444971146950088,0.48274002157497303,0.5026968716289104,610,0.48688524590163934,605,0.484297520661157,639,0.486697965571205,0.484297520661157,0,False
S08,FAILED_BREAKOUT_REJECT,SHORT,E3,MICRO_BOS_3BAR,2413,2929,0.8238306589279618,0.49191877331123085,0.4720002378904613,-5.163422316312172e-05,0.47617074181516783,0.49813510153336094,761,0.4940867279894875,809,0.48331273176761436,843,0.498220640569395,0.48331273176761436,0,False
S08,FAILED_BREAKOUT_REJECT,SHORT,E4,PULLBACK_RECLAIM,2559,2929,0.8736770228747013,0.4876905041031653,0.4683569586593963,-6.931688212685749e-05,0.4904259476357952,0.4978507229386479,818,0.4841075794621027,859,0.49243306169965073,882,0.48639455782312924,0.4841075794621027,0,False
S08,FAILED_BREAKOUT_REJECT,SHORT,E5,STRUCTURE_MID_RETEST,1930,2929,0.6589279617616934,0.49533678756476685,0.4730622733901307,-7.436949317596309e-05,0.4761658031088083,0.5031088082901555,629,0.5103338632750397,634,0.4842271293375394,667,0.4917541229385307,0.4842271293375394,0,False
