candidate,H4D_H1_PROXIMAL_RECLAIM,H4D_H1_CLEAN_PROXIMAL_RECLAIM,H4D_H1_BULLISH_PROXIMAL_RECLAIM,H4D_H1_CONTROLLED_EXPANSION_CLEAN_RECLAIM
H4D_H1_PROXIMAL_RECLAIM,133,115,27,40
H4D_H1_CLEAN_PROXIMAL_RECLAIM,115,115,25,40
H4D_H1_BULLISH_PROXIMAL_RECLAIM,27,25,27,10
H4D_H1_CONTROLLED_EXPANSION_CLEAN_RECLAIM,40,40,10,40
