candidate,total,2022,2023,2024
H4D_H1_PROXIMAL_RECLAIM,133,46,39,48
H4D_H1_CLEAN_PROXIMAL_RECLAIM,115,44,33,38
H4D_H1_BULLISH_PROXIMAL_RECLAIM,27,12,5,10
H4D_H1_CONTROLLED_EXPANSION_CLEAN_RECLAIM,40,15,9,16
