period,n,eligible,eligible_GE1R,eligible_base_GE1R,too_fast_GE1R,pass_n,pass_rate_eligible,pass_GE1R,pass_GE1R_precision,uplift_pp,retention_residual_GE1R,wilson_lo,wilson_hi
DEV,500,476,337,0.707983193277311,24,119,0.25,92,0.773109243697479,6.512605042016806,0.27299703264094954,0.6900143231498027,0.8391229943651043
REF,309,297,219,0.7373737373737373,12,72,0.24242424242424243,59,0.8194444444444444,8.207070707070708,0.2694063926940639,0.7151965826080176,0.891331834899801
