archetype,n,share,r1zw_rate,r2zw_rate,full_cont_rate,mfe_med,mfe_p25,mfe_p75,risk_demand_med,risk_touchlow_med,room_nearest_med,room_expansion_med,bars_to_1zw_med,mae_to_1zw_med,bullish_touch_rate,compressed_rate,n_2022,r1zw_2022,n_2023,r1zw_2023,n_2024,r1zw_2024
A_CLEAN_PROXIMAL_RECLAIM,415,0.5266497461928934,0.7228915662650602,0.563855421686747,0.38072289156626504,2.567813006360532,1.0079703458255544,6.546966314268676,1.3829787234042406,0.626865671641715,2.4615384615384315,2.7031963470319735,2.0,1.0529448621553672,0.19759036144578312,0.41927710843373495,140,0.7714285714285715,124,0.7338709677419355,151,0.6688741721854304
B_CLEAN_IN_ZONE_HOLD,226,0.2868020304568528,0.504424778761062,0.37168141592920356,0.33185840707964603,1.433734939759056,0.3451957295373557,4.8496240601503215,0.8338541666666632,0.16297001427890523,2.4725972414799484,2.7614874170526944,7.5,0.4936167625841109,0.0,0.4823008849557522,89,0.5280898876404494,60,0.5166666666666667,77,0.4675324675324675
C_SWEEP_FULL_RECLAIM,65,0.08248730964467005,0.7076923076923077,0.6307692307692307,0.3384615384615385,6.096511627906965,2.2719696969696432,15.409090909091677,2.0123456790123346,3.021739130435261,8.181818181818166,8.242424242423926,1.0,3.1652684013895978,0.18461538461538463,0.24615384615384617,16,0.625,28,0.75,21,0.7142857142857143
D_SWEEP_PARTIAL_RECLAIM,82,0.10406091370558376,0.4146341463414634,0.3170731707317073,0.13414634146341464,1.6614173228346802,0.08888888888888598,4.687719047278476,0.3885355944179313,0.9840425531915354,5.008695652173812,5.867575757575665,2.0,1.3365091463414516,0.0,0.34146341463414637,30,0.4,30,0.5,22,0.3181818181818182
