detector_id,structure,direction,family,phase,policy_id,policy,n,parent_n,participation,hit_60,wilson_60,median_signed_60,hit_30,hit_120,n_2022,hit_2022,n_2023,hit_2023,n_2024,hit_2024,worst_dev_hit,aux_ge53,dev_gate
F1LE,LIQUIDITY_SWEEP_LONG_EARLY,LONG,F1,EARLY,E0,PHASE_CLOSE,4738,4738,1.0,0.5299704516673702,0.5157404399533025,0.00026762882855901893,0.5130856901646265,0.5217391304347826,1555,0.5376205787781351,1606,0.5112079701120797,1577,0.5415345592897908,0.5112079701120797,0,False
F1LE,LIQUIDITY_SWEEP_LONG_EARLY,LONG,F1,EARLY,E1,NATIVE_LEVEL_RETEST,3014,4738,0.6361333896158716,0.5404777704047777,0.5226457490551404,0.00036881753103723547,0.5295288652952886,0.5228931652289317,1020,0.5480392156862746,1016,0.5236220472440944,978,0.5501022494887525,0.5236220472440944,0,False
F1LE,LIQUIDITY_SWEEP_LONG_EARLY,LONG,F1,EARLY,E2,PHASE_MID_RETEST,3139,4738,0.6625158294639089,0.5285122650525645,0.5110252038348829,0.0002828587591929832,0.5081236062440267,0.5164064988849952,1065,0.5220657276995305,1051,0.5176022835394862,1023,0.5464320625610948,0.5176022835394862,0,False
F1LE,LIQUIDITY_SWEEP_LONG_EARLY,LONG,F1,EARLY,E3,PHASE_EXTREME_BREAK,2915,4738,0.6152384972562263,0.49982847341337905,0.48168972104810986,0.0,0.5015437392795883,0.5022298456260721,939,0.5079872204472844,988,0.4645748987854251,988,0.5273279352226721,0.4645748987854251,0,False
F1LE,LIQUIDITY_SWEEP_LONG_EARLY,LONG,F1,EARLY,E4,PULLBACK_RECLAIM,4181,4738,0.8824398480371465,0.5273857928725185,0.5122345605209809,0.00023459860179242398,0.5151877541258072,0.5168619947381009,1387,0.5118961788031723,1410,0.5219858156028369,1384,0.5484104046242775,0.5118961788031723,0,False
F1LE,LIQUIDITY_SWEEP_LONG_EARLY,LONG,F1,EARLY,E5,FOLLOW_THROUGH_DISPLACEMENT,4327,4738,0.9132545377796538,0.5287728218165011,0.5138806777335997,0.00024345709068773758,0.5190663277097296,0.5202218627224405,1399,0.5296640457469621,1481,0.512491559756921,1447,0.544574982722875,0.512491559756921,0,False
F1LM,LIQUIDITY_SWEEP_LONG_MATURE,LONG,F1,MATURE,E0,PHASE_CLOSE,1296,1296,1.0,0.5077160493827161,0.4805150054997118,8.600207767917034e-05,0.5069444444444444,0.5185185185185185,401,0.5311720698254364,449,0.48552338530066813,446,0.5089686098654709,0.48552338530066813,0,False
F1LM,LIQUIDITY_SWEEP_LONG_MATURE,LONG,F1,MATURE,E1,NATIVE_LEVEL_RETEST,361,1296,0.2785493827160494,0.518005540166205,0.4665431389737304,0.00013111315064917584,0.5013850415512465,0.518005540166205,116,0.5344827586206896,113,0.5398230088495575,132,0.48484848484848486,0.48484848484848486,0,False
F1LM,LIQUIDITY_SWEEP_LONG_MATURE,LONG,F1,MATURE,E2,PHASE_MID_RETEST,785,1296,0.6057098765432098,0.49171974522292994,0.4568730410218995,0.0,0.4968152866242038,0.5006369426751592,257,0.5136186770428015,274,0.4744525547445255,254,0.4881889763779528,0.4744525547445255,0,False
F1LM,LIQUIDITY_SWEEP_LONG_MATURE,LONG,F1,MATURE,E3,PHASE_EXTREME_BREAK,1004,1296,0.7746913580246914,0.49203187250996017,0.461197189587698,-4.749017321364901e-05,0.4760956175298805,0.5129482071713147,307,0.4723127035830619,347,0.49279538904899134,350,0.5085714285714286,0.4723127035830619,0,False
