detector_id,structure,direction,family,phase,selection_status
F1LE,LIQUIDITY_SWEEP_LONG_EARLY,LONG,F1,EARLY,NO_ENTRY_FOUND
F1LM,LIQUIDITY_SWEEP_LONG_MATURE,LONG,F1,MATURE,NO_ENTRY_FOUND
F2LE,IMPULSE_PULLBACK_LONG_EARLY,LONG,F2,EARLY,NO_ENTRY_FOUND
F2LM,IMPULSE_HL_LONG_MATURE,LONG,F2,MATURE,NO_ENTRY_FOUND
F3LE,COMPRESSION_BREAK_LONG_EARLY,LONG,F3,EARLY,NO_ENTRY_FOUND
F3LM,COMPRESSION_RETEST_LONG_MATURE,LONG,F3,MATURE,NO_ENTRY_FOUND
F4LE,FAILED_BREAK_LONG_EARLY,LONG,F4,EARLY,NO_ENTRY_FOUND
F4LM,FAILED_BREAK_LONG_MATURE,LONG,F4,MATURE,NO_ENTRY_FOUND
F1SE,LIQUIDITY_SWEEP_SHORT_EARLY,SHORT,F1,EARLY,NO_ENTRY_FOUND
F1SM,LIQUIDITY_SWEEP_SHORT_MATURE,SHORT,F1,MATURE,NO_ENTRY_FOUND
F2SE,IMPULSE_PULLBACK_SHORT_EARLY,SHORT,F2,EARLY,NO_ENTRY_FOUND
F2SM,IMPULSE_LH_SHORT_MATURE,SHORT,F2,MATURE,NO_ENTRY_FOUND
F3SE,COMPRESSION_BREAK_SHORT_EARLY,SHORT,F3,EARLY,NO_ENTRY_FOUND
F3SM,COMPRESSION_RETEST_SHORT_MATURE,SHORT,F3,MATURE,NO_ENTRY_FOUND
F4SE,FAILED_BREAK_SHORT_EARLY,SHORT,F4,EARLY,NO_ENTRY_FOUND
F4SM,FAILED_BREAK_SHORT_MATURE,SHORT,F4,MATURE,NO_ENTRY_FOUND
