period,candidate,false_exit_winners,reclaim_next5,reclaim_next5_rate,reclaim_within15,reclaim_within15_rate,median_signal_to_target_min,median_overshoot_original_r
DEV,D1_TWO_CLOSES_BELOW,10,5,0.5,8,0.8,62.5,0.3126104133877172
DEV,D1_NO_RECLAIM_15M,3,1,0.3333333333333333,2,0.6666666666666666,115.0,0.30061349693250433
DEV,D1_RECLAIM_ATTEMPT_REJECT,5,3,0.6,5,1.0,65.0,0.24472573839664127
DEV,ANCHOR_TWO_CLOSES_BELOW,16,9,0.5625,12,0.75,72.5,0.3915273958112975
DEV,ANCHOR_NO_RECLAIM_15M,5,1,0.2,2,0.4,105.0,0.38650306748466084
DEV,ANCHOR_RECLAIM_ATTEMPT_REJECT,9,6,0.6666666666666666,8,0.8888888888888888,45.0,0.4571428571428343
REF,D1_TWO_CLOSES_BELOW,11,1,0.09090909090909091,3,0.2727272727272727,155.0,0.47524752475246435
REF,D1_NO_RECLAIM_15M,9,1,0.1111111111111111,4,0.4444444444444444,145.0,0.46106870229006874
REF,D1_RECLAIM_ATTEMPT_REJECT,4,0,0.0,2,0.5,72.5,0.46603174603177566
REF,ANCHOR_TWO_CLOSES_BELOW,13,1,0.07692307692307693,5,0.38461538461538464,125.0,0.4721254355400648
REF,ANCHOR_NO_RECLAIM_15M,10,2,0.2,5,0.5,117.5,0.4674912891986045
REF,ANCHOR_RECLAIM_ATTEMPT_REJECT,7,2,0.2857142857142857,4,0.5714285714285714,120.0,0.46285714285714413
