period,candidate,family,n,baseline_wins,baseline_losses,clean_signals,signal_rate,loss_captured,loss_capture_rate,winner_false_exit,winner_false_exit_rate,precision_loss,median_exit_r_loss,median_lead_to_floor_min,median_lead_to_target_min,false_exit_reclaim_next5_rate,false_exit_reclaim_within15_rate,cf_wins,cf_losses,cf_be,cf_expectancy_r,cf_total_r,cf_pf,cf_max_dd_r,delta_vs_wide_baseline,s7_single_loss_capture_rate,s7_single_false_exit_rate,s7_single_expectancy_r,delta_expectancy_vs_s7_single,loss_capture_change_vs_s7,false_exit_change_vs_s7
DEV,D1_TWO_CLOSES_BELOW,D1,151,108,43,36,0.23841059602649006,26,0.6046511627906976,10,0.09259259259259259,0.7222222222222222,-0.5829609728506748,25.0,62.5,0.5,0.8,98,53,0,0.027108268734399362,4.093348578894304,1.112950628505001,4.364321508169241,0.013405839466288793,0.7906976744186046,0.18518518518518517,0.012613997043449569,0.014494271690949793,-0.18604651162790697,-0.09259259259259259
DEV,D1_NO_RECLAIM_15M,D1,151,108,43,11,0.0728476821192053,8,0.18604651162790697,3,0.027777777777777776,0.7272727272727273,-0.672261023663089,17.5,115.0,0.3333333333333333,0.6666666666666666,105,46,0,0.014789526110402504,2.233218442670778,1.0541235492335295,6.1547228335785125,0.001087096842291935,0.7906976744186046,0.18518518518518517,0.012613997043449569,0.002175529066952935,-0.6046511627906976,-0.15740740740740738
DEV,D1_RECLAIM_ATTEMPT_REJECT,D1,151,108,43,14,0.09271523178807947,9,0.20930232558139536,5,0.046296296296296294,0.6428571428571429,-0.5179282868525847,40.0,65.0,0.6,1.0,103,48,0,0.015797211124589795,2.385378879813059,1.0589768133708641,5.122734206292068,0.0020947818564792265,0.7906976744186046,0.18518518518518517,0.012613997043449569,0.0031832140811402267,-0.5813953488372092,-0.1388888888888889
DEV,ANCHOR_TWO_CLOSES_BELOW,ANCHOR,151,108,43,44,0.2913907284768212,28,0.6511627906976745,16,0.14814814814814814,0.6363636363636364,-0.5119601913630623,25.0,72.5,0.5625,0.75,92,59,0,0.007022401475504432,1.0603826228011692,1.02906444383214,5.5779744177061925,-0.006680027792606137,0.8837209302325582,0.25,0.007853200104430181,-0.0008307986289257489,-0.2325581395348837,-0.10185185185185186
DEV,ANCHOR_NO_RECLAIM_15M,ANCHOR,151,108,43,18,0.11920529801324503,13,0.3023255813953488,5,0.046296296296296294,0.7222222222222222,-0.5772946859903367,15.0,105.0,0.2,0.4,103,48,0,0.020004123089469753,3.020622586509933,1.0765494590631304,5.808528489722836,0.006301693821359184,0.8837209302325582,0.25,0.007853200104430181,0.012150922985039572,-0.5813953488372093,-0.20370370370370372
DEV,ANCHOR_RECLAIM_ATTEMPT_REJECT,ANCHOR,151,108,43,23,0.152317880794702,14,0.32558139534883723,9,0.08333333333333333,0.6086956521739131,-0.38474422499824407,27.5,45.0,0.6666666666666666,0.8888888888888888,99,52,0,0.019315489675784614,2.9166389410434768,1.076703913952266,5.2036325101883225,0.005613060407674045,0.8837209302325582,0.25,0.007853200104430181,0.011462289571354433,-0.5581395348837209,-0.16666666666666669
REF,D1_TWO_CLOSES_BELOW,D1,101,83,17,20,0.19801980198019803,9,0.5294117647058824,11,0.13253012048192772,0.45,-0.5909090909090803,5.0,155.0,0.09090909090909091,0.2727272727272727,72,28,1,0.09355843330762417,9.449401764070041,1.5142019099018365,2.2894173079348663,-0.06961194487574254,0.8235294117647058,0.2289156626506024,0.06307426764565145,0.03048416566197272,-0.2941176470588235,-0.09638554216867468
REF,D1_NO_RECLAIM_15M,D1,101,83,17,13,0.12871287128712872,4,0.23529411764705882,9,0.10843373493975904,0.3076923076923077,-0.7263233004670383,22.5,145.0,0.1111111111111111,0.4444444444444444,74,26,1,0.08748782212297099,8.83627003442007,1.4357867049318773,2.8087485514040473,-0.07568255606039573,0.8235294117647058,0.2289156626506024,0.06307426764565145,0.024413554477319535,-0.588235294117647,-0.12048192771084336
REF,D1_RECLAIM_ATTEMPT_REJECT,D1,101,83,17,6,0.0594059405940594,2,0.11764705882352941,4,0.04819277108433735,0.3333333333333333,-0.7073319400905489,5.0,72.5,0.0,0.5,79,21,1,0.13392866255039196,13.526794917589589,1.7519935515353349,2.8087485514040456,-0.029241715632974757,0.8235294117647058,0.2289156626506024,0.06307426764565145,0.0708543949047405,-0.7058823529411764,-0.18072289156626503
REF,ANCHOR_TWO_CLOSES_BELOW,ANCHOR,101,83,17,23,0.22772277227722773,10,0.5882352941176471,13,0.1566265060240964,0.43478260869565216,-0.6073650947982496,7.5,125.0,0.07692307692307693,0.38461538461538464,70,30,1,0.08675892595560353,8.762651521515956,1.4766200404034036,2.2729405558010924,-0.07641145222776319,0.8823529411764706,0.27710843373493976,0.04432982618662151,0.042429099768982015,-0.2941176470588235,-0.12048192771084337
REF,ANCHOR_NO_RECLAIM_15M,ANCHOR,101,83,17,13,0.12871287128712872,3,0.17647058823529413,10,0.12048192771084337,0.23076923076923078,-0.670731707317054,10.0,117.5,0.2,0.5,73,27,1,0.08159249073778467,8.240841564516252,1.4032564959837117,2.8087485514040473,-0.08157788744558205,0.8823529411764706,0.27710843373493976,0.04432982618662151,0.03726266455116316,-0.7058823529411764,-0.1566265060240964
REF,ANCHOR_RECLAIM_ATTEMPT_REJECT,ANCHOR,101,83,17,9,0.0891089108910891,2,0.11764705882352941,7,0.08433734939759036,0.2222222222222222,-0.32900329517109805,35.0,120.0,0.2857142857142857,0.5714285714285714,76,24,1,0.11965770265165879,12.085427967817537,1.6597910886500293,2.0760688025869154,-0.04351267553170793,0.8823529411764706,0.27710843373493976,0.04432982618662151,0.07532787646503727,-0.7647058823529411,-0.1927710843373494
