feature,period,winner_n,loser_n,winner_median,loser_median,failure_auc
down_velocity_30,DEV,49,27,0.2221790382108294,0.3126076370595981,0.6031746031746031
down_velocity_30,REF,24,18,0.2320886634624013,0.23185249363626786,0.44907407407407407
down_velocity_30,ALL,73,45,0.23202389075856952,0.27354941429568924,0.5412480974124809
down_velocity_60,DEV,49,27,0.3287766042084651,0.4388915494795628,0.564625850340136
down_velocity_60,REF,24,18,0.28110027352717193,0.24381369080844878,0.5046296296296297
down_velocity_60,ALL,73,45,0.32637677701688267,0.36574249221496496,0.5476407914764079
down_velocity_120,DEV,49,27,0.5285748150077308,0.5890834697095525,0.5041572184429327
down_velocity_120,REF,24,18,0.6001383695349325,0.4615525806449098,0.4513888888888889
down_velocity_120,ALL,73,45,0.5488793915780834,0.5168007238163014,0.4995433789954338
trend_eff_60,DEV,49,27,0.5123966942148735,0.6265769554247235,0.6213151927437641
trend_eff_60,REF,24,18,0.3942977442832094,0.48725723961571965,0.5671296296296297
trend_eff_60,ALL,73,45,0.5032467532467595,0.6123456790123457,0.5933028919330289
chop_60,DEV,49,27,0.48760330578512645,0.37342304457527653,0.3786848072562358
chop_60,REF,24,18,0.6057022557167906,0.5127427603842803,0.43287037037037035
chop_60,ALL,73,45,0.4967532467532405,0.3876543209876543,0.40669710806697107
down_bar_fraction_60,DEV,49,27,0.6363636363636364,0.6363636363636364,0.5423280423280423
down_bar_fraction_60,REF,24,18,0.6363636363636364,0.6818181818181819,0.5358796296296297
down_bar_fraction_60,ALL,73,45,0.6363636363636364,0.6363636363636364,0.541095890410959
range_30_norm,DEV,49,27,0.3679662897072231,0.48217412583133484,0.5941043083900227
range_30_norm,REF,24,18,0.38427941667135834,0.3533447043771802,0.4537037037037037
range_30_norm,ALL,73,45,0.37242048326710797,0.4087876101520723,0.5406392694063927
range_60_norm,DEV,49,27,0.5145732562318088,0.6313775812779686,0.5736961451247166
range_60_norm,REF,24,18,0.46232208251481,0.4976686393301498,0.5185185185185185
range_60_norm,ALL,73,45,0.49542690288012714,0.5453222917132645,0.5570776255707762
range_expansion_30v60,DEV,49,27,0.7761437908496726,0.8008634646519186,0.5608465608465608
range_expansion_30v60,REF,24,18,0.8466171466763914,0.7050410224607845,0.36574074074074076
range_expansion_30v60,ALL,73,45,0.8018223234624129,0.7908878504672875,0.4828006088280061
return_vol_60,DEV,49,27,0.002201040493123987,0.0023678335882648897,0.5616024187452758
return_vol_60,REF,24,18,0.002277060185244273,0.0022051909149666087,0.5023148148148148
return_vol_60,ALL,73,45,0.002241975231080706,0.0023678335882648897,0.5412480974124809
sign_flip_count_60,DEV,49,27,5.0,4.0,0.5037792894935752
sign_flip_count_60,REF,24,18,5.0,4.0,0.49537037037037035
sign_flip_count_60,ALL,73,45,5.0,4.0,0.5010654490106545
touch_latency_min,DEV,49,27,845.0,565.0,0.3707482993197279
touch_latency_min,REF,24,18,632.5,517.5,0.49189814814814814
touch_latency_min,ALL,73,45,825.0,520.0,0.4054794520547945
session_down_efficiency,DEV,49,27,0.13625487973806813,0.20343177693449915,0.6606198034769464
session_down_efficiency,REF,24,17,0.16591456196462379,0.14726759010405832,0.44362745098039214
session_down_efficiency,ALL,73,44,0.14301822965608046,0.17351700231989114,0.5859277708592777
session_up_excursion_norm,DEV,49,27,0.1372299818688072,0.15437014406763222,0.544973544973545
session_up_excursion_norm,REF,24,18,0.2831752497243353,0.17050995116668743,0.43287037037037035
session_up_excursion_norm,ALL,73,45,0.2399920986529392,0.15635773788705892,0.5041095890410959
wall_distance_pct,DEV,49,27,0.030544667429912752,0.03210485682371817,0.582010582010582
wall_distance_pct,REF,24,18,0.028193963336084527,0.031720107842792736,0.6018518518518519
wall_distance_pct,ALL,73,45,0.028736184459718612,0.03210485682371817,0.5933028919330289
APPROACH_PRESSURE_COMPOSITE,DEV,49,27,-0.04819292827516484,0.2850713957651745,0.6447467876039304
APPROACH_PRESSURE_COMPOSITE,REF,24,17,-0.05660504153655903,-0.01183896971432984,0.5
APPROACH_PRESSURE_COMPOSITE,ALL,73,44,-0.04819292827516484,0.22771763228630806,0.5937110834371109
