feature,dev_nominated,ref_validated,dev_auc,ref_auc,dev_winner_median,dev_loser_median,ref_winner_median,ref_loser_median
down_velocity_30,True,False,0.6031746031746031,0.44907407407407407,0.2221790382108294,0.3126076370595981,0.2320886634624013,0.23185249363626786
down_velocity_60,False,False,0.564625850340136,0.5046296296296297,0.3287766042084651,0.4388915494795628,0.28110027352717193,0.24381369080844878
down_velocity_120,False,False,0.5041572184429327,0.4513888888888889,0.5285748150077308,0.5890834697095525,0.6001383695349325,0.4615525806449098
trend_eff_60,True,True,0.6213151927437641,0.5671296296296297,0.5123966942148735,0.6265769554247235,0.3942977442832094,0.48725723961571965
chop_60,False,False,0.3786848072562358,0.43287037037037035,0.48760330578512645,0.37342304457527653,0.6057022557167906,0.5127427603842803
down_bar_fraction_60,False,False,0.5423280423280423,0.5358796296296297,0.6363636363636364,0.6363636363636364,0.6363636363636364,0.6818181818181819
range_30_norm,False,False,0.5941043083900227,0.4537037037037037,0.3679662897072231,0.48217412583133484,0.38427941667135834,0.3533447043771802
range_60_norm,False,False,0.5736961451247166,0.5185185185185185,0.5145732562318088,0.6313775812779686,0.46232208251481,0.4976686393301498
range_expansion_30v60,False,False,0.5608465608465608,0.36574074074074076,0.7761437908496726,0.8008634646519186,0.8466171466763914,0.7050410224607845
return_vol_60,False,False,0.5616024187452758,0.5023148148148148,0.002201040493123987,0.0023678335882648897,0.002277060185244273,0.0022051909149666087
sign_flip_count_60,False,False,0.5037792894935752,0.49537037037037035,5.0,4.0,5.0,4.0
touch_latency_min,False,False,0.3707482993197279,0.49189814814814814,845.0,565.0,632.5,517.5
session_down_efficiency,True,False,0.6606198034769464,0.44362745098039214,0.13625487973806813,0.20343177693449915,0.16591456196462379,0.14726759010405832
session_up_excursion_norm,False,False,0.544973544973545,0.43287037037037035,0.1372299818688072,0.15437014406763222,0.2831752497243353,0.17050995116668743
wall_distance_pct,False,False,0.582010582010582,0.6018518518518519,0.030544667429912752,0.03210485682371817,0.028193963336084527,0.031720107842792736
APPROACH_PRESSURE_COMPOSITE,True,False,0.6447467876039304,0.5,-0.04819292827516484,0.2850713957651745,-0.05660504153655903,-0.01183896971432984
