year,feature,winner_n,loser_n,failure_auc
2022,down_velocity_30,7,10,0.45714285714285713
2022,down_velocity_60,7,10,0.5
2022,down_velocity_120,7,10,0.6285714285714286
2022,trend_eff_60,7,10,0.6571428571428571
2022,chop_60,7,10,0.34285714285714286
2022,down_bar_fraction_60,7,10,0.2714285714285714
2022,range_30_norm,7,10,0.5285714285714286
2022,range_60_norm,7,10,0.4857142857142857
2022,range_expansion_30v60,7,10,0.6571428571428571
2022,return_vol_60,7,10,0.4714285714285714
2022,sign_flip_count_60,7,10,0.5428571428571428
2022,touch_latency_min,7,10,0.4857142857142857
2022,session_down_efficiency,7,10,0.6571428571428571
2022,session_up_excursion_norm,7,10,0.4714285714285714
2022,wall_distance_pct,7,10,0.7428571428571429
2022,APPROACH_PRESSURE_COMPOSITE,7,10,0.6285714285714286
2023,down_velocity_30,17,6,0.5392156862745098
2023,down_velocity_60,17,6,0.5196078431372549
2023,down_velocity_120,17,6,0.5294117647058824
2023,trend_eff_60,17,6,0.5588235294117647
2023,chop_60,17,6,0.4411764705882353
2023,down_bar_fraction_60,17,6,0.6568627450980392
2023,range_30_norm,17,6,0.4803921568627451
2023,range_60_norm,17,6,0.5294117647058824
2023,range_expansion_30v60,17,6,0.39215686274509803
2023,return_vol_60,17,6,0.3627450980392157
2023,sign_flip_count_60,17,6,0.5686274509803921
2023,touch_latency_min,17,6,0.38235294117647056
2023,session_down_efficiency,17,6,0.6764705882352942
2023,session_up_excursion_norm,17,6,0.5392156862745098
2023,wall_distance_pct,17,6,0.4117647058823529
2023,APPROACH_PRESSURE_COMPOSITE,17,6,0.5882352941176471
2024,down_velocity_30,25,11,0.7272727272727273
2024,down_velocity_60,25,11,0.6290909090909091
2024,down_velocity_120,25,11,0.44
2024,trend_eff_60,25,11,0.610909090909091
2024,chop_60,25,11,0.3890909090909091
2024,down_bar_fraction_60,25,11,0.5527272727272727
2024,range_30_norm,25,11,0.6945454545454546
2024,range_60_norm,25,11,0.6509090909090909
2024,range_expansion_30v60,25,11,0.5436363636363636
2024,return_vol_60,25,11,0.6509090909090909
2024,sign_flip_count_60,25,11,0.4290909090909091
2024,touch_latency_min,25,11,0.33636363636363636
2024,session_down_efficiency,25,11,0.6690909090909091
2024,session_up_excursion_norm,25,11,0.5163636363636364
2024,wall_distance_pct,25,11,0.4
2024,APPROACH_PRESSURE_COMPOSITE,25,11,0.64
2025,down_velocity_30,18,12,0.5370370370370371
2025,down_velocity_60,18,12,0.5972222222222222
2025,down_velocity_120,18,12,0.5462962962962963
2025,trend_eff_60,18,12,0.6481481481481481
2025,chop_60,18,12,0.35185185185185186
2025,down_bar_fraction_60,18,12,0.5578703703703703
2025,range_30_norm,18,12,0.5231481481481481
2025,range_60_norm,18,12,0.5925925925925926
2025,range_expansion_30v60,18,12,0.39351851851851855
2025,return_vol_60,18,12,0.5324074074074074
2025,sign_flip_count_60,18,12,0.39351851851851855
2025,touch_latency_min,18,12,0.5069444444444444
2025,session_down_efficiency,18,12,0.4351851851851852
2025,session_up_excursion_norm,18,12,0.4722222222222222
2025,wall_distance_pct,18,12,0.5787037037037037
2025,APPROACH_PRESSURE_COMPOSITE,18,12,0.5972222222222222
2026,down_velocity_30,6,6,0.2777777777777778
2026,down_velocity_60,6,6,0.2777777777777778
2026,down_velocity_120,6,6,0.3055555555555556
2026,trend_eff_60,6,6,0.3333333333333333
2026,chop_60,6,6,0.6666666666666666
2026,down_bar_fraction_60,6,6,0.5277777777777778
2026,range_30_norm,6,6,0.3333333333333333
2026,range_60_norm,6,6,0.3888888888888889
2026,range_expansion_30v60,6,6,0.2777777777777778
2026,return_vol_60,6,6,0.4722222222222222
2026,sign_flip_count_60,6,6,0.7222222222222222
2026,touch_latency_min,6,6,0.4305555555555556
2026,session_down_efficiency,6,6,0.43333333333333335
2026,session_up_excursion_norm,6,6,0.16666666666666666
2026,wall_distance_pct,6,6,0.6944444444444444
2026,APPROACH_PRESSURE_COMPOSITE,6,6,0.26666666666666666
