execution_mode,plans,resolved_n,wins,losses,ambiguous,unresolved,hit_rate,expectancy_r,total_r,profit_factor,max_win_streak,max_loss_streak,max_drawdown_r
DELAYED_CLEAN_RECLAIM,137,137,81,56,0,0,0.5912408759124088,0.25451130738425315,34.868049111642684,1.6226437341364763,8,4,9.065922445958375
DELAYED_SWEEP_RECLAIM,64,64,33,31,0,0,0.515625,0.1627709036334881,10.417337832543238,1.3360431558884915,4,3,5.591020682697142
IMMEDIATE_CLEAN_RECLAIM,414,411,205,206,3,0,0.49878345498783455,0.05730128548037541,23.550828332434293,1.1143244093807492,7,7,16.513472963570596
IMMEDIATE_SWEEP_RECLAIM,65,65,34,31,0,0,0.5230769230769231,0.022236559053319397,1.4453763384657607,1.0466250431763149,11,6,8.744138451266428
