year,plans,resolved_n,wins,losses,ambiguous,unresolved,hit_rate,expectancy_r,total_r,profit_factor,max_win_streak,max_loss_streak,max_drawdown_r
2022,233,232,120,112,1,0,0.5172413793103449,0.09843739936149266,22.837476651866297,1.2039060415345204,7,8,13.472936430019644
2023,216,215,115,100,1,0,0.5348837209302325,0.13147312077500814,28.26672096662675,1.2826672096662675,7,4,7.208633912890637
2024,231,230,118,112,1,0,0.5130434782608696,0.08337997389823011,19.177393996592926,1.171226732112437,5,5,19.319608745542155
