period,archetype,n,share,r1_rate,r2_1zw_rate,r3_2zw_rate,r4_full_rate,mfe_zw_median
DEV,A_CLEAN_PROXIMAL_RECLAIM,415,0.5266497461928934,0.6843373493975904,0.7228915662650602,0.563855421686747,0.38072289156626504,2.567813006360532
DEV,B_CLEAN_IN_ZONE_HOLD,226,0.2868020304568528,0.5486725663716814,0.504424778761062,0.37610619469026546,0.33185840707964603,1.5348837209302002
DEV,C_SWEEP_FULL_RECLAIM,65,0.08248730964467005,0.46153846153846156,0.7076923076923077,0.6307692307692307,0.3384615384615385,6.096511627906965
DEV,D_SWEEP_PARTIAL_RECLAIM,82,0.10406091370558376,0.32926829268292684,0.4146341463414634,0.3170731707317073,0.13414634146341464,1.6614173228346802
REF,A_CLEAN_PROXIMAL_RECLAIM,235,0.5075593952483801,0.7021276595744681,0.6595744680851063,0.5446808510638298,0.425531914893617,2.88628762541805
REF,B_CLEAN_IN_ZONE_HOLD,150,0.32397408207343414,0.5466666666666666,0.5133333333333333,0.32666666666666666,0.32666666666666666,1.4749620637329084
REF,C_SWEEP_FULL_RECLAIM,38,0.08207343412526998,0.7368421052631579,0.9210526315789473,0.9210526315789473,0.5,19.411819971367436
REF,D_SWEEP_PARTIAL_RECLAIM,40,0.08639308855291576,0.3,0.425,0.375,0.125,1.9098071307081568
