year,parent_n,A_CLEAN_PROXIMAL_RECLAIM,B_CLEAN_IN_ZONE_HOLD,C_SWEEP_FULL_RECLAIM,D_SWEEP_PARTIAL_RECLAIM
2025,299,142,105,25,27
2026,164,93,45,13,13
