execution_mode,plans,resolved,wins,losses,ambiguous,unresolved,hit_rate,expectancy_r,total_r,profit_factor,max_loss_streak,max_drawdown_r
DELAYED_CLEAN_RECLAIM,91,91,54,37,0,0,0.5934065934065934,0.1445658492123454,13.15549227832343,1.3555538453600926,5,7.574712643678158
DELAYED_SWEEP_RECLAIM,35,35,19,16,0,0,0.5428571428571428,0.18397873810324938,6.439255833613728,1.402453489600858,5,6.485237899194306
IMMEDIATE_CLEAN_RECLAIM,235,235,113,122,0,0,0.4808510638297872,0.01367906496086963,3.214580265804363,1.026349018572167,8,24.698849221999662
IMMEDIATE_SWEEP_RECLAIM,38,38,26,12,0,0,0.6842105263157895,0.05100265394639545,1.938100849963027,1.1615084041635857,3,3.0
