year,plans,resolved,wins,losses,ambiguous,unresolved,hit_rate,expectancy_r,total_r,profit_factor,max_loss_streak,max_drawdown_r
2025,261,261,142,119,0,0,0.5440613026819924,0.08223797771194385,21.464112182817345,1.1803706906119102,7,9.690460478700668
2026,138,138,70,68,0,0,0.5072463768115942,0.02379215249918261,3.2833170448872,1.0482840741895174,9,11.343596840507406
