partition,snapshot_age_min,case_entry_ts,case_execution_start,case_dev_block,case_exit_ts,case_invalidation_close_ts,case_measurement_start_ts,case_last_completed_bar_ts,case_pnl,control_entry_ts,control_execution_start,control_dev_block,control_exit_ts,control_break_ts,control_invalidation_close_ts,control_measurement_start_ts,control_last_completed_bar_ts,control_pnl,case__running_mae_R,control__running_mae_R,abs_running_mae_R_match_gap,case__recovery_from_worst_R,control__recovery_from_worst_R,case__recovery_efficiency,control__recovery_efficiency,case__bars_since_worst_fraction,control__bars_since_worst_fraction,case__post_worst_close_slope_R_per_bar,control__post_worst_close_slope_R_per_bar
development,60,2022-03-06 16:20:00+00:00,2022-03-06 15:00:00+00:00,0.0,2022-03-06 19:45:00+00:00,2022-03-06 19:40:00+00:00,2022-03-06 16:25:00+00:00,2022-03-06 17:15:00+00:00,-17.630385487528322,2022-06-30 15:25:00+00:00,2022-06-30 15:00:00+00:00,0.0,2022-06-30 23:40:00+00:00,,,2022-06-30 15:30:00+00:00,2022-06-30 16:20:00+00:00,9.349845201238383,0.46666666666666806,0.3708609271523175,0.09580573951435056,0.025925925925928635,0.3509933774834473,0.055555555555561194,0.946428571428582,0.1,0.5,-0.011111111111112756,0.004541154210029191
development,60,2022-03-09 15:50:00+00:00,2022-03-09 15:00:00+00:00,0.0,2022-03-09 19:15:00+00:00,2022-03-09 19:10:00+00:00,2022-03-09 15:55:00+00:00,2022-03-09 16:45:00+00:00,-16.31165919282507,2022-02-03 15:20:00+00:00,2022-02-03 15:00:00+00:00,0.0,2022-02-03 21:50:00+00:00,,,2022-02-03 15:25:00+00:00,2022-02-03 16:15:00+00:00,10.16880622662486,0.33828996282527785,0.3578528827037795,0.019562919878501672,0.06319702602230023,0.3121272365805183,0.18681318681317374,0.8722222222222208,0.0,0.6,0.0,0.0436665719965926
development,60,2022-06-05 16:05:00+00:00,2022-06-05 15:00:00+00:00,0.0,2022-06-05 23:30:00+00:00,2022-06-05 23:25:00+00:00,2022-06-05 16:10:00+00:00,2022-06-05 17:00:00+00:00,-17.508754377188573,2022-01-11 15:05:00+00:00,2022-01-11 15:00:00+00:00,0.0,2022-01-11 16:15:00+00:00,,,2022-01-11 15:10:00+00:00,2022-01-11 16:00:00+00:00,5.082407609090289,0.6349206349206337,0.5685714285714231,0.0663492063492106,0.17460317460317398,0.5714285714285714,0.2749999999999996,1.0050251256281504,0.6,0.4,0.0005668934240372239,0.12942857142857095
development,60,2022-07-09 18:30:00+00:00,2022-07-09 15:00:00+00:00,1.0,2022-07-10 00:50:00+00:00,2022-07-10 00:45:00+00:00,2022-07-09 18:35:00+00:00,2022-07-09 19:25:00+00:00,-15.717598557072886,2022-10-30 23:00:00+00:00,2022-10-30 15:00:00+00:00,1.0,2022-10-31 00:10:00+00:00,,,2022-10-30 23:05:00+00:00,2022-10-30 23:55:00+00:00,4.733009708737801,0.5887850467289742,0.5384615384615399,0.05032350826743437,0.17757009345794175,0.4743589743589704,0.30158730158729674,0.8809523809523713,0.3,0.7,0.03551401869158097,0.036477411477413416
development,60,2022-07-10 20:25:00+00:00,2022-07-10 15:00:00+00:00,1.0,2022-07-11 00:20:00+00:00,2022-07-11 00:15:00+00:00,2022-07-10 20:30:00+00:00,2022-07-10 21:20:00+00:00,-16.353887399463808,2022-12-04 15:00:00+00:00,2022-12-04 15:00:00+00:00,1.0,2022-12-04 16:00:00+00:00,,,2022-12-04 15:05:00+00:00,2022-12-04 15:55:00+00:00,2.107606679035201,0.25471698113207286,0.25352112676056143,0.001195854371511429,0.32075471698113006,0.27464788732394263,1.2592592592592642,1.0833333333333375,0.5,0.3,0.019946091644201074,0.06830985915491913
development,60,2022-09-20 15:50:00+00:00,2022-09-20 15:00:00+00:00,1.0,2022-09-20 18:00:00+00:00,2022-09-20 17:55:00+00:00,2022-09-20 15:55:00+00:00,2022-09-20 16:45:00+00:00,-14.77832512315269,2022-09-04 00:25:00+00:00,2022-09-03 15:00:00+00:00,1.0,2022-09-04 02:00:00+00:00,,,2022-09-04 00:30:00+00:00,2022-09-04 01:20:00+00:00,2.5591810620601008,0.49462365591397384,0.5249999999999994,0.03037634408602552,0.2795698924731173,0.3000000000000009,0.5652173913043512,0.5714285714285738,0.3,0.5,0.06774193548386698,0.03428571428571615
development,60,2022-11-27 15:15:00+00:00,2022-11-27 15:00:00+00:00,1.0,2022-11-27 23:25:00+00:00,2022-11-27 23:20:00+00:00,2022-11-27 15:20:00+00:00,2022-11-27 16:10:00+00:00,-8.668105548979954,2022-09-10 18:30:00+00:00,2022-09-10 15:00:00+00:00,1.0,2022-09-10 22:40:00+00:00,,,2022-09-10 18:35:00+00:00,2022-09-10 19:25:00+00:00,3.8351459645106223,0.17808219178082102,0.19402985074626344,0.015947658965442424,0.14611872146118773,0.22388059701492505,0.8205128205128276,1.1538461538461833,0.9,0.6,-7.503267741813379e-16,0.013859275053304825
development,60,2023-01-07 15:55:00+00:00,2023-01-07 15:00:00+00:00,2.0,2023-01-07 22:35:00+00:00,2023-01-07 22:30:00+00:00,2023-01-07 16:00:00+00:00,2023-01-07 16:50:00+00:00,-6.367746797287078,2023-02-26 16:15:00+00:00,2023-02-26 15:00:00+00:00,2.0,2023-02-26 18:40:00+00:00,,,2023-02-26 16:20:00+00:00,2023-02-26 17:10:00+00:00,3.710639780497349,0.7066666666666641,0.6103286384976502,0.09633802816901393,0.27333333333333515,0.12910798122065711,0.38679245283019265,0.2115384615384621,0.1,0.0,0.1333333333333118,0.0
development,60,2023-02-21 18:00:00+00:00,2023-02-21 15:00:00+00:00,2.0,2023-02-21 21:25:00+00:00,2023-02-21 21:20:00+00:00,2023-02-21 18:05:00+00:00,2023-02-21 18:55:00+00:00,-14.591668627912446,2023-04-22 15:00:00+00:00,2023-04-22 15:00:00+00:00,2.0,2023-04-22 16:10:00+00:00,,,2023-04-22 15:05:00+00:00,2023-04-22 15:55:00+00:00,4.157043879907563,0.2895805142083876,0.306666666666663,0.017086152458275383,0.19485791610283926,0.4622222222222194,0.6728971962616788,1.5072463768116031,0.3,0.8,0.03220568335588312,0.030407407407409333
development,60,2023-02-28 15:25:00+00:00,2023-02-28 15:00:00+00:00,2.0,2023-02-28 20:05:00+00:00,2023-02-28 20:00:00+00:00,2023-02-28 15:30:00+00:00,2023-02-28 16:20:00+00:00,-11.032343819229073,2023-04-22 15:00:00+00:00,2023-04-22 15:00:00+00:00,2.0,2023-04-22 16:10:00+00:00,,,2023-04-22 15:05:00+00:00,2023-04-22 15:55:00+00:00,4.157043879907563,0.29193899782135174,0.306666666666663,0.014727668845311237,0.19607843137254888,0.4622222222222194,0.6716417910447734,1.5072463768116031,0.5,0.8,-0.02184873949579674,0.030407407407409333
development,60,2023-03-05 15:30:00+00:00,2023-03-05 15:00:00+00:00,2.0,2023-03-05 18:00:00+00:00,2023-03-05 17:55:00+00:00,2023-03-05 15:35:00+00:00,2023-03-05 16:25:00+00:00,-5.648525758214951,2023-01-08 15:45:00+00:00,2023-01-08 15:00:00+00:00,2.0,2023-01-08 23:50:00+00:00,,,2023-01-08 15:50:00+00:00,2023-01-08 16:40:00+00:00,6.863309352517999,0.5891089108910933,0.5723270440251562,0.01678186686593708,0.07425742574257774,0.1362683438155125,0.12605042016807225,0.23809523809523656,0.2,0.3,0.024752475247523487,0.02033542976938576
development,60,2023-03-09 15:05:00+00:00,2023-03-09 15:00:00+00:00,2.0,2023-03-09 16:40:00+00:00,2023-03-09 16:35:00+00:00,2023-03-09 15:10:00+00:00,2023-03-09 16:00:00+00:00,-13.837489943684611,2023-02-26 16:15:00+00:00,2023-02-26 15:00:00+00:00,2.0,2023-02-26 18:40:00+00:00,,,2023-02-26 16:20:00+00:00,2023-02-26 17:10:00+00:00,3.710639780497349,0.638132295719844,0.6103286384976502,0.0278036572221938,0.003891050583655436,0.12910798122065711,0.006097560975606388,0.2115384615384621,0.0,0.0,0.0,0.0
development,60,2023-06-14 17:35:00+00:00,2023-06-14 15:00:00+00:00,2.0,2023-06-14 20:05:00+00:00,2023-06-14 20:00:00+00:00,2023-06-14 17:40:00+00:00,2023-06-14 18:30:00+00:00,-10.76077713089557,2023-02-26 16:15:00+00:00,2023-02-26 15:00:00+00:00,2.0,2023-02-26 18:40:00+00:00,,,2023-02-26 16:20:00+00:00,2023-02-26 17:10:00+00:00,3.710639780497349,1.3257328990227997,0.6103286384976502,0.7154042605251495,0.5472312703583031,0.12910798122065711,0.412776412776411,0.2115384615384621,0.5,0.0,-0.024662633783156227,0.0
development,60,2023-06-18 16:20:00+00:00,2023-06-18 15:00:00+00:00,2.0,2023-06-18 20:25:00+00:00,2023-06-18 20:20:00+00:00,2023-06-18 16:25:00+00:00,2023-06-18 17:15:00+00:00,-10.388294166086053,2023-04-22 15:00:00+00:00,2023-04-22 15:00:00+00:00,2.0,2023-04-22 16:10:00+00:00,,,2023-04-22 15:05:00+00:00,2023-04-22 15:55:00+00:00,4.157043879907563,0.2938931297709917,0.306666666666663,0.01277353689567129,0.09160305343511103,0.4622222222222194,0.3116883116883006,1.5072463768116031,0.6,0.8,0.0009541984732810999,0.030407407407409333
