period,side,character,direction,tf,candidate,n180,baseline_wins,baseline_losers,baseline_mean,baseline_median,baseline_q10,stop_n,stop_rate,median_stop_min,false_stop_winners,false_stop_rate,loser_caught,loser_catch_rate,median_loser_improvement,mean_outcome,median_outcome,q10_outcome,positive_rate
DEV,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,D0_WALL_TOUCH,109,67,42,0.06451812772950717,0.1050242916182047,-0.5292907687485883,92,0.8440366972477065,5.0,51,0.7611940298507462,41,0.9761904761904762,0.17753768539519862,-0.009786858713485837,-0.03666817130052716,-0.14917449368089822,0.14678899082568808
DEV,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,S1_WALL_CLOSE5,109,67,42,0.06451812772950717,0.1050242916182047,-0.5292907687485883,80,0.7339449541284404,20.0,39,0.582089552238806,41,0.9761904761904762,0.13630686881813017,-0.005485374935071362,-0.06873605773959042,-0.2331085522481342,0.25688073394495414
DEV,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,S2_WALL_ACCEPT2,109,67,42,0.06451812772950717,0.1050242916182047,-0.5292907687485883,69,0.6330275229357798,40.0,31,0.4626865671641791,38,0.9047619047619048,0.14507504635130936,0.00954302552184014,-0.07706794249878658,-0.3174123849507756,0.3302752293577982
DEV,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,S3_WALL_CLOSE15,109,67,42,0.06451812772950717,0.1050242916182047,-0.5292907687485883,70,0.6422018348623854,30.0,30,0.44776119402985076,40,0.9523809523809523,0.10739819533042888,0.014394017822001491,-0.07201839500440783,-0.2888806691440386,0.3394495412844037
DEV,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,S4_DETECTOR_EXTREME_TOUCH,109,67,42,0.06451812772950717,0.1050242916182047,-0.5292907687485883,80,0.7339449541284404,10.0,41,0.6119402985074627,39,0.9285714285714286,0.1744218175650085,0.005724250364441134,-0.06841786242494383,-0.2262453862544553,0.23853211009174313
DEV,UPPER,C1_CLEAN_REJECTION,SHORT,TF05,S5_DETECTOR_EXTREME_CLOSE5,109,67,42,0.06451812772950717,0.1050242916182047,-0.5292907687485883,72,0.6605504587155964,30.0,33,0.4925373134328358,39,0.9285714285714286,0.11501176616731826,-0.00036247303333433045,-0.08519871219568015,-0.2888153227650722,0.3119266055045872
DEV,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,D0_WALL_TOUCH,76,49,27,0.12520633947280863,0.12153008237941285,-0.2660354930894664,38,0.5,22.5,16,0.32653061224489793,22,0.8148148148148148,0.04210097438427191,0.0841642278117315,-0.025056827217282838,-0.24154138110815304,0.4342105263157895
DEV,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,S1_WALL_CLOSE5,76,49,27,0.12520633947280863,0.12153008237941285,-0.2660354930894664,35,0.4605263157894737,25.0,14,0.2857142857142857,21,0.7777777777777778,-0.011151963454799844,0.0722958564007146,-0.03264170596364048,-0.26656451306960627,0.4605263157894737
DEV,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,S2_WALL_ACCEPT2,76,49,27,0.12520633947280863,0.12153008237941285,-0.2660354930894664,32,0.42105263157894735,60.0,14,0.2857142857142857,18,0.6666666666666666,-0.010711802560554415,0.06400945401869614,-0.05116838926889582,-0.3131069126275275,0.4605263157894737
DEV,LOWER,C2_RECLAIM_AFTER_CLOSE,LONG,TF60,S3_WALL_CLOSE15,76,49,27,0.12520633947280863,0.12153008237941285,-0.2660354930894664,31,0.40789473684210525,60.0,13,0.2653061224489796,18,0.6666666666666666,0.010627484444522044,0.07932413151763743,-0.04103907186654693,-0.3075920376027965,0.47368421052631576
