year,side,direction,tf,candidate,n180,baseline_wins,baseline_losers,baseline_mean,baseline_median,baseline_q10,stop_n,stop_rate,median_stop_min,false_stop_winners,false_stop_rate,loser_caught,loser_catch_rate,median_loser_improvement,mean_outcome,median_outcome,q10_outcome,positive_rate
2022,UPPER,SHORT,TF05,D0_WALL_TOUCH,36,25,11,0.0661492709665712,0.13335196335039054,-0.4061073411965484,30,0.8333333333333334,5.0,19,0.76,11,1.0,0.13957537279690863,-0.025515115505517487,-0.02545359574777406,-0.1521380139920381,0.16666666666666666
2022,UPPER,SHORT,TF05,S1_WALL_CLOSE5,36,25,11,0.0661492709665712,0.13335196335039054,-0.4061073411965484,25,0.6944444444444444,10.0,14,0.56,11,1.0,0.010978165930390929,-0.011649569123772826,-0.05001573579490162,-0.1470989672639409,0.3055555555555556
2022,UPPER,SHORT,TF05,S2_WALL_ACCEPT2,36,25,11,0.0661492709665712,0.13335196335039054,-0.4061073411965484,20,0.5555555555555556,35.0,11,0.44,9,0.8181818181818182,0.08027636623071774,0.021552492973721138,-0.0435005528958943,-0.18816828458420445,0.3888888888888889
2022,UPPER,SHORT,TF05,S3_WALL_CLOSE15,36,25,11,0.0661492709665712,0.13335196335039054,-0.4061073411965484,20,0.5555555555555556,30.0,10,0.4,10,0.9090909090909091,0.021037916846159015,0.008101042315768551,-0.05664167555157929,-0.2952305259221544,0.4166666666666667
2022,UPPER,SHORT,TF05,S4_DETECTOR_EXTREME_TOUCH,36,25,11,0.0661492709665712,0.13335196335039054,-0.4061073411965484,25,0.6944444444444444,5.0,15,0.6,10,0.9090909090909091,0.14480047586106132,0.008856278698970007,-0.041365370502025524,-0.16174692900600657,0.2777777777777778
2022,UPPER,SHORT,TF05,S5_DETECTOR_EXTREME_CLOSE5,36,25,11,0.0661492709665712,0.13335196335039054,-0.4061073411965484,22,0.6111111111111112,22.5,12,0.48,10,0.9090909090909091,0.0629949660488546,0.01932564429868598,-0.05972639417305906,-0.16456160010864782,0.3611111111111111
2022,LOWER,LONG,TF60,D0_WALL_TOUCH,17,7,10,-0.0029553370835124957,-0.0518696338211876,-0.4212854725415125,10,0.5882352941176471,15.0,0,0.0,10,1.0,0.11354683147609847,0.08561458204595772,-0.015121340659284865,-0.18358001987022865,0.4117647058823529
2022,LOWER,LONG,TF60,S1_WALL_CLOSE5,17,7,10,-0.0029553370835124957,-0.0518696338211876,-0.4212854725415125,10,0.5882352941176471,20.0,0,0.0,10,1.0,0.03442019691909852,0.059181247985181575,-0.039218503620897655,-0.26649817754565114,0.4117647058823529
2022,LOWER,LONG,TF60,S2_WALL_ACCEPT2,17,7,10,-0.0029553370835124957,-0.0518696338211876,-0.4212854725415125,9,0.5294117647058824,65.0,0,0.0,9,0.9,-0.0053008739281059924,0.03219947799854883,-0.07506337252171878,-0.35911443283744304,0.4117647058823529
2022,LOWER,LONG,TF60,S3_WALL_CLOSE15,17,7,10,-0.0029553370835124957,-0.0518696338211876,-0.4212854725415125,9,0.5294117647058824,60.0,0,0.0,9,0.9,0.0168978784371909,0.03656572575569778,-0.0626642086934535,-0.3480168556602298,0.4117647058823529
2022,LOWER,LONG,TF60,S4_DETECTOR_EXTREME_TOUCH,17,7,10,-0.0029553370835124957,-0.0518696338211876,-0.4212854725415125,9,0.5294117647058824,105.0,0,0.0,9,0.9,-0.09817087502918706,-0.042281713531999485,-0.20715681779384787,-0.4623010096651654,0.4117647058823529
2022,LOWER,LONG,TF60,S5_DETECTOR_EXTREME_CLOSE5,17,7,10,-0.0029553370835124957,-0.0518696338211876,-0.4212854725415125,6,0.35294117647058826,97.5,0,0.0,6,0.6,-0.05422260499889443,-0.004130825246175586,-0.0626642086934535,-0.35911443283744304,0.4117647058823529
2023,UPPER,SHORT,TF05,D0_WALL_TOUCH,43,25,18,0.0645223762958127,0.073900336366437,-0.5770387979492657,36,0.8372093023255814,5.0,19,0.76,17,0.9444444444444444,0.2846290711355485,0.0019693311540893476,-0.06586452529898414,-0.18213633352726463,0.13953488372093023
2023,UPPER,SHORT,TF05,S1_WALL_CLOSE5,43,25,18,0.0645223762958127,0.073900336366437,-0.5770387979492657,33,0.7674418604651163,30.0,16,0.64,17,0.9444444444444444,0.21316515204173989,-0.02544800525744781,-0.09258918123633213,-0.3281871088530382,0.20930232558139536
2023,UPPER,SHORT,TF05,S2_WALL_ACCEPT2,43,25,18,0.0645223762958127,0.073900336366437,-0.5770387979492657,30,0.6976744186046512,40.0,13,0.52,17,0.9444444444444444,0.15235089394398743,-0.029378393353820375,-0.1280488676672615,-0.39674109507719457,0.27906976744186046
2023,UPPER,SHORT,TF05,S3_WALL_CLOSE15,43,25,18,0.0645223762958127,0.073900336366437,-0.5770387979492657,30,0.6976744186046512,45.0,13,0.52,17,0.9444444444444444,0.20589433490176706,-0.0022130760282437108,-0.09466887096605031,-0.3220965265317426,0.27906976744186046
2023,UPPER,SHORT,TF05,S4_DETECTOR_EXTREME_TOUCH,43,25,18,0.0645223762958127,0.073900336366437,-0.5770387979492657,32,0.7441860465116279,22.5,16,0.64,16,0.8888888888888888,0.27492283882483404,-0.02990230939682899,-0.09497558531721369,-0.31897189285477107,0.20930232558139536
2023,UPPER,SHORT,TF05,S5_DETECTOR_EXTREME_CLOSE5,43,25,18,0.0645223762958127,0.073900336366437,-0.5770387979492657,29,0.6744186046511628,35.0,13,0.52,16,0.8888888888888888,0.17797372216710283,-0.040038570595845646,-0.14157809373289298,-0.40005901510789244,0.27906976744186046
2023,LOWER,LONG,TF60,D0_WALL_TOUCH,23,17,6,0.11827987055552688,0.1242873013149912,-0.27195900460401035,11,0.4782608695652174,100.0,7,0.4117647058823529,4,0.6666666666666666,-0.06793674614480608,0.03944411006836352,-0.02737085870210946,-0.29762554089365884,0.43478260869565216
