detector,period,eligible,eligible_ge1r,eligible_base_rate,signals,signal_rate,ge1r_tp,ge1r_fp,ge1r_rate,ge1r_wilson_lo,ge1r_wilson_hi,ge1_5r,ge1_5r_rate,ge2r,ge2r_rate,clean1r,clean1r_rate,clean1_5r,clean1_5r_rate,winner_retention_unresolved,whole_ge1r,whole_ge1r_capture,too_fast_win,uplift_pp,relative_lift
D1_FIRST5_DISPLACEMENT,DEV,604,317,0.5248344370860927,151,0.25,108,43,0.7152317880794702,0.6386075480982764,0.7811766653485227,83,0.5496688741721855,69,0.45695364238410596,93,0.6158940397350994,68,0.4503311258278146,0.34069400630914826,375,0.288,58,19.03973509933775,1.3627760252365932
D1_FIRST5_DISPLACEMENT,REF,369,207,0.5609756097560976,101,0.27371273712737126,83,18,0.8217821782178217,0.7357944166164331,0.8841893257995012,67,0.6633663366336634,53,0.5247524752475248,64,0.6336633663366337,49,0.48514851485148514,0.40096618357487923,241,0.34439834024896265,34,26.080656846172413,1.4649160568230735
B15_DISPLACEMENT_BENCHMARK,DEV,498,268,0.5381526104417671,125,0.25100401606425704,101,24,0.808,0.7301890873783063,0.8674446300973646,77,0.616,60,0.48,86,0.688,62,0.496,0.376865671641791,375,0.2693333333333333,107,26.984738955823296,1.5014328358208955
B15_DISPLACEMENT_BENCHMARK,REF,309,171,0.5533980582524272,80,0.2588996763754045,64,16,0.8,0.6995375627182917,0.8729715595603921,51,0.6375,46,0.575,56,0.7,43,0.5375,0.3742690058479532,241,0.26556016597510373,70,24.660194174757287,1.4456140350877194
