horizon_min,family,feature,kind,dev_univ_auc,ref_univ_auc,dev_base_auc,ref_base_auc,dev_aug_auc,ref_aug_auc,dev_aug_delta,ref_aug_delta,dev_nominated,ref_validated
30,EMA,close_below_ema7,CONT,0.6984126984126984,0.6504629629629629,0.7074829931972789,0.6342592592592593,0.7067271352985639,0.6458333333333334,-0.0007558578987150177,0.01157407407407407,False,False
30,EMA,close_below_ema20,CONT,0.708994708994709,0.6504629629629629,0.7074829931972789,0.6342592592592593,0.7157974300831443,0.625,0.008314436885865417,-0.0092592592592593,False,False
30,EMA,ema7_below_ema20,CONT,0.6281179138321995,0.5949074074074074,0.7074829931972789,0.6342592592592593,0.7135298563869993,0.6273148148148148,0.006046863189720364,-0.006944444444444531,False,False
30,EMA,ema7_down15,CONT,0.6923658352229781,0.6365740740740741,0.7074829931972789,0.6342592592592593,0.708994708994709,0.6412037037037037,0.0015117157974300355,0.00694444444444442,False,False
30,EMA,ema20_down30,CONT,0.6190476190476191,0.5740740740740741,0.7074829931972789,0.6342592592592593,0.7173091458805745,0.6319444444444444,0.009826152683295564,-0.0023148148148148806,False,False
30,EMA,close_under_ema7,BINARY,0.6470143613000756,0.6319444444444444,0.7074829931972789,0.6342592592592593,0.7135298563869993,0.6504629629629629,0.006046863189720364,0.01620370370370361,False,False
30,EMA,close_under_ema20,BINARY,0.6783824640967498,0.6597222222222222,0.7074829931972789,0.6342592592592593,0.7150415721844293,0.6620370370370371,0.0075585789871503994,0.02777777777777779,False,False
30,EMA,ema7_under_ema20,BINARY,0.5846560846560847,0.5972222222222222,0.7074829931972789,0.6342592592592593,0.7059712773998488,0.6481481481481481,-0.0015117157974301465,0.01388888888888884,False,False
30,EMA,close_under_both_ema,BINARY,0.6489040060468632,0.6736111111111112,0.7074829931972789,0.6342592592592593,0.7203325774754347,0.6597222222222222,0.012849584278155746,0.02546296296296291,False,False
30,FIB,reclaim_fib_giveback,CONT,0.6780045351473923,0.6412037037037037,0.7074829931972789,0.6342592592592593,0.6991685563114135,0.6273148148148148,-0.008314436885865417,-0.006944444444444531,False,False
30,FIB,fib_382_breached,BINARY,0.516628873771731,0.625,0.7074829931972789,0.6342592592592593,0.7021919879062736,0.6458333333333334,-0.005291005291005346,0.01157407407407407,False,False
30,FIB,fib_500_breached,BINARY,0.5083144368858654,0.5902777777777778,0.7074829931972789,0.6342592592592593,0.7105064247921391,0.6319444444444444,0.003023431594860182,-0.0023148148148148806,False,False
30,FIB,fib_618_breached,BINARY,0.4897959183673469,0.6111111111111112,0.7074829931972789,0.6342592592592593,0.7074829931972789,0.6388888888888888,0.0,0.004629629629629539,False,False
30,FIB,fib_786_breached,BINARY,0.4897959183673469,0.6111111111111112,0.7074829931972789,0.6342592592592593,0.7074829931972789,0.6388888888888888,0.0,0.004629629629629539,False,False
60,EMA,close_below_ema7,CONT,0.6931216931216931,0.7546296296296297,0.7603930461073318,0.7106481481481481,0.7467876039304611,0.7407407407407407,-0.013605442176870763,0.03009259259259256,False,False
60,EMA,close_below_ema20,CONT,0.7324263038548753,0.75,0.7603930461073318,0.7106481481481481,0.7551020408163265,0.7199074074074074,-0.005291005291005346,0.0092592592592593,False,False
60,EMA,ema7_below_ema20,CONT,0.7218442932728647,0.7152777777777778,0.7603930461073318,0.7106481481481481,0.7611489040060468,0.7060185185185185,0.0007558578987150177,-0.00462962962962965,False,False
60,EMA,ema7_down15,CONT,0.6825396825396826,0.7199074074074074,0.7603930461073318,0.7106481481481481,0.7377173091458806,0.7245370370370371,-0.0226757369614512,0.01388888888888895,False,False
60,EMA,ema20_down30,CONT,0.7286470143613001,0.6805555555555556,0.7603930461073318,0.7106481481481481,0.763416477702192,0.6990740740740741,0.003023431594860182,-0.01157407407407407,False,False
60,EMA,close_under_ema7,BINARY,0.6375661375661376,0.6666666666666666,0.7603930461073318,0.7106481481481481,0.7558578987150416,0.7106481481481481,-0.0045351473922902175,0.0,False,False
60,EMA,close_under_ema20,BINARY,0.6866969009826153,0.6875,0.7603930461073318,0.7106481481481481,0.7566137566137566,0.7129629629629629,-0.0037792894935751997,0.0023148148148147696,False,False
60,EMA,ema7_under_ema20,BINARY,0.7218442932728647,0.6319444444444444,0.7603930461073318,0.7106481481481481,0.7739984882842026,0.7268518518518519,0.013605442176870763,0.01620370370370372,False,False
60,EMA,close_under_both_ema,BINARY,0.6515495086923658,0.6805555555555556,0.7603930461073318,0.7106481481481481,0.7566137566137566,0.7083333333333334,-0.0037792894935751997,-0.0023148148148147696,False,False
60,FIB,reclaim_fib_giveback,CONT,0.7792894935752078,0.7476851851851852,0.7603930461073318,0.7106481481481481,0.7656840513983371,0.7337962962962963,0.005291005291005235,0.02314814814814814,False,False
60,FIB,fib_382_breached,BINARY,0.5230536659108088,0.7083333333333334,0.7603930461073318,0.7106481481481481,0.7603930461073318,0.7268518518518519,0.0,0.01620370370370372,False,False
60,FIB,fib_500_breached,BINARY,0.5147392290249433,0.7291666666666666,0.7603930461073318,0.7106481481481481,0.7573696145124716,0.7361111111111112,-0.003023431594860182,0.02546296296296302,False,False
60,FIB,fib_618_breached,BINARY,0.5147392290249433,0.6944444444444444,0.7603930461073318,0.7106481481481481,0.7573696145124716,0.7245370370370371,-0.003023431594860182,0.01388888888888895,False,False
60,FIB,fib_786_breached,BINARY,0.5351473922902494,0.6666666666666666,0.7603930461073318,0.7106481481481481,0.7619047619047619,0.7291666666666666,0.0015117157974300355,0.01851851851851849,False,False
