decision,period,n,eligible,too_fast_win,too_fast_fail,ambiguous_resolution,decision_censored,GE1R_success,GE1R_rate,GE1_5R_success,GE1_5R_rate,CLEAN1R_success,CLEAN1R_rate,CLEAN1_5R_success,CLEAN1_5R_rate
TOUCH_CLOSE,DEV,785,785,0,0,0,0,375,0.47770700636942676,284,0.36178343949044584,237,0.3019108280254777,170,0.21656050955414013
TOUCH_CLOSE,REF,463,463,0,0,0,0,241,0.5205183585313174,193,0.4168466522678186,170,0.367170626349892,135,0.2915766738660907
PLUS5_CLOSE,DEV,785,604,58,78,45,0,317,0.5248344370860927,234,0.38741721854304634,202,0.3344370860927152,141,0.23344370860927152
PLUS5_CLOSE,REF,463,369,34,37,23,0,207,0.5609756097560976,163,0.44173441734417346,142,0.38482384823848237,110,0.2981029810298103
PLUS15_CLOSE,DEV,785,498,107,135,45,0,268,0.5381526104417671,199,0.39959839357429716,167,0.3353413654618474,117,0.23493975903614459
PLUS15_CLOSE,REF,463,309,70,61,23,0,171,0.5533980582524272,133,0.43042071197411,114,0.36893203883495146,87,0.2815533980582524
